"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13199","0","10","70","0","2019","1","","Meriwether County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",339,4668,4461,4413,43037434,22688882,244657,733,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,-16,-0.3,-212,-4.5,-259,-5.5,124969,0.3,-141742,-0.6,-20586,-7.8,27,3.8
"13199","0","10","70","0","2019","2","","Meriwether County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",341,4442,4470,4415,41153508,7147160,72735,713,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.2,-317,-6.7,-299,-6.3,-317,-6.7,-2177776,-5.0,-749203,-9.5,-14627,-16.7,12,1.7
"13199","1","10","71","0","2019","1","","Meriwether County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,46,45,675132,0,0,1129,"",3.51,0.53,0.54,0.53,0.64,0.00,0.00,1.19,"",0,0.0,0,0.0,-3,-6.1,-5,-10.0,22262,3.4,0,0.0,0,0.0,97,9.4
"13199","1","10","71","0","2019","2","","Meriwether County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,45,45,44,685859,0,0,1181,"",3.52,0.53,0.53,0.53,0.59,0.00,0.00,1.11,"",1,16.7,-2,-4.3,-2,-4.3,-1,-2.2,7975,1.2,0,0.0,0,0.0,56,5.0
"13199","1","102","72","0","2019","1","","Meriwether County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,47,46,45,675132,0,0,1129,"",3.51,0.54,0.55,0.54,0.65,0.00,0.00,1.19,"",0,0.0,0,0.0,-3,-6.1,-5,-10.0,22262,3.4,0,0.0,0,0.0,97,9.4
"13199","1","102","72","0","2019","2","","Meriwether County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,45,45,44,685859,0,0,1181,"",3.53,0.54,0.54,0.54,0.60,0.00,0.00,1.11,"",1,16.7,-2,-4.3,-2,-4.3,-1,-2.2,7975,1.2,0,0.0,0,0.0,56,5.0
"13199","1","1021","73","0","2019","1","","Meriwether County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,34,33,33,400772,0,0,925,"",5.96,1.57,1.60,1.62,2.11,0.00,0.00,1.32,"",0,0.0,0,0.0,-3,-8.3,-4,-10.8,37912,10.4,0,0.0,0,0.0,142,18.1
"13199","1","1021","73","0","2019","2","","Meriwether County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,33,33,32,443805,0,0,1045,"",5.98,1.63,1.62,1.60,2.07,0.00,0.00,1.28,"",1,20.0,-1,-2.9,-1,-2.9,-2,-5.9,5461,1.2,0,0.0,0,0.0,53,5.3
"13199","1","1028","73","0","2019","1","","Meriwether County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,12,274360,0,0,1666,"",1.24,0.27,0.28,0.26,0.42,0.00,0.00,1.57,"",0,0.0,0,0.0,0,0.0,-1,-7.7,-15650,-5.4,0,0.0,0,0.0,-50,-2.9
"13199","1","1028","73","0","2019","2","","Meriwether County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,12,242054,0,0,1552,"",1.25,0.26,0.26,0.26,0.35,0.00,0.00,1.32,"",0,0.0,-1,-7.7,-1,-7.7,1,9.1,2514,1.0,0,0.0,0,0.0,58,3.9
"13199","1","48-49","74","0","2019","1","","Meriwether County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,34,33,33,400772,0,0,925,"",6.13,1.72,1.75,1.77,2.27,0.00,0.00,1.30,"",0,0.0,0,0.0,-3,-8.3,-4,-10.8,37912,10.4,0,0.0,0,0.0,142,18.1
"13199","1","48-49","74","0","2019","2","","Meriwether County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,33,33,32,443805,0,0,1045,"",6.15,1.77,1.77,1.74,2.22,0.00,0.00,1.26,"",1,20.0,-1,-2.9,-1,-2.9,-2,-5.9,5461,1.2,0,0.0,0,0.0,53,5.3
"13199","1","491","75","0","2019","1","","Meriwether County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,34,33,33,400772,0,0,925,"",6.17,1.76,1.79,1.81,2.38,0.00,0.00,1.34,"",0,0.0,0,0.0,-3,-8.3,-4,-10.8,37912,10.4,0,0.0,0,0.0,142,18.1
"13199","1","491","75","0","2019","2","","Meriwether County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,33,33,32,443805,0,0,1045,"",6.19,1.81,1.81,1.78,2.31,0.00,0.00,1.28,"",1,20.0,-1,-2.9,-1,-2.9,-2,-5.9,5461,1.2,0,0.0,0,0.0,53,5.3
"13199","1","4911","76","0","2019","1","","Meriwether County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,34,33,33,400772,0,0,925,"",6.17,1.76,1.79,1.81,2.38,0.00,0.00,1.34,"",0,0.0,0,0.0,-3,-8.3,-4,-10.8,37912,10.4,0,0.0,0,0.0,142,18.1
