"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13205","0","10","70","0","2019","1","","Mitchell County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",440,6799,6812,6791,54784981,32096441,275269,620,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,190,2.9,128,1.9,124,1.9,1212726,2.3,484638,1.5,-57402,-17.3,1,0.2
"13205","0","10","70","0","2019","2","","Mitchell County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",442,6675,6753,6815,56862313,13306082,129656,648,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,58,0.9,123,1.9,162,2.4,1544916,2.8,1817761,15.8,-16589,-11.3,7,1.1
"13205","1","10","71","0","2019","1","","Mitchell County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,72,78,75,922054,0,0,946,"",3.09,0.55,0.60,0.58,0.68,0.00,0.00,1.18,"",0,0.0,-9,-11.1,-7,-8.2,-4,-5.1,-159784,-14.8,0,0.0,0,0.0,-73,-7.2
"13205","1","10","71","0","2019","2","","Mitchell County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,78,76,75,983652,0,0,991,"",3.10,0.62,0.59,0.58,0.61,0.00,0.00,1.03,"",0,0.0,-1,-1.3,-2,-2.6,-2,-2.6,-65729,-6.3,0,0.0,0,0.0,-44,-4.3
"13205","1","102","72","0","2019","1","","Mitchell County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,72,78,75,922054,0,0,946,"",3.09,0.56,0.61,0.59,0.69,0.00,0.00,1.18,"",0,0.0,-9,-11.1,-7,-8.2,-4,-5.1,-159784,-14.8,0,0.0,0,0.0,-73,-7.2
"13205","1","102","72","0","2019","2","","Mitchell County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,78,76,75,983652,0,0,991,"",3.11,0.63,0.61,0.59,0.62,0.00,0.00,1.03,"",0,0.0,-1,-1.3,-2,-2.6,-2,-2.6,-65729,-6.3,0,0.0,0,0.0,-44,-4.3
"13205","1","1021","73","0","2019","1","","Mitchell County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,39,39,38,408158,0,0,812,"",3.06,1.24,1.24,1.22,1.69,0.00,0.00,1.37,"",0,0.0,1,2.6,-1,-2.5,-2,-5.0,4427,1.1,0,0.0,0,0.0,22,2.8
"13205","1","1021","73","0","2019","2","","Mitchell County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,39,39,39,470459,0,0,928,"",3.08,1.28,1.27,1.26,1.59,0.00,0.00,1.25,"",0,0.0,-1,-2.5,-1,-2.5,3,8.3,-5519,-1.2,0,0.0,0,0.0,-19,-2.0
"13205","1","1023","73","0","2019","1","","Mitchell County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,4,4,53571,0,0,1124,"",29.21,5.30,7.12,7.15,6.51,0.00,0.00,1.00,"",0,0.0,-2,-40.0,-2,-33.3,-2,-33.3,-46085,-46.2,0,0.0,0,0.0,-229,-16.9
"13205","1","1023","73","0","2019","2","","Mitchell County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,54283,0,0,1044,"",29.62,7.32,7.32,7.19,5.88,0.00,0.00,0.81,"",0,0.0,-2,-33.3,-2,-33.3,-2,-33.3,-31647,-36.8,0,0.0,0,0.0,-58,-5.3
"13205","1","1028","73","0","2019","1","","Mitchell County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,30,35,33,460325,0,0,1084,"",2.87,0.43,0.49,0.47,0.56,0.00,0.00,1.20,"",0,0.0,-8,-21.1,-4,-10.3,0,0.0,-118126,-20.4,0,0.0,0,0.0,-130,-10.7
"13205","1","1028","73","0","2019","2","","Mitchell County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,35,33,32,458910,0,0,1059,"",2.89,0.51,0.48,0.46,0.48,0.00,0.00,0.99,"",0,0.0,2,6.1,1,3.1,-3,-8.6,-28563,-5.9,0,0.0,0,0.0,-66,-5.9
