"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13207","0","10","70","0","2019","1","","Monroe County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",515,7621,7742,7767,87999424,31735807,259644,878,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.6,204,2.8,268,3.6,162,2.1,6936288,8.6,924401,3.0,-26795,-9.4,46,5.5
"13207","0","10","70","0","2019","2","","Monroe County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",527,7781,7823,7915,78314397,11360118,105252,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,39,0.5,56,0.7,98,1.3,3585559,4.8,-418084,-3.5,-11709,-10.0,29,3.9
"13207","1","10","71","0","2019","1","","Monroe County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",1.65,0.21,0.22,0.21,0.18,0.00,0.00,0.85,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","10","71","0","2019","2","","Monroe County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",1.63,0.22,0.23,0.22,0.21,0.00,0.00,0.93,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","102","72","0","2019","1","","Monroe County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",1.65,0.22,0.22,0.21,0.18,0.00,0.00,0.85,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","102","72","0","2019","2","","Monroe County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",1.63,0.22,0.23,0.22,0.21,0.00,0.00,0.93,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","1021","73","0","2019","1","","Monroe County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",3.27,0.88,0.90,0.87,1.01,0.00,0.00,1.15,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","1021","73","0","2019","2","","Monroe County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",3.22,0.90,0.96,0.92,1.12,0.00,0.00,1.21,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","48-49","74","0","2019","1","","Monroe County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",3.36,0.96,0.98,0.95,1.09,0.00,0.00,1.13,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","48-49","74","0","2019","2","","Monroe County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",3.31,0.98,1.04,1.00,1.20,0.00,0.00,1.19,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","491","75","0","2019","1","","Monroe County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",3.38,0.98,1.00,0.97,1.14,0.00,0.00,1.16,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","491","75","0","2019","2","","Monroe County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",3.34,1.00,1.06,1.03,1.25,0.00,0.00,1.22,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","4911","76","0","2019","1","","Monroe County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",3.38,0.98,1.00,0.97,1.14,0.00,0.00,1.16,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","4911","76","0","2019","2","","Monroe County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",3.34,1.00,1.06,1.03,1.25,0.00,0.00,1.22,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","49111","77","0","2019","1","","Monroe County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",3.38,0.98,1.00,0.97,1.14,0.00,0.00,1.16,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","49111","77","0","2019","2","","Monroe County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",3.34,1.00,1.06,1.03,1.25,0.00,0.00,1.22,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","1","491110","78","0","2019","1","","Monroe County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,31,32,31,392239,0,0,963,"",3.38,0.98,1.00,0.97,1.14,0.00,0.00,1.16,"",0,0.0,-4,-11.4,-1,-3.0,0,0.0,28497,7.8,0,0.0,0,0.0,115,13.6
"13207","1","491110","78","0","2019","2","","Monroe County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,32,34,33,458518,0,0,1069,"",3.34,1.00,1.06,1.03,1.25,0.00,0.00,1.22,"",0,0.0,-2,-5.9,0,0.0,1,3.1,10158,2.3,0,0.0,0,0.0,34,3.3
"13207","2","10","71","0","2019","1","","Monroe County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,1569,1580,1565,17552384,142291,2859,859,"",5.37,6.56,6.40,6.32,6.25,1.56,23.36,0.97,"",-3,-13.6,224,16.7,175,12.5,154,10.9,1945445,12.5,-6771,-4.5,-15,-0.5,-7,-0.8
"13207","2","10","71","0","2019","2","","Monroe County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,1587,1588,1630,18030149,18882,252,866,"",5.29,6.43,6.45,6.67,6.74,0.23,1.90,1.04,"",-1,-5.0,92,6.2,108,7.3,117,7.7,1067483,6.3,90,0.5,-11,-4.2,-6,-0.7
"13207","2","102","72","0","2019","1","","Monroe County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,1569,1580,1565,17552384,142291,2859,859,"",5.52,6.67,6.50,6.42,6.34,1.60,24.10,0.97,"",-3,-13.6,224,16.7,175,12.5,154,10.9,1945445,12.5,-6771,-4.5,-15,-0.5,-7,-0.8
"13207","2","102","72","0","2019","2","","Monroe County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,1587,1588,1630,18030149,18882,252,866,"",5.43,6.53,6.55,6.78,6.83,0.24,1.95,1.03,"",-1,-5.0,92,6.2,108,7.3,117,7.7,1067483,6.3,90,0.5,-11,-4.2,-6,-0.7
"13207","2","1021","73","0","2019","1","N","Monroe County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.14,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","1021","73","0","2019","2","N","Monroe County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",19.87,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","1025","73","0","2019","1","","Monroe County, Georgia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,21,21,22,155469,33180,0,561,"",5.41,0.16,0.15,0.16,0.10,0.76,0.00,0.63,"",-1,-20.0,-2,-8.7,-1,-4.5,-3,-12.0,-14919,-8.8,-6192,-15.7,0,0.0,-1,-0.2
"13207","2","1025","73","0","2019","2","","Monroe County, Georgia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,22,22,23,174098,9268,0,600,"",5.31,0.16,0.16,0.17,0.11,0.25,0.00,0.71,"",0,0.0,-2,-8.3,0,0.0,0,0.0,-554,-0.3,528,6.0,0,0.0,16,2.7
"13207","2","1027","73","0","2019","1","N","Monroe County, Georgia","State Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",112.04,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","1027","73","0","2019","2","N","Monroe County, Georgia","State Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",111.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","1028","73","0","2019","1","","Monroe County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,1541,1551,1535,17343921,109111,2859,865,"",5.15,16.46,16.34,16.15,16.21,2.55,42.30,0.99,"",-2,-13.3,225,17.1,174,12.6,154,11.2,1950980,12.7,-579,-0.5,-15,-0.5,-7,-0.8
"13207","2","1028","73","0","2019","2","","Monroe County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,1558,1558,1599,17800840,9614,252,871,"",5.08,16.45,16.38,16.55,17.37,0.23,3.53,1.06,"",-1,-7.1,92,6.3,107,7.4,116,7.8,1062296,6.3,-438,-4.4,-11,-4.2,-7,-0.8
"13207","2","48-49","74","0","2019","1","N","Monroe County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",41.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","48-49","74","0","2019","2","N","Monroe County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",40.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","488","75","0","2019","1","N","Monroe County, Georgia","State Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",50.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","488","75","0","2019","2","N","Monroe County, Georgia","State Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",50.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","4881","76","0","2019","1","N","Monroe County, Georgia","State Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",113.32,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","4881","76","0","2019","2","N","Monroe County, Georgia","State Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",112.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","48811","77","0","2019","1","N","Monroe County, Georgia","State Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",113.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","48811","77","0","2019","2","N","Monroe County, Georgia","State Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",113.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","488111","78","0","2019","1","N","Monroe County, Georgia","State Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",121.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","488111","78","0","2019","2","N","Monroe County, Georgia","State Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",120.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13207","2","61","74","0","2019","1","N","Monroe County, Georgia","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
