"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13211","0","10","70","0","2019","1","","Morgan County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",503,7292,7340,7360,69405533,40015545,458570,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-1.9,250,3.6,191,2.7,183,2.5,3742338,5.7,1206108,3.1,-74733,-14.0,19,2.7
"13211","0","10","70","0","2019","2","","Morgan County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",503,7410,7450,7573,67662229,13533404,151252,696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.6,155,2.1,253,3.5,309,4.3,2632982,4.0,-373292,-2.7,-30815,-16.9,5,0.7
"13211","1","10","71","0","2019","1","","Morgan County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,38,36,36,421426,0,0,884,"",1.69,0.27,0.26,0.26,0.25,0.00,0.00,0.94,"",0,0.0,0,0.0,-1,-2.7,-2,-5.3,7917,1.9,0,0.0,0,0.0,40,4.7
"13211","1","10","71","0","2019","2","","Morgan County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,36,38,40,526527,0,0,1066,"",1.70,0.26,0.27,0.28,0.28,0.00,0.00,1.03,"",0,0.0,-2,-5.3,1,2.7,3,8.1,27239,5.5,0,0.0,0,0.0,37,3.6
"13211","1","102","72","0","2019","1","","Morgan County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,38,36,36,421426,0,0,884,"",1.69,0.28,0.26,0.26,0.25,0.00,0.00,0.94,"",0,0.0,0,0.0,-1,-2.7,-2,-5.3,7917,1.9,0,0.0,0,0.0,40,4.7
"13211","1","102","72","0","2019","2","","Morgan County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,36,38,40,526527,0,0,1066,"",1.71,0.26,0.27,0.28,0.28,0.00,0.00,1.03,"",0,0.0,-2,-5.3,1,2.7,3,8.1,27239,5.5,0,0.0,0,0.0,37,3.6
"13211","1","1021","73","0","2019","1","","Morgan County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,35,33,33,383602,0,0,876,"",2.68,1.04,0.97,0.97,1.25,0.00,0.00,1.26,"",0,0.0,-1,-2.8,-2,-5.7,-3,-8.3,6462,1.7,0,0.0,0,0.0,63,7.7
"13211","1","1021","73","0","2019","2","","Morgan County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,33,35,37,485754,0,0,1068,"",2.70,0.98,1.03,1.08,1.38,0.00,0.00,1.34,"",0,0.0,-3,-8.3,0,0.0,2,5.7,17570,3.8,0,0.0,0,0.0,49,4.8
"13211","1","1028","73","0","2019","1","","Morgan County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,37824,0,0,970,"",0.84,0.04,0.04,0.04,0.04,0.00,0.00,0.92,"",0,0.0,1,50.0,1,50.0,1,50.0,1455,4.0,0,0.0,0,0.0,-429,-30.7
"13211","1","1028","73","0","2019","2","","Morgan County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,40773,0,0,1045,"",0.85,0.04,0.04,0.04,0.04,0.00,0.00,0.91,"",0,0.0,1,50.0,1,50.0,1,50.0,9669,31.1,0,0.0,0,0.0,-151,-12.6
"13211","1","48-49","74","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,35,33,33,383602,0,0,876,"",2.75,1.13,1.06,1.06,1.35,0.00,0.00,1.24,"",0,0.0,-1,-2.8,-2,-5.7,-3,-8.3,6462,1.7,0,0.0,0,0.0,63,7.7
"13211","1","48-49","74","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,33,35,37,485754,0,0,1068,"",2.78,1.06,1.13,1.18,1.48,0.00,0.00,1.32,"",0,0.0,-3,-8.3,0,0.0,2,5.7,17570,3.8,0,0.0,0,0.0,49,4.8
"13211","1","491","75","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,35,33,33,383602,0,0,876,"",2.77,1.16,1.09,1.09,1.41,0.00,0.00,1.27,"",0,0.0,-1,-2.8,-2,-5.7,-3,-8.3,6462,1.7,0,0.0,0,0.0,63,7.7
"13211","1","491","75","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,35,37,485754,0,0,1068,"",2.80,1.09,1.15,1.20,1.53,0.00,0.00,1.34,"",0,0.0,-3,-8.3,0,0.0,2,5.7,17570,3.8,0,0.0,0,0.0,49,4.8
"13211","1","4911","76","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,35,33,33,383602,0,0,876,"",2.77,1.16,1.09,1.09,1.41,0.00,0.00,1.27,"",0,0.0,-1,-2.8,-2,-5.7,-3,-8.3,6462,1.7,0,0.0,0,0.0,63,7.7
"13211","1","4911","76","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,33,35,37,485754,0,0,1068,"",2.80,1.09,1.15,1.20,1.53,0.00,0.00,1.34,"",0,0.0,-3,-8.3,0,0.0,2,5.7,17570,3.8,0,0.0,0,0.0,49,4.8
"13211","1","49111","77","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,35,33,33,383602,0,0,876,"",2.77,1.16,1.09,1.09,1.41,0.00,0.00,1.27,"",0,0.0,-1,-2.8,-2,-5.7,-3,-8.3,6462,1.7,0,0.0,0,0.0,63,7.7
"13211","1","49111","77","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,33,35,37,485754,0,0,1068,"",2.80,1.09,1.15,1.20,1.53,0.00,0.00,1.34,"",0,0.0,-3,-8.3,0,0.0,2,5.7,17570,3.8,0,0.0,0,0.0,49,4.8
"13211","1","491110","78","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,35,33,33,383602,0,0,876,"",2.77,1.16,1.09,1.09,1.41,0.00,0.00,1.27,"",0,0.0,-1,-2.8,-2,-5.7,-3,-8.3,6462,1.7,0,0.0,0,0.0,63,7.7
"13211","1","491110","78","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,33,35,37,485754,0,0,1068,"",2.80,1.09,1.15,1.20,1.53,0.00,0.00,1.34,"",0,0.0,-3,-8.3,0,0.0,2,5.7,17570,3.8,0,0.0,0,0.0,49,4.8
"13211","1","92","74","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,37824,0,0,970,"",0.84,0.04,0.04,0.04,0.04,0.00,0.00,0.92,"",0,0.0,1,50.0,1,50.0,1,50.0,1455,4.0,0,0.0,0,0.0,-429,-30.7
"13211","1","92","74","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,3,40773,0,0,1045,"",0.85,0.04,0.04,0.04,0.04,0.00,0.00,0.91,"",0,0.0,1,50.0,1,50.0,1,50.0,9669,31.1,0,0.0,0,0.0,-151,-12.6
"13211","1","924","75","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,37824,0,0,970,"",3.77,0.70,0.68,0.69,0.66,0.00,0.00,0.97,"",0,0.0,1,50.0,1,50.0,1,50.0,1455,4.0,0,0.0,0,0.0,-429,-30.7
"13211","1","924","75","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,40773,0,0,1045,"",3.82,0.66,0.62,0.59,0.70,0.00,0.00,1.12,"",0,0.0,1,50.0,1,50.0,1,50.0,9669,31.1,0,0.0,0,0.0,-151,-12.6
"13211","1","9241","76","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,37824,0,0,970,"",3.77,0.70,0.68,0.69,0.66,0.00,0.00,0.97,"",0,0.0,1,50.0,1,50.0,1,50.0,1455,4.0,0,0.0,0,0.0,-429,-30.7
"13211","1","9241","76","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,40773,0,0,1045,"",3.82,0.66,0.62,0.59,0.70,0.00,0.00,1.12,"",0,0.0,1,50.0,1,50.0,1,50.0,9669,31.1,0,0.0,0,0.0,-151,-12.6
"13211","1","92412","77","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,37824,0,0,970,"",3.97,0.86,0.83,0.84,0.90,0.00,0.00,1.07,"",0,0.0,1,50.0,1,50.0,1,50.0,1455,4.0,0,0.0,0,0.0,-429,-30.7
"13211","1","92412","77","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,40773,0,0,1045,"",4.02,0.81,0.75,0.70,0.93,0.00,0.00,1.24,"",0,0.0,1,50.0,1,50.0,1,50.0,9669,31.1,0,0.0,0,0.0,-151,-12.6
"13211","1","924120","78","0","2019","1","","Morgan County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,37824,0,0,970,"",3.97,0.86,0.83,0.84,0.90,0.00,0.00,1.07,"",0,0.0,1,50.0,1,50.0,1,50.0,1455,4.0,0,0.0,0,0.0,-429,-30.7
"13211","1","924120","78","0","2019","2","","Morgan County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,40773,0,0,1045,"",4.02,0.81,0.75,0.70,0.93,0.00,0.00,1.24,"",0,0.0,1,50.0,1,50.0,1,50.0,9669,31.1,0,0.0,0,0.0,-151,-12.6
"13211","2","10","71","0","2019","1","","Morgan County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,114,121,109,720078,0,0,483,"",2.31,0.50,0.52,0.46,0.32,0.00,0.00,0.66,"",-1,-11.1,-8,-6.6,-4,-3.2,1,0.9,-51715,-6.7,0,0.0,0,0.0,-19,-3.8
"13211","2","10","71","0","2019","2","","Morgan County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,123,123,123,739811,0,0,463,"",2.33,0.52,0.52,0.53,0.32,0.00,0.00,0.61,"",-1,-11.1,2,1.7,0,0.0,-1,-0.8,-67686,-8.4,0,0.0,0,0.0,-43,-8.5
"13211","2","102","72","0","2019","1","","Morgan County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,114,121,109,720078,0,0,483,"",2.38,0.51,0.53,0.47,0.33,0.00,0.00,0.66,"",-1,-11.1,-8,-6.6,-4,-3.2,1,0.9,-51715,-6.7,0,0.0,0,0.0,-19,-3.8
"13211","2","102","72","0","2019","2","","Morgan County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,123,123,123,739811,0,0,463,"",2.40,0.53,0.53,0.53,0.32,0.00,0.00,0.61,"",-1,-11.1,2,1.7,0,0.0,-1,-0.8,-67686,-8.4,0,0.0,0,0.0,-43,-8.5
"13211","2","1021","73","0","2019","1","N","Morgan County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13211","2","1021","73","0","2019","2","N","Morgan County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13211","2","1022","73","0","2019","1","N","Morgan County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",62.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
