"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13213","0","10","70","0","2019","1","","Murray County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",433,8602,8597,8609,76161921,44684455,974491,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.7,-258,-2.9,-308,-3.5,-375,-4.2,-4689913,-5.8,-2091709,-4.5,-235907,-19.5,-17,-2.4
"13213","0","10","70","0","2019","2","","Murray County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",433,8631,8426,8394,76553124,15437414,295875,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,-361,-4.0,-648,-7.1,-767,-8.4,-6298548,-7.6,-907251,-5.6,-45414,-13.3,-8,-1.1
"13213","1","10","71","0","2019","1","","Murray County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,91,88,87,1460321,0,0,1267,"",2.74,0.55,0.53,0.53,0.78,0.00,0.00,1.44,"",0,0.0,1,1.1,-4,-4.3,-6,-6.5,-54116,-3.6,0,0.0,0,0.0,-4,-0.3
"13213","1","10","71","0","2019","2","","Murray County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,90,94,94,1551904,0,0,1288,"",2.77,0.55,0.59,0.59,0.72,0.00,0.00,1.24,"",0,0.0,-4,-4.3,0,0.0,1,1.1,-7137,-0.5,0,0.0,0,0.0,8,0.6
"13213","1","102","72","0","2019","1","","Murray County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,91,88,87,1460321,0,0,1267,"",2.75,0.56,0.54,0.54,0.79,0.00,0.00,1.44,"",0,0.0,1,1.1,-4,-4.3,-6,-6.5,-54116,-3.6,0,0.0,0,0.0,-4,-0.3
"13213","1","102","72","0","2019","2","","Murray County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,90,94,94,1551904,0,0,1288,"",2.78,0.56,0.60,0.60,0.73,0.00,0.00,1.25,"",0,0.0,-4,-4.3,0,0.0,1,1.1,-7137,-0.5,0,0.0,0,0.0,8,0.6
"13213","1","1021","73","0","2019","1","","Murray County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,44,39,38,514736,0,0,982,"",3.89,1.11,0.98,0.96,1.53,0.00,0.00,1.51,"",0,0.0,1,2.3,-6,-13.3,-8,-17.4,7134,1.4,0,0.0,0,0.0,108,12.4
"13213","1","1021","73","0","2019","2","","Murray County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,41,43,45,608331,0,0,1088,"",3.92,1.04,1.12,1.18,1.52,0.00,0.00,1.37,"",0,0.0,-5,-10.9,-4,-8.5,-2,-4.3,23991,4.1,0,0.0,0,0.0,125,13.0
"13213","1","1024","73","0","2019","1","","Murray County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,27,27,27,633669,0,0,1805,"",16.07,6.87,6.91,6.91,12.45,0.00,0.00,1.81,"",0,0.0,1,3.8,1,3.8,1,3.8,-16879,-2.6,0,0.0,0,0.0,-120,-6.2
"13213","1","1024","73","0","2019","2","","Murray County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,27,27,25,577942,0,0,1688,"",16.18,6.98,7.09,6.54,10.67,0.00,0.00,1.55,"",0,0.0,0,0.0,0,0.0,-2,-7.4,-85172,-12.8,0,0.0,0,0.0,-201,-10.6
"13213","1","1028","73","0","2019","1","","Murray County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,20,22,22,311916,0,0,1125,"",0.97,0.22,0.25,0.25,0.27,0.00,0.00,1.14,"",0,0.0,-1,-4.8,1,4.8,1,4.8,-44371,-12.5,0,0.0,0,0.0,-180,-13.8
