"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13215","0","10","70","0","2019","1","","Muscogee County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4453,94066,94491,94993,1173527579,450830429,5491698,955,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-113,-2.5,1224,1.3,1285,1.4,835,0.9,8881198,0.8,3874519,0.9,-326662,-5.6,-4,-0.4
"13215","0","10","70","0","2019","2","","Muscogee County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4483,94789,94853,93927,1011690597,147371112,1956415,823,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-41,-0.9,914,1.0,512,0.5,-620,-0.7,35359183,3.6,2563074,1.8,-33856,-1.7,26,3.3
"13215","1","10","71","0","2019","1","","Muscogee County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",43,6216,6233,6232,91314409,0,0,1128,"",1.64,3.45,3.44,3.44,3.15,0.00,0.00,0.92,"",0,0.0,79,1.3,117,1.9,101,1.6,10298862,12.7,0,0.0,0,0.0,111,10.9
"13215","1","10","71","0","2019","2","","Muscogee County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",42,6197,6203,6116,87407674,0,0,1089,"",1.61,3.44,3.45,3.43,3.05,0.00,0.00,0.89,"",-1,-2.3,36,0.6,18,0.3,-21,-0.3,3652285,4.4,0,0.0,0,0.0,43,4.1
"13215","1","102","72","0","2019","1","","Muscogee County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",43,6216,6233,6232,91314409,0,0,1128,"",1.64,3.52,3.51,3.51,3.21,0.00,0.00,0.92,"",0,0.0,79,1.3,117,1.9,101,1.6,10298862,12.7,0,0.0,0,0.0,111,10.9
"13215","1","102","72","0","2019","2","","Muscogee County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",42,6197,6203,6116,87407674,0,0,1089,"",1.61,3.51,3.52,3.50,3.12,0.00,0.00,0.89,"",-1,-2.3,36,0.6,18,0.3,-21,-0.3,3652285,4.4,0,0.0,0,0.0,43,4.1
"13215","1","1021","73","0","2019","1","","Muscogee County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,1268,1271,1282,8156161,0,0,493,"",0.76,2.91,2.91,2.93,1.58,0.00,0.00,0.54,"",0,0.0,-12,-0.9,0,0.0,12,0.9,195565,2.5,0,0.0,0,0.0,12,2.5
"13215","1","1021","73","0","2019","2","","Muscogee County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,1282,1284,1278,8975152,0,0,539,"",0.76,2.96,2.98,3.00,1.70,0.00,0.00,0.57,"",0,0.0,17,1.3,16,1.3,10,0.8,197360,2.2,0,0.0,0,0.0,6,1.1
"13215","1","1022","73","0","2019","1","","Muscogee County, Georgia","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,10,9,8,57321,0,0,490,"",18.24,2.36,2.13,1.89,0.89,0.00,0.00,0.42,"",0,0.0,1,11.1,-1,-10.0,-3,-27.3,750,1.3,0,0.0,0,0.0,55,12.6
"13215","1","1022","73","0","2019","2","","Muscogee County, Georgia","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,64175,0,0,549,"",18.15,2.13,2.18,2.17,1.08,0.00,0.00,0.50,"",0,0.0,-2,-18.2,-3,-25.0,-3,-25.0,-8744,-12.0,0,0.0,0,0.0,68,14.1
