"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13219","0","10","70","0","2019","1","","Oconee County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1116,13248,13453,13470,138294571,71298310,774153,794,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,2.5,487,3.8,541,4.2,630,4.9,7760141,5.9,3235398,4.8,-90929,-10.5,12,1.5
"13219","0","10","70","0","2019","2","","Oconee County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1136,13617,13853,13622,136595088,23895835,252168,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,3.9,736,5.7,813,6.2,756,5.9,9775549,7.7,1200802,5.3,3094,1.2,12,1.6
"13219","1","10","71","0","2019","1","","Oconee County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,60,79,70,729956,0,0,806,"",1.22,0.24,0.31,0.27,0.21,0.00,0.00,0.79,"",-1,-11.1,-2,-3.2,17,27.4,13,22.8,16967,2.4,0,0.0,0,0.0,-103,-11.3
"13219","1","10","71","0","2019","2","","Oconee County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,65,69,68,845492,0,0,966,"",1.21,0.25,0.26,0.26,0.22,0.00,0.00,0.84,"",-1,-11.1,5,8.3,12,21.1,13,23.6,62554,8.0,0,0.0,0,0.0,-84,-8.0
"13219","1","102","72","0","2019","1","","Oconee County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,60,79,70,729956,0,0,806,"",1.22,0.24,0.31,0.28,0.22,0.00,0.00,0.79,"",-1,-11.1,-2,-3.2,17,27.4,13,22.8,16967,2.4,0,0.0,0,0.0,-103,-11.3
"13219","1","102","72","0","2019","2","","Oconee County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,65,69,68,845492,0,0,966,"",1.21,0.26,0.27,0.27,0.22,0.00,0.00,0.85,"",-1,-11.1,5,8.3,12,21.1,13,23.6,62554,8.0,0,0.0,0,0.0,-84,-8.0
"13219","1","1021","73","0","2019","1","","Oconee County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,55,67,65,642528,0,0,793,"",1.51,0.90,1.08,1.05,1.05,0.00,0.00,1.05,"",0,0.0,2,3.8,16,31.4,14,27.5,38578,6.4,0,0.0,0,0.0,-106,-11.8
"13219","1","1021","73","0","2019","2","","Oconee County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,57,64,63,751573,0,0,943,"",1.50,0.92,1.02,1.02,1.06,0.00,0.00,1.07,"",0,0.0,2,3.6,12,23.1,13,26.0,64665,9.4,0,0.0,0,0.0,-67,-6.6
"13219","1","1028","73","0","2019","1","","Oconee County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,12,5,87428,0,0,917,"",1.13,0.04,0.09,0.04,0.04,0.00,0.00,0.80,"",-1,-25.0,-4,-44.4,1,9.1,-1,-16.7,-21611,-19.8,0,0.0,0,0.0,-51,-5.3
"13219","1","1028","73","0","2019","2","","Oconee County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,5,5,93919,0,0,1204,"",1.12,0.06,0.04,0.04,0.04,0.00,0.00,0.95,"",-1,-25.0,3,60.0,0,0.0,0,0.0,-2111,-2.2,0,0.0,0,0.0,-273,-18.5
