"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13221","0","10","70","0","2019","1","","Oglethorpe County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",199,1649,1686,1696,14207686,7338518,76761,652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.5,-14,-0.8,19,1.1,39,2.4,797067,5.9,279215,4.0,619,0.8,31,5.0
"13221","0","10","70","0","2019","2","","Oglethorpe County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",201,1721,1702,1694,15068799,2935359,32744,680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,74,4.5,54,3.3,24,1.4,1031443,7.3,254614,9.5,4987,18.0,28,4.3
"13221","1","10","71","0","2019","1","","Oglethorpe County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",3.41,0.51,0.46,0.43,0.47,0.00,0.00,1.01,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","10","71","0","2019","2","","Oglethorpe County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",3.41,0.49,0.47,0.47,0.43,0.00,0.00,0.90,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","102","72","0","2019","1","","Oglethorpe County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",3.42,0.52,0.47,0.44,0.48,0.00,0.00,1.01,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","102","72","0","2019","2","","Oglethorpe County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",3.42,0.50,0.47,0.48,0.44,0.00,0.00,0.90,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","1021","73","0","2019","1","","Oglethorpe County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",6.77,2.10,1.93,1.79,2.65,0.00,0.00,1.37,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","1021","73","0","2019","2","","Oglethorpe County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",6.76,2.04,1.94,1.96,2.32,0.00,0.00,1.17,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","48-49","74","0","2019","1","","Oglethorpe County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",6.96,2.29,2.10,1.95,2.84,0.00,0.00,1.34,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","48-49","74","0","2019","2","","Oglethorpe County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",6.95,2.22,2.11,2.13,2.48,0.00,0.00,1.15,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","491","75","0","2019","1","","Oglethorpe County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",7.01,2.34,2.15,2.00,2.98,0.00,0.00,1.38,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","491","75","0","2019","2","","Oglethorpe County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",7.00,2.27,2.16,2.18,2.58,0.00,0.00,1.17,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","4911","76","0","2019","1","","Oglethorpe County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",7.01,2.34,2.15,2.00,2.98,0.00,0.00,1.38,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","4911","76","0","2019","2","","Oglethorpe County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",7.00,2.27,2.16,2.18,2.58,0.00,0.00,1.17,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","49111","77","0","2019","1","","Oglethorpe County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",7.01,2.34,2.15,2.00,2.98,0.00,0.00,1.38,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
"13221","1","49111","77","0","2019","2","","Oglethorpe County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,15,15,181910,0,0,913,"",7.00,2.27,2.16,2.18,2.58,0.00,0.00,1.17,"",0,0.0,0,0.0,-1,-6.2,-1,-6.2,-10428,-5.4,0,0.0,0,0.0,-12,-1.3
"13221","1","491110","78","0","2019","1","","Oglethorpe County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,15,14,165774,0,0,850,"",7.01,2.34,2.15,2.00,2.98,0.00,0.00,1.38,"",0,0.0,1,6.7,-1,-6.2,-1,-6.7,1374,0.8,0,0.0,0,0.0,25,3.0
