"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13225","0","10","70","0","2019","1","","Peach County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",540,9663,10053,10240,91402188,53423061,2076888,704,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,2.9,165,1.7,279,2.9,413,4.2,3476365,4.0,2143439,4.2,-38867,-1.8,7,1.0
"13225","0","10","70","0","2019","2","","Peach County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",547,10343,10488,10482,100217974,19946709,620019,739,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,5.0,558,5.7,665,6.8,579,5.8,7731976,8.4,2236605,12.6,74994,13.8,16,2.2
"13225","1","10","71","0","2019","1","","Peach County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,105,121,122,1457032,0,0,966,"",3.14,0.57,0.63,0.62,0.65,0.00,0.00,1.06,"",1,11.1,-7,-6.2,9,8.0,13,11.9,43924,3.1,0,0.0,0,0.0,-13,-1.3
"13225","1","10","71","0","2019","2","","Peach County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,122,120,125,1541066,0,0,969,"",3.13,0.62,0.60,0.63,0.54,0.00,0.00,0.88,"",0,0.0,10,8.9,6,5.3,2,1.6,111631,7.8,0,0.0,0,0.0,24,2.5
"13225","1","102","72","0","2019","1","","Peach County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,105,121,122,1457032,0,0,966,"",3.15,0.58,0.64,0.64,0.66,0.00,0.00,1.06,"",1,11.1,-7,-6.2,9,8.0,13,11.9,43924,3.1,0,0.0,0,0.0,-13,-1.3
"13225","1","102","72","0","2019","2","","Peach County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,122,120,125,1541066,0,0,969,"",3.14,0.63,0.62,0.64,0.55,0.00,0.00,0.88,"",0,0.0,10,8.9,6,5.3,2,1.6,111631,7.8,0,0.0,0,0.0,24,2.5
"13225","1","1021","73","0","2019","1","","Peach County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,52,53,54,598460,0,0,869,"",1.25,1.16,1.14,1.15,1.49,0.00,0.00,1.29,"",0,0.0,3,6.1,4,8.2,7,14.9,33077,5.9,0,0.0,0,0.0,-31,-3.4
"13225","1","1021","73","0","2019","2","","Peach County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,54,56,55,700947,0,0,980,"",1.24,1.14,1.17,1.16,1.34,0.00,0.00,1.16,"",0,0.0,5,10.2,8,16.7,3,5.8,28124,4.2,0,0.0,0,0.0,-62,-6.0
"13225","1","1023","73","0","2019","1","","Peach County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,95516,0,0,1225,"",23.80,7.45,7.24,7.12,6.96,0.00,0.00,0.96,"",0,0.0,0,0.0,1,20.0,1,20.0,-2368,-2.4,0,0.0,0,0.0,-187,-13.2
"13225","1","1023","73","0","2019","2","","Peach County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,88963,0,0,1369,"",23.94,5.91,5.89,5.85,5.47,0.00,0.00,0.93,"",0,0.0,-2,-28.6,-2,-28.6,-2,-28.6,1185,1.3,0,0.0,0,0.0,404,41.9
