"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13227","0","10","70","0","2019","1","","Pickens County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",728,7970,7935,7981,89842590,45753583,588388,868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.7,278,3.6,160,2.1,97,1.2,744266,0.8,284147,0.6,-93696,-13.7,-13,-1.5
"13227","0","10","70","0","2019","2","","Pickens County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",736,7875,7946,7953,90383859,14377710,175802,877,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,2.1,40,0.5,113,1.4,138,1.8,2352847,2.7,209058,1.5,-19625,-10.0,12,1.4
"13227","1","10","71","0","2019","1","","Pickens County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,59,60,61,727779,0,0,933,"",1.40,0.39,0.39,0.40,0.33,0.00,0.00,0.83,"",0,0.0,1,1.7,0,0.0,0,0.0,-25619,-3.4,0,0.0,0,0.0,-38,-3.9
"13227","1","10","71","0","2019","2","","Pickens County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,57,58,58,834012,0,0,1113,"",1.40,0.38,0.39,0.38,0.33,0.00,0.00,0.85,"",0,0.0,-4,-6.6,-2,-3.3,2,3.6,-16516,-1.9,0,0.0,0,0.0,4,0.4
"13227","1","102","72","0","2019","1","","Pickens County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,59,60,61,727779,0,0,933,"",1.40,0.39,0.40,0.41,0.33,0.00,0.00,0.83,"",0,0.0,1,1.7,0,0.0,0,0.0,-25619,-3.4,0,0.0,0,0.0,-38,-3.9
"13227","1","102","72","0","2019","2","","Pickens County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,57,58,58,834012,0,0,1113,"",1.40,0.39,0.39,0.39,0.33,0.00,0.00,0.85,"",0,0.0,-4,-6.6,-2,-3.3,2,3.6,-16516,-1.9,0,0.0,0,0.0,4,0.4
"13227","1","1021","73","0","2019","1","","Pickens County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,58,59,60,705498,0,0,920,"",2.31,1.57,1.61,1.63,1.78,0.00,0.00,1.11,"",0,0.0,1,1.8,0,0.0,0,0.0,-25551,-3.5,0,0.0,0,0.0,-39,-4.1
"13227","1","1021","73","0","2019","2","","Pickens County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,56,57,57,807187,0,0,1096,"",2.31,1.56,1.58,1.58,1.71,0.00,0.00,1.09,"",0,0.0,-4,-6.7,-2,-3.4,2,3.6,-17191,-2.1,0,0.0,0,0.0,3,0.3
"13227","1","1028","73","0","2019","1","","Pickens County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22281,0,0,1714,"",0.58,0.01,0.01,0.01,0.02,0.00,0.00,1.36,"",0,0.0,0,0.0,0,0.0,0,0.0,-68,-0.3,0,0.0,0,0.0,-5,-0.3
"13227","1","1028","73","0","2019","2","","Pickens County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,26825,0,0,2063,"",0.58,0.01,0.01,0.01,0.02,0.00,0.00,1.43,"",0,0.0,0,0.0,0,0.0,0,0.0,675,2.6,0,0.0,0,0.0,51,2.5
"13227","1","48-49","74","0","2019","1","","Pickens County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,58,59,60,705498,0,0,920,"",2.38,1.72,1.76,1.78,1.91,0.00,0.00,1.09,"",0,0.0,1,1.8,0,0.0,0,0.0,-25551,-3.5,0,0.0,0,0.0,-39,-4.1
"13227","1","48-49","74","0","2019","2","","Pickens County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,56,57,57,807187,0,0,1096,"",2.37,1.70,1.72,1.72,1.84,0.00,0.00,1.07,"",0,0.0,-4,-6.7,-2,-3.4,2,3.6,-17191,-2.1,0,0.0,0,0.0,3,0.3
"13227","1","491","75","0","2019","1","","Pickens County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,58,59,60,705498,0,0,920,"",2.39,1.75,1.80,1.82,2.01,0.00,0.00,1.12,"",0,0.0,1,1.8,0,0.0,0,0.0,-25551,-3.5,0,0.0,0,0.0,-39,-4.1
"13227","1","491","75","0","2019","2","","Pickens County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,56,57,57,807187,0,0,1096,"",2.39,1.74,1.76,1.76,1.91,0.00,0.00,1.09,"",0,0.0,-4,-6.7,-2,-3.4,2,3.6,-17191,-2.1,0,0.0,0,0.0,3,0.3
