"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13229","0","10","70","0","2019","1","","Pierce County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",345,4145,4133,4144,35363660,21256692,233598,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-2.8,112,2.8,70,1.7,60,1.5,786567,2.3,27687,0.1,-63116,-21.3,2,0.3
"13229","0","10","70","0","2019","2","","Pierce County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",348,4146,4208,4143,36170647,7883702,86342,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.7,101,2.5,100,2.4,-20,-0.5,457719,1.3,-40755,-0.5,-16261,-15.8,-1,-0.1
"13229","1","10","71","0","2019","1","","Pierce County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,49,53,49,567251,0,0,867,"",3.44,0.62,0.67,0.62,0.65,0.00,0.00,1.02,"",-1,-12.5,-2,-3.9,1,1.9,-7,-12.5,-98729,-14.8,0,0.0,0,0.0,-100,-10.3
"13229","1","10","71","0","2019","2","","Pierce County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,53,47,48,607986,0,0,948,"",3.45,0.67,0.59,0.61,0.59,0.00,0.00,0.95,"",-1,-12.5,1,1.9,-5,-9.6,-8,-14.3,-79462,-11.6,0,0.0,0,0.0,-44,-4.4
"13229","1","102","72","0","2019","1","","Pierce County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,49,53,49,567251,0,0,867,"",3.45,0.63,0.68,0.63,0.66,0.00,0.00,1.02,"",-1,-12.5,-2,-3.9,1,1.9,-7,-12.5,-98729,-14.8,0,0.0,0,0.0,-100,-10.3
"13229","1","102","72","0","2019","2","","Pierce County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,53,47,48,607986,0,0,948,"",3.45,0.69,0.60,0.62,0.61,0.00,0.00,0.95,"",-1,-12.5,1,1.9,-5,-9.6,-8,-14.3,-79462,-11.6,0,0.0,0,0.0,-44,-4.4
"13229","1","1021","73","0","2019","1","","Pierce County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,34,35,365274,0,0,803,"",4.88,1.88,1.78,1.84,2.34,0.00,0.00,1.28,"",0,0.0,2,5.9,-1,-2.9,1,2.9,832,0.2,0,0.0,0,0.0,-14,-1.7
"13229","1","1021","73","0","2019","2","","Pierce County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,33,32,34,426924,0,0,995,"",4.88,1.74,1.67,1.81,2.26,0.00,0.00,1.30,"",0,0.0,-2,-5.7,-3,-8.6,-1,-2.9,-9223,-2.1,0,0.0,0,0.0,36,3.8
"13229","1","1023","73","0","2019","1","","Pierce County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,3,54880,0,0,1151,"",37.26,11.59,11.73,8.79,10.33,0.00,0.00,0.96,"",0,0.0,0,0.0,0,0.0,-1,-25.0,-26252,-32.4,0,0.0,0,0.0,-409,-26.2
"13229","1","1023","73","0","2019","2","","Pierce County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,32422,0,0,624,"",37.62,11.79,11.75,11.83,5.52,0.00,0.00,0.47,"",0,0.0,0,0.0,0,0.0,0,0.0,-37452,-53.6,0,0.0,0,0.0,-720,-53.6
"13229","1","1028","73","0","2019","1","","Pierce County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,9,15,11,147097,0,0,970,"",1.22,0.21,0.35,0.26,0.28,0.00,0.00,1.02,"",-1,-50.0,-4,-30.8,2,15.4,-7,-38.9,-73309,-33.3,0,0.0,0,0.0,-186,-16.1
"13229","1","1028","73","0","2019","2","","Pierce County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,16,11,10,148640,0,0,927,"",1.22,0.37,0.25,0.23,0.24,0.00,0.00,0.84,"",-1,-50.0,3,23.1,-2,-15.4,-7,-41.2,-32787,-18.1,0,0.0,0,0.0,-47,-4.8
"13229","1","48-49","74","0","2019","1","","Pierce County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,34,35,365274,0,0,803,"",5.02,2.05,1.94,2.00,2.52,0.00,0.00,1.26,"",0,0.0,2,5.9,-1,-2.9,1,2.9,832,0.2,0,0.0,0,0.0,-14,-1.7
"13229","1","48-49","74","0","2019","2","","Pierce County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,33,32,34,426924,0,0,995,"",5.02,1.90,1.82,1.97,2.43,0.00,0.00,1.28,"",0,0.0,-2,-5.7,-3,-8.6,-1,-2.9,-9223,-2.1,0,0.0,0,0.0,36,3.8
"13229","1","491","75","0","2019","1","","Pierce County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,34,35,365274,0,0,803,"",5.05,2.09,1.99,2.04,2.64,0.00,0.00,1.29,"",0,0.0,2,5.9,-1,-2.9,1,2.9,832,0.2,0,0.0,0,0.0,-14,-1.7
