"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13231","0","10","70","0","2019","1","","Pike County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",273,2981,2979,2995,26116822,15025043,261203,673,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,4.2,66,2.3,35,1.2,28,0.9,419308,1.6,462226,3.2,19627,8.1,1,0.1
"13231","0","10","70","0","2019","2","","Pike County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",272,3044,2999,2951,26555249,4963111,65971,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.5,74,2.5,-10,-0.3,-69,-2.3,1437376,5.7,-517008,-9.4,-22122,-25.1,37,5.7
"13231","1","10","71","0","2019","1","","Pike County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,32,32,32,388246,0,0,933,"",2.49,0.56,0.56,0.56,0.60,0.00,0.00,1.07,"",0,0.0,-1,-3.0,-1,-3.0,-1,-3.0,16353,4.4,0,0.0,0,0.0,66,7.6
"13231","1","10","71","0","2019","2","","Pike County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,34,32,34,438740,0,0,1012,"",2.52,0.59,0.56,0.61,0.58,0.00,0.00,1.00,"",0,0.0,0,0.0,-4,-11.1,-2,-5.6,-14605,-3.2,0,0.0,0,0.0,25,2.5
"13231","1","102","72","0","2019","1","","Pike County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,32,32,32,388246,0,0,933,"",2.49,0.57,0.57,0.57,0.61,0.00,0.00,1.07,"",0,0.0,-1,-3.0,-1,-3.0,-1,-3.0,16353,4.4,0,0.0,0,0.0,66,7.6
"13231","1","102","72","0","2019","2","","Pike County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,34,32,34,438740,0,0,1012,"",2.53,0.60,0.57,0.62,0.60,0.00,0.00,1.00,"",0,0.0,0,0.0,-4,-11.1,-2,-5.6,-14605,-3.2,0,0.0,0,0.0,25,2.5
"13231","1","1021","73","0","2019","1","","Pike County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,32,32,32,388246,0,0,933,"",4.94,2.32,2.33,2.32,3.37,0.00,0.00,1.45,"",0,0.0,-1,-3.0,-1,-3.0,-1,-3.0,16353,4.4,0,0.0,0,0.0,66,7.6
"13231","1","1021","73","0","2019","2","","Pike County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,34,32,34,438740,0,0,1012,"",5.00,2.45,2.35,2.54,3.17,0.00,0.00,1.30,"",0,0.0,0,0.0,-4,-11.1,-2,-5.6,-14605,-3.2,0,0.0,0,0.0,25,2.5
"13231","1","48-49","74","0","2019","1","","Pike County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,32,32,32,388246,0,0,933,"",5.08,2.53,2.54,2.53,3.62,0.00,0.00,1.43,"",0,0.0,-1,-3.0,-1,-3.0,-1,-3.0,16353,4.4,0,0.0,0,0.0,66,7.6
"13231","1","48-49","74","0","2019","2","","Pike County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,34,32,34,438740,0,0,1012,"",5.14,2.67,2.56,2.77,3.40,0.00,0.00,1.28,"",0,0.0,0,0.0,-4,-11.1,-2,-5.6,-14605,-3.2,0,0.0,0,0.0,25,2.5
