"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13253","0","10","70","0","2019","1","","Seminole County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",206,2175,2311,2316,19342042,9702991,89714,656,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-5.1,-26,-1.2,-11,-0.5,-68,-2.9,-18207,-0.1,-467390,-4.6,-25067,-21.8,9,1.4
"13253","0","10","70","0","2019","2","","Seminole County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",206,2328,2347,2300,19663387,3780794,53308,651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.8,3,0.1,-68,-2.8,-49,-2.1,-330498,-1.7,-321687,-7.8,-5865,-9.9,0,0.0
"13253","1","10","71","0","2019","1","","Seminole County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,24,22,22,222045,0,0,754,"",1.65,0.58,0.50,0.50,0.47,0.00,0.00,0.89,"",0,0.0,5,26.3,2,10.0,3,15.8,11520,5.5,0,0.0,0,0.0,-84,-10.0
"13253","1","10","71","0","2019","2","","Seminole County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,21,23,24,260542,0,0,884,"",1.66,0.48,0.52,0.55,0.47,0.00,0.00,0.91,"",0,0.0,0,0.0,1,4.5,1,4.3,-2581,-1.0,0,0.0,0,0.0,-36,-3.9
"13253","1","102","72","0","2019","1","","Seminole County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,24,22,22,222045,0,0,754,"",1.65,0.59,0.51,0.51,0.47,0.00,0.00,0.89,"",0,0.0,5,26.3,2,10.0,3,15.8,11520,5.5,0,0.0,0,0.0,-84,-10.0
"13253","1","102","72","0","2019","2","","Seminole County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,21,23,24,260542,0,0,884,"",1.67,0.48,0.53,0.56,0.48,0.00,0.00,0.91,"",0,0.0,0,0.0,1,4.5,1,4.3,-2581,-1.0,0,0.0,0,0.0,-36,-3.9
"13253","1","1021","73","0","2019","1","","Seminole County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,22,22,222045,0,0,754,"",3.27,2.39,2.06,2.06,2.61,0.00,0.00,1.20,"",0,0.0,5,26.3,2,10.0,3,15.8,11520,5.5,0,0.0,0,0.0,-84,-10.0
"13253","1","1021","73","0","2019","2","","Seminole County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,21,23,24,260542,0,0,884,"",3.30,1.98,2.15,2.30,2.54,0.00,0.00,1.18,"",0,0.0,0,0.0,1,4.5,1,4.3,-2581,-1.0,0,0.0,0,0.0,-36,-3.9
"13253","1","48-49","74","0","2019","1","","Seminole County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,22,22,222045,0,0,754,"",3.36,2.60,2.25,2.25,2.80,0.00,0.00,1.19,"",0,0.0,5,26.3,2,10.0,3,15.8,11520,5.5,0,0.0,0,0.0,-84,-10.0
"13253","1","48-49","74","0","2019","2","","Seminole County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,21,23,24,260542,0,0,884,"",3.39,2.15,2.35,2.51,2.72,0.00,0.00,1.17,"",0,0.0,0,0.0,1,4.5,1,4.3,-2581,-1.0,0,0.0,0,0.0,-36,-3.9
