"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13257","0","10","70","0","2019","1","","Stephens County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",547,8929,8989,9024,88712472,48149043,748766,760,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.4,49,0.6,-44,-0.5,-138,-1.5,646354,0.7,-429096,-0.9,-81452,-9.8,9,1.2
"13257","0","10","70","0","2019","2","","Stephens County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",546,9015,9068,9012,90126720,15236371,236310,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.7,-2,0.0,21,0.2,12,0.1,4669503,5.5,-591035,-3.7,-7551,-3.1,39,5.3
"13257","1","10","71","0","2019","1","","Stephens County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,67,64,63,873909,0,0,1040,"",0.93,0.39,0.37,0.37,0.40,0.00,0.00,1.06,"",0,0.0,1,1.5,-3,-4.5,-2,-3.1,-33607,-3.7,0,0.0,0,0.0,-18,-1.7
"13257","1","10","71","0","2019","2","","Stephens County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,61,67,68,1009352,0,0,1188,"",0.94,0.36,0.39,0.40,0.40,0.00,0.00,1.04,"",0,0.0,-7,-10.3,3,4.7,5,7.9,59676,6.3,0,0.0,0,0.0,64,5.7
"13257","1","102","72","0","2019","1","","Stephens County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,67,64,63,873909,0,0,1040,"",0.93,0.40,0.38,0.37,0.41,0.00,0.00,1.06,"",0,0.0,1,1.5,-3,-4.5,-2,-3.1,-33607,-3.7,0,0.0,0,0.0,-18,-1.7
"13257","1","102","72","0","2019","2","","Stephens County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,61,67,68,1009352,0,0,1188,"",0.94,0.36,0.40,0.41,0.40,0.00,0.00,1.04,"",0,0.0,-7,-10.3,3,4.7,5,7.9,59676,6.3,0,0.0,0,0.0,64,5.7
"13257","1","1021","73","0","2019","1","","Stephens County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,50,47,46,563380,0,0,909,"",1.23,1.21,1.13,1.11,1.44,0.00,0.00,1.25,"",0,0.0,0,0.0,-4,-7.8,-3,-6.1,-26313,-4.5,0,0.0,0,0.0,2,0.2
"13257","1","1021","73","0","2019","2","","Stephens County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,44,50,51,702317,0,0,1118,"",1.24,1.07,1.21,1.25,1.50,0.00,0.00,1.27,"",0,0.0,-8,-15.4,2,4.2,4,8.5,33549,5.0,0,0.0,0,0.0,68,6.5
"13257","1","1028","73","0","2019","1","","Stephens County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,17,17,17,310529,0,0,1405,"",0.77,0.18,0.18,0.18,0.23,0.00,0.00,1.27,"",0,0.0,1,6.2,1,6.2,1,6.2,-7294,-2.3,0,0.0,0,0.0,-123,-8.0
"13257","1","1028","73","0","2019","2","","Stephens County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,17,17,17,307035,0,0,1389,"",0.78,0.18,0.18,0.18,0.20,0.00,0.00,1.10,"",0,0.0,1,6.2,1,6.2,1,6.2,26127,9.3,0,0.0,0,0.0,38,2.8
