"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13265","0","10","70","0","2019","1","","Taliaferro County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",22,197,225,220,1705379,742994,11969,613,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-12.0,-4,-2.0,6,2.7,-31,-12.4,31326,1.9,152129,25.7,2923,32.3,37,6.4
"13265","0","10","70","0","2019","2","","Taliaferro County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",23,218,216,388,2348363,791756,17192,659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-8.0,24,12.4,18,9.1,166,74.8,730067,45.1,445895,128.9,10801,169.0,51,8.4
"13265","1","10","71","0","2019","1","","Taliaferro County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,3,3,3,28484,0,0,730,"",15.43,0.80,0.70,0.71,0.68,0.00,0.00,0.92,"",0,0.0,0,0.0,-21,-87.5,-53,-94.6,-154204,-84.4,0,0.0,0,0.0,222,43.7
"13265","1","10","71","0","2019","2","","Taliaferro County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,3,3,3,33567,0,0,861,"",14.90,0.72,0.73,0.41,0.51,0.00,0.00,0.88,"",0,0.0,-1,-25.0,0,0.0,0,0.0,351,1.1,0,0.0,0,0.0,94,12.3
"13265","1","102","72","0","2019","1","","Taliaferro County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,3,3,3,28484,0,0,730,"",15.47,0.81,0.71,0.73,0.69,0.00,0.00,0.92,"",0,0.0,0,0.0,-21,-87.5,-53,-94.6,-154204,-84.4,0,0.0,0,0.0,222,43.7
"13265","1","102","72","0","2019","2","","Taliaferro County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,3,3,3,33567,0,0,861,"",14.93,0.74,0.75,0.42,0.52,0.00,0.00,0.88,"",0,0.0,-1,-25.0,0,0.0,0,0.0,351,1.1,0,0.0,0,0.0,94,12.3
"13265","1","1021","73","0","2019","1","","Taliaferro County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,28484,0,0,730,"",30.63,3.29,2.89,2.96,3.79,0.00,0.00,1.25,"",0,0.0,0,0.0,-21,-87.5,-53,-94.6,-154204,-84.4,0,0.0,0,0.0,222,43.7
"13265","1","1021","73","0","2019","2","","Taliaferro County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,33567,0,0,861,"",29.55,3.02,3.05,1.71,2.74,0.00,0.00,1.14,"",0,0.0,-1,-25.0,0,0.0,0,0.0,351,1.1,0,0.0,0,0.0,94,12.3
"13265","1","48-49","74","0","2019","1","","Taliaferro County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,3,3,28484,0,0,730,"",31.49,3.59,3.15,3.23,4.07,0.00,0.00,1.23,"",0,0.0,0,0.0,-21,-87.5,-53,-94.6,-154204,-84.4,0,0.0,0,0.0,222,43.7
"13265","1","48-49","74","0","2019","2","","Taliaferro County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,3,3,3,33567,0,0,861,"",30.38,3.29,3.33,1.86,2.94,0.00,0.00,1.12,"",0,0.0,-1,-25.0,0,0.0,0,0.0,351,1.1,0,0.0,0,0.0,94,12.3
