"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13273","0","10","70","0","2019","1","","Terrell County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",203,2048,2061,2087,16806332,8958878,86388,626,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.5,-326,-13.7,-307,-13.0,-258,-11.0,-2780167,-14.2,-2609702,-22.6,-62820,-42.1,-12,-1.9
"13273","0","10","70","0","2019","2","","Terrell County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",207,1936,1932,2032,17299817,3154705,29790,677,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.0,-442,-18.6,-461,-19.3,-52,-2.5,-251036,-1.4,-263909,-7.7,-4669,-13.5,86,14.6
"13273","1","10","71","0","2019","1","","Terrell County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,54,60,55,865724,0,0,1182,"",8.36,1.38,1.52,1.38,2.09,0.00,0.00,1.46,"",0,0.0,-5,-8.5,1,1.7,-1,-1.8,-150226,-14.8,0,0.0,0,0.0,-165,-12.2
"13273","1","10","71","0","2019","2","","Terrell County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,56,52,56,885477,0,0,1246,"",8.28,1.52,1.42,1.45,1.81,0.00,0.00,1.23,"",1,11.1,-1,-1.8,-7,-11.9,-2,-3.4,-24346,-2.7,0,0.0,0,0.0,39,3.2
"13273","1","102","72","0","2019","1","","Terrell County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,54,60,55,865724,0,0,1182,"",8.38,1.40,1.55,1.41,2.13,0.00,0.00,1.46,"",0,0.0,-5,-8.5,1,1.7,-1,-1.8,-150226,-14.8,0,0.0,0,0.0,-165,-12.2
"13273","1","102","72","0","2019","2","","Terrell County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,56,52,56,885477,0,0,1246,"",8.30,1.55,1.45,1.48,1.85,0.00,0.00,1.23,"",1,11.1,-1,-1.8,-7,-11.9,-2,-3.4,-24346,-2.7,0,0.0,0,0.0,39,3.2
"13273","1","1021","73","0","2019","1","","Terrell County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,13,13,14,176006,0,0,1015,"",6.64,1.37,1.37,1.46,2.38,0.00,0.00,1.70,"",0,0.0,-2,-13.3,-1,-7.1,0,0.0,-1713,-1.0,0,0.0,0,0.0,61,6.4
"13273","1","1021","73","0","2019","2","","Terrell County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,15,15,210202,0,0,1102,"",6.57,1.58,1.71,1.63,2.33,0.00,0.00,1.42,"",1,33.3,0,0.0,0,0.0,0,0.0,-2276,-1.1,0,0.0,0,0.0,-12,-1.1
"13273","1","1023","73","0","2019","1","","Terrell County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,1,1,19128,0,0,1104,"",63.32,11.72,5.88,5.82,7.58,0.00,0.00,0.97,"",0,0.0,0,0.0,-1,-50.0,-1,-50.0,-16417,-46.2,0,0.0,0,0.0,-263,-19.2
"13273","1","1023","73","0","2019","2","","Terrell County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,19709,0,0,1516,"",63.25,6.31,6.40,6.03,7.02,0.00,0.00,1.12,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-11373,-36.6,0,0.0,0,0.0,321,26.9
