"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13277","0","10","70","0","2019","1","","Tift County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1053,20319,20563,20741,194217326,106751498,1257151,727,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-1.7,638,3.2,716,3.6,787,3.9,10435269,5.7,22403594,26.6,376436,42.7,14,2.0
"13277","0","10","70","0","2019","2","","Tift County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1067,20647,20782,20837,197726764,39784506,427342,733,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,737,3.7,708,3.5,816,4.1,8243168,4.4,4992905,14.4,81329,23.5,4,0.5
"13277","1","10","71","0","2019","1","","Tift County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,180,182,176,2545255,0,0,1092,"",2.26,0.46,0.46,0.44,0.53,0.00,0.00,1.16,"",0,0.0,-15,-7.7,-13,-6.7,-19,-9.7,-446012,-14.9,0,0.0,0,0.0,-88,-7.5
"13277","1","10","71","0","2019","2","","Tift County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,183,176,184,2612570,0,0,1110,"",2.25,0.47,0.45,0.47,0.47,0.00,0.00,1.02,"",0,0.0,-4,-2.1,-13,-6.9,-17,-8.5,-81407,-3.0,0,0.0,0,0.0,33,3.1
"13277","1","102","72","0","2019","1","","Tift County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,180,182,176,2545255,0,0,1092,"",2.26,0.47,0.47,0.45,0.54,0.00,0.00,1.16,"",0,0.0,-15,-7.7,-13,-6.7,-19,-9.7,-446012,-14.9,0,0.0,0,0.0,-88,-7.5
"13277","1","102","72","0","2019","2","","Tift County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,183,176,184,2612570,0,0,1110,"",2.25,0.48,0.46,0.47,0.48,0.00,0.00,1.02,"",0,0.0,-4,-2.1,-13,-6.9,-17,-8.5,-81407,-3.0,0,0.0,0,0.0,33,3.1
"13277","1","1021","73","0","2019","1","","Tift County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,58,58,57,693805,0,0,925,"",1.60,0.62,0.61,0.60,0.81,0.00,0.00,1.33,"",0,0.0,2,3.6,0,0.0,-4,-6.6,48423,7.5,0,0.0,0,0.0,74,8.7
"13277","1","1021","73","0","2019","2","","Tift County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,62,57,54,759865,0,0,1014,"",1.59,0.66,0.60,0.57,0.74,0.00,0.00,1.21,"",0,0.0,4,6.9,0,0.0,-4,-6.9,17498,2.4,0,0.0,0,0.0,24,2.4
"13277","1","1023","73","0","2019","1","","Tift County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,6,108062,0,0,1134,"",12.21,4.73,4.72,3.51,3.70,0.00,0.00,0.86,"",0,0.0,-1,-11.1,0,0.0,-2,-25.0,-47042,-30.3,0,0.0,0,0.0,-298,-20.8
"13277","1","1023","73","0","2019","2","","Tift County, Georgia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,110255,0,0,1414,"",12.27,3.55,3.57,3.53,3.43,0.00,0.00,0.97,"",0,0.0,-3,-33.3,-3,-33.3,-3,-33.3,-34206,-23.7,0,0.0,0,0.0,179,14.5
