"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13285","0","10","70","0","2019","1","","Troup County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1529,39603,39894,40257,450133646,251264490,3590463,867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.1,1057,2.7,1290,3.3,1714,4.4,22660196,5.3,8974724,3.7,-161761,-4.3,14,1.6
"13285","0","10","70","0","2019","2","","Troup County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1545,40250,40675,40644,442311734,82331730,1117623,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,2.0,1666,4.3,1368,3.5,1300,3.3,32832416,8.0,7384826,9.9,-72547,-6.1,34,4.2
"13285","1","10","71","0","2019","1","","Troup County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,137,132,133,2149806,0,0,1234,"",0.56,0.18,0.17,0.17,0.19,0.00,0.00,1.10,"",0,0.0,-9,-6.2,-8,-5.7,-6,-4.3,92186,4.5,0,0.0,0,0.0,117,10.5
"13285","1","10","71","0","2019","2","","Troup County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,130,139,139,2313768,0,0,1309,"",0.55,0.17,0.18,0.18,0.18,0.00,0.00,1.04,"",0,0.0,-14,-9.7,-3,-2.1,0,0.0,81499,3.7,0,0.0,0,0.0,97,8.0
"13285","1","102","72","0","2019","1","","Troup County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,137,132,133,2149806,0,0,1234,"",0.56,0.18,0.18,0.18,0.20,0.00,0.00,1.10,"",0,0.0,-9,-6.2,-8,-5.7,-6,-4.3,92186,4.5,0,0.0,0,0.0,117,10.5
"13285","1","102","72","0","2019","2","","Troup County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,130,139,139,2313768,0,0,1309,"",0.56,0.17,0.18,0.18,0.19,0.00,0.00,1.05,"",0,0.0,-14,-9.7,-3,-2.1,0,0.0,81499,3.7,0,0.0,0,0.0,97,8.0
"13285","1","1021","73","0","2019","1","","Troup County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,92,87,88,1207986,0,0,1044,"",0.66,0.50,0.47,0.47,0.61,0.00,0.00,1.26,"",0,0.0,-8,-8.0,-6,-6.5,-4,-4.3,37641,3.2,0,0.0,0,0.0,96,10.1
"13285","1","1021","73","0","2019","2","","Troup County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,85,95,95,1446386,0,0,1214,"",0.66,0.46,0.51,0.52,0.63,0.00,0.00,1.26,"",0,0.0,-12,-12.4,0,0.0,2,2.2,31950,2.3,0,0.0,0,0.0,69,6.0
"13285","1","1024","73","0","2019","1","","Troup County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,29,29,29,633192,0,0,1680,"",4.55,1.60,1.60,1.59,2.11,0.00,0.00,1.32,"",0,0.0,0,0.0,0,0.0,0,0.0,112096,21.5,0,0.0,0,0.0,298,21.6
"13285","1","1024","73","0","2019","2","","Troup County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,29,28,28,557333,0,0,1513,"",4.54,1.61,1.52,1.51,1.78,0.00,0.00,1.15,"",0,0.0,0,0.0,-1,-3.4,-1,-3.4,43446,8.5,0,0.0,0,0.0,150,11.0
"13285","1","1028","73","0","2019","1","","Troup County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,16,16,16,308628,0,0,1484,"",0.28,0.04,0.04,0.04,0.05,0.00,0.00,1.18,"",0,0.0,-1,-5.9,-2,-11.1,-2,-11.1,-57551,-15.7,0,0.0,0,0.0,-110,-6.9
"13285","1","1028","73","0","2019","2","","Troup County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,16,16,16,310049,0,0,1491,"",0.28,0.04,0.04,0.04,0.04,0.00,0.00,1.08,"",0,0.0,-2,-11.1,-2,-11.1,-1,-5.9,6103,2.0,0,0.0,0,0.0,168,12.7
"13285","1","48-49","74","0","2019","1","","Troup County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,92,87,88,1207986,0,0,1044,"",0.68,0.55,0.52,0.52,0.65,0.00,0.00,1.24,"",0,0.0,-8,-8.0,-6,-6.5,-4,-4.3,37641,3.2,0,0.0,0,0.0,96,10.1
"13285","1","48-49","74","0","2019","2","","Troup County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,85,95,95,1446386,0,0,1214,"",0.68,0.50,0.56,0.56,0.67,0.00,0.00,1.24,"",0,0.0,-12,-12.4,0,0.0,2,2.2,31950,2.3,0,0.0,0,0.0,69,6.0
"13285","1","491","75","0","2019","1","","Troup County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,92,87,88,1207986,0,0,1044,"",0.68,0.56,0.53,0.53,0.69,0.00,0.00,1.28,"",0,0.0,-8,-8.0,-6,-6.5,-4,-4.3,37641,3.2,0,0.0,0,0.0,96,10.1
"13285","1","491","75","0","2019","2","","Troup County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,85,95,95,1446386,0,0,1214,"",0.68,0.52,0.57,0.57,0.70,0.00,0.00,1.26,"",0,0.0,-12,-12.4,0,0.0,2,2.2,31950,2.3,0,0.0,0,0.0,69,6.0
"13285","1","4911","76","0","2019","1","","Troup County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,92,87,88,1207986,0,0,1044,"",0.68,0.56,0.53,0.53,0.69,0.00,0.00,1.28,"",0,0.0,-8,-8.0,-6,-6.5,-4,-4.3,37641,3.2,0,0.0,0,0.0,96,10.1
"13285","1","4911","76","0","2019","2","","Troup County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,85,95,95,1446386,0,0,1214,"",0.68,0.52,0.57,0.57,0.70,0.00,0.00,1.26,"",0,0.0,-12,-12.4,0,0.0,2,2.2,31950,2.3,0,0.0,0,0.0,69,6.0
"13285","1","49111","77","0","2019","1","","Troup County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,92,87,88,1207986,0,0,1044,"",0.68,0.56,0.53,0.53,0.69,0.00,0.00,1.28,"",0,0.0,-8,-8.0,-6,-6.5,-4,-4.3,37641,3.2,0,0.0,0,0.0,96,10.1
"13285","1","49111","77","0","2019","2","","Troup County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,85,95,95,1446386,0,0,1214,"",0.68,0.52,0.57,0.57,0.70,0.00,0.00,1.26,"",0,0.0,-12,-12.4,0,0.0,2,2.2,31950,2.3,0,0.0,0,0.0,69,6.0
"13285","1","491110","78","0","2019","1","","Troup County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,92,87,88,1207986,0,0,1044,"",0.68,0.56,0.53,0.53,0.69,0.00,0.00,1.28,"",0,0.0,-8,-8.0,-6,-6.5,-4,-4.3,37641,3.2,0,0.0,0,0.0,96,10.1
"13285","1","491110","78","0","2019","2","","Troup County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,85,95,95,1446386,0,0,1214,"",0.68,0.52,0.57,0.57,0.70,0.00,0.00,1.26,"",0,0.0,-12,-12.4,0,0.0,2,2.2,31950,2.3,0,0.0,0,0.0,69,6.0
"13285","1","54","74","0","2019","1","","Troup County, Georgia","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,29,29,633192,0,0,1680,"",5.09,1.65,1.64,1.63,2.13,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,0,0.0,112096,21.5,0,0.0,0,0.0,298,21.6
"13285","1","54","74","0","2019","2","","Troup County, Georgia","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,29,28,28,557333,0,0,1513,"",5.07,1.65,1.57,1.56,1.80,0.00,0.00,1.13,"",0,0.0,0,0.0,-1,-3.4,-1,-3.4,43446,8.5,0,0.0,0,0.0,150,11.0
