"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13289","0","10","70","0","2019","1","","Twiggs County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",102,2976,2964,2928,25600722,17661445,164617,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,3.0,808,37.3,800,37.0,785,36.6,6245563,32.3,5022957,39.7,33537,25.6,-24,-3.5
"13289","0","10","70","0","2019","2","","Twiggs County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",105,2878,2849,2878,25428555,6008553,63218,682,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.9,185,6.9,165,6.1,297,11.5,1468213,6.1,-1662085,-21.7,-18831,-23.0,-13,-1.9
"13289","1","10","71","0","2019","1","","Twiggs County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,11,12,12,104071,0,0,686,"",1.66,0.19,0.21,0.21,0.16,0.00,0.00,0.80,"",0,0.0,0,0.0,2,20.0,1,9.1,11,0.0,0,0.0,0,0.0,-64,-8.5
"13289","1","10","71","0","2019","2","","Twiggs County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,12,12,11,125929,0,0,830,"",1.63,0.22,0.22,0.20,0.18,0.00,0.00,0.82,"",0,0.0,1,9.1,1,9.1,0,0.0,23819,23.3,0,0.0,0,0.0,116,16.2
"13289","1","102","72","0","2019","1","","Twiggs County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,11,12,12,104071,0,0,686,"",1.67,0.20,0.22,0.22,0.17,0.00,0.00,0.80,"",0,0.0,0,0.0,2,20.0,1,9.1,11,0.0,0,0.0,0,0.0,-64,-8.5
"13289","1","102","72","0","2019","2","","Twiggs County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,12,12,11,125929,0,0,830,"",1.64,0.22,0.23,0.21,0.18,0.00,0.00,0.82,"",0,0.0,1,9.1,1,9.1,0,0.0,23819,23.3,0,0.0,0,0.0,116,16.2
"13289","1","1021","73","0","2019","1","","Twiggs County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,11,12,12,104071,0,0,686,"",3.30,0.80,0.88,0.89,0.92,0.00,0.00,1.08,"",0,0.0,0,0.0,2,20.0,1,9.1,11,0.0,0,0.0,0,0.0,-64,-8.5
"13289","1","1021","73","0","2019","2","","Twiggs County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,11,125929,0,0,830,"",3.24,0.91,0.93,0.84,0.95,0.00,0.00,1.06,"",0,0.0,1,9.1,1,9.1,0,0.0,23819,23.3,0,0.0,0,0.0,116,16.2
"13289","1","48-49","74","0","2019","1","","Twiggs County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,11,12,12,104071,0,0,686,"",3.40,0.87,0.96,0.97,0.99,0.00,0.00,1.06,"",0,0.0,0,0.0,2,20.0,1,9.1,11,0.0,0,0.0,0,0.0,-64,-8.5
"13289","1","48-49","74","0","2019","2","","Twiggs County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,12,11,125929,0,0,830,"",3.33,1.00,1.01,0.92,1.02,0.00,0.00,1.04,"",0,0.0,1,9.1,1,9.1,0,0.0,23819,23.3,0,0.0,0,0.0,116,16.2
"13289","1","491","75","0","2019","1","","Twiggs County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,12,12,104071,0,0,686,"",3.42,0.89,0.98,0.99,1.04,0.00,0.00,1.09,"",0,0.0,0,0.0,2,20.0,1,9.1,11,0.0,0,0.0,0,0.0,-64,-8.5
"13289","1","491","75","0","2019","2","","Twiggs County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,12,11,125929,0,0,830,"",3.35,1.02,1.03,0.94,1.06,0.00,0.00,1.06,"",0,0.0,1,9.1,1,9.1,0,0.0,23819,23.3,0,0.0,0,0.0,116,16.2
"13289","1","4911","76","0","2019","1","","Twiggs County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,12,12,104071,0,0,686,"",3.42,0.89,0.98,0.99,1.04,0.00,0.00,1.09,"",0,0.0,0,0.0,2,20.0,1,9.1,11,0.0,0,0.0,0,0.0,-64,-8.5
"13289","1","4911","76","0","2019","2","","Twiggs County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,12,11,125929,0,0,830,"",3.35,1.02,1.03,0.94,1.06,0.00,0.00,1.06,"",0,0.0,1,9.1,1,9.1,0,0.0,23819,23.3,0,0.0,0,0.0,116,16.2
