"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13295","0","10","70","0","2019","1","","Walker County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",720,13024,13095,13231,113292513,64967133,1762497,664,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,-58,-0.4,82,0.6,45,0.3,1350837,1.2,-319025,-0.5,-410895,-18.9,6,0.9
"13295","0","10","70","0","2019","2","","Walker County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",723,13252,13223,13314,114817631,23165836,526281,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.1,-19,-0.1,29,0.2,-29,-0.2,1481666,1.3,1663688,7.7,-63010,-10.7,9,1.4
"13295","1","10","71","0","2019","1","","Walker County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,104,104,103,1367628,0,0,1015,"",1.89,0.42,0.41,0.41,0.49,0.00,0.00,1.19,"",0,0.0,-2,-1.9,-2,-1.9,-1,-1.0,38431,2.9,0,0.0,0,0.0,44,4.5
"13295","1","10","71","0","2019","2","","Walker County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,106,109,111,1504033,0,0,1065,"",1.90,0.42,0.44,0.44,0.46,0.00,0.00,1.07,"",0,0.0,0,0.0,-3,-2.7,1,0.9,-36975,-2.4,0,0.0,0,0.0,-19,-1.8
"13295","1","102","72","0","2019","1","","Walker County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,104,104,103,1367628,0,0,1015,"",1.89,0.43,0.42,0.42,0.50,0.00,0.00,1.18,"",0,0.0,-2,-1.9,-2,-1.9,-1,-1.0,38431,2.9,0,0.0,0,0.0,44,4.5
"13295","1","102","72","0","2019","2","","Walker County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,106,109,111,1504033,0,0,1065,"",1.90,0.43,0.44,0.45,0.47,0.00,0.00,1.07,"",0,0.0,0,0.0,-3,-2.7,1,0.9,-36975,-2.4,0,0.0,0,0.0,-19,-1.8
"13295","1","1021","73","0","2019","1","","Walker County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,97,98,98,1259280,0,0,992,"",2.34,1.61,1.62,1.61,2.52,0.00,0.00,1.57,"",0,0.0,-3,-3.0,-2,-2.0,0,0.0,27575,2.2,0,0.0,0,0.0,38,4.0
"13295","1","1021","73","0","2019","2","","Walker County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,101,104,105,1430648,0,0,1065,"",2.35,1.67,1.73,1.74,2.39,0.00,0.00,1.40,"",0,0.0,1,1.0,3,3.0,3,2.9,-24491,-1.7,0,0.0,0,0.0,-43,-3.9
"13295","1","1028","73","0","2019","1","","Walker County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,6,5,108348,0,0,1389,"",1.75,0.05,0.04,0.04,0.06,0.00,0.00,1.44,"",0,0.0,1,16.7,0,0.0,-1,-16.7,10856,11.1,0,0.0,0,0.0,139,11.1
"13295","1","1028","73","0","2019","2","","Walker County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,6,73385,0,0,1058,"",1.76,0.04,0.04,0.04,0.04,0.00,0.00,0.97,"",0,0.0,-1,-16.7,-6,-54.5,-2,-25.0,-12484,-14.5,0,0.0,0,0.0,265,33.4
"13295","1","48-49","74","0","2019","1","","Walker County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,97,98,98,1259280,0,0,992,"",2.41,1.76,1.77,1.75,2.71,0.00,0.00,1.54,"",0,0.0,-3,-3.0,-2,-2.0,0,0.0,27575,2.2,0,0.0,0,0.0,38,4.0
"13295","1","48-49","74","0","2019","2","","Walker County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,101,104,105,1430648,0,0,1065,"",2.42,1.82,1.88,1.90,2.56,0.00,0.00,1.37,"",0,0.0,1,1.0,3,3.0,3,2.9,-24491,-1.7,0,0.0,0,0.0,-43,-3.9
