"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13307","0","10","70","0","2019","1","","Webster County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",37,490,488,500,5436761,3006324,37260,849,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,2.8,7,1.4,7,1.5,23,4.8,-5249,-0.1,-73900,-2.4,-10461,-21.9,-23,-2.6
"13307","0","10","70","0","2019","2","","Webster County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",40,509,498,494,5596740,552540,6763,860,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,8.1,21,4.3,21,4.4,19,4.0,780086,16.2,-32960,-5.6,-1302,-16.1,88,11.4
"13307","1","10","71","0","2019","1","","Webster County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,3,7,3,34575,0,0,614,"",9.18,0.32,0.75,0.31,0.26,0.00,0.00,0.56,"",0,0.0,-3,-50.0,4,133.3,-3,-50.0,-2145,-5.8,0,0.0,0,0.0,49,8.7
"13307","1","10","71","0","2019","2","","Webster County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,7,3,4,37262,0,0,614,"",8.57,0.72,0.32,0.43,0.24,0.00,0.00,0.48,"",0,0.0,4,133.3,0,0.0,1,33.3,2051,5.8,0,0.0,0,0.0,-289,-32.0
"13307","1","102","72","0","2019","1","","Webster County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,3,7,3,34575,0,0,614,"",9.20,0.33,0.76,0.32,0.26,0.00,0.00,0.56,"",0,0.0,-3,-50.0,4,133.3,-3,-50.0,-2145,-5.8,0,0.0,0,0.0,49,8.7
"13307","1","102","72","0","2019","2","","Webster County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,7,3,4,37262,0,0,614,"",8.59,0.74,0.32,0.44,0.24,0.00,0.00,0.48,"",0,0.0,4,133.3,0,0.0,1,33.3,2051,5.8,0,0.0,0,0.0,-289,-32.0
"13307","1","1021","73","0","2019","1","","Webster County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,11190,0,0,861,"",9.11,0.44,0.44,0.43,0.47,0.00,0.00,1.06,"",0,0.0,0,0.0,0,0.0,0,0.0,937,9.1,0,0.0,0,0.0,72,9.1
"13307","1","1021","73","0","2019","2","","Webster County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,13117,0,0,1009,"",8.50,0.43,0.44,0.45,0.45,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,0,0.0,390,3.1,0,0.0,0,0.0,30,3.1
"13307","1","1028","73","0","2019","1","","Webster County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,6,2,23385,0,0,540,"",11.38,0.39,1.18,0.39,0.29,0.00,0.00,0.44,"",0,0.0,-3,-60.0,4,200.0,-3,-60.0,-3082,-11.6,0,0.0,0,0.0,31,6.1
"13307","1","1028","73","0","2019","2","","Webster County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,6,2,3,24145,0,0,507,"",10.63,1.15,0.39,0.59,0.26,0.00,0.00,0.36,"",0,0.0,4,200.0,0,0.0,1,50.0,1661,7.4,0,0.0,0,0.0,-358,-41.4
