"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13313","0","10","70","0","2019","1","","Whitfield County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2258,55526,55597,55936,630368226,360724318,7337490,871,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,0.7,288,0.5,21,0.0,291,0.5,12055438,1.9,1749657,0.5,-1509042,-17.1,14,1.6
"13313","0","10","70","0","2019","2","","Whitfield County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2289,55962,55917,55906,608597846,98861396,1760438,837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,2.6,-90,-0.2,-423,-0.8,-714,-1.3,12312264,2.1,255379,0.3,-218748,-11.1,23,2.8
"13313","1","10","71","0","2019","1","","Whitfield County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,154,159,156,2250616,0,0,1107,"",0.83,0.14,0.15,0.15,0.14,0.00,0.00,0.99,"",0,0.0,8,5.5,11,7.4,7,4.7,-16216,-0.7,0,0.0,0,0.0,-74,-6.3
"13313","1","10","71","0","2019","2","","Whitfield County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,158,154,152,2475358,0,0,1231,"",0.82,0.15,0.15,0.14,0.14,0.00,0.00,0.99,"",0,0.0,9,6.0,6,4.1,4,2.7,72991,3.0,0,0.0,0,0.0,-15,-1.2
"13313","1","102","72","0","2019","1","","Whitfield County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,154,159,156,2250616,0,0,1107,"",0.83,0.15,0.15,0.15,0.15,0.00,0.00,0.98,"",0,0.0,8,5.5,11,7.4,7,4.7,-16216,-0.7,0,0.0,0,0.0,-74,-6.3
"13313","1","102","72","0","2019","2","","Whitfield County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,158,154,152,2475358,0,0,1231,"",0.83,0.15,0.15,0.15,0.15,0.00,0.00,0.99,"",0,0.0,9,6.0,6,4.1,4,2.7,72991,3.0,0,0.0,0,0.0,-15,-1.2
"13313","1","1021","73","0","2019","1","","Whitfield County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,114,119,117,1509945,0,0,996,"",0.90,0.44,0.46,0.45,0.54,0.00,0.00,1.20,"",0,0.0,9,8.6,12,11.2,9,8.3,95460,6.7,0,0.0,0,0.0,-24,-2.4
"13313","1","1021","73","0","2019","2","","Whitfield County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,119,116,114,1719974,0,0,1137,"",0.89,0.47,0.46,0.45,0.54,0.00,0.00,1.19,"",0,0.0,11,10.2,8,7.4,6,5.6,50731,3.0,0,0.0,0,0.0,-52,-4.4
"13313","1","1028","73","0","2019","1","","Whitfield County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,40,40,39,740671,0,0,1436,"",0.93,0.07,0.07,0.07,0.08,0.00,0.00,1.14,"",0,0.0,-1,-2.4,-1,-2.4,-2,-4.9,-111676,-13.1,0,0.0,0,0.0,-163,-10.2
"13313","1","1028","73","0","2019","2","","Whitfield County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,39,38,38,755384,0,0,1516,"",0.93,0.07,0.07,0.07,0.07,0.00,0.00,1.10,"",0,0.0,-2,-4.9,-2,-5.0,-2,-5.0,22260,3.0,0,0.0,0,0.0,118,8.4
"13313","1","48-49","74","0","2019","1","","Whitfield County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,114,119,117,1509945,0,0,996,"",0.92,0.48,0.51,0.50,0.58,0.00,0.00,1.18,"",0,0.0,9,8.6,12,11.2,9,8.3,95460,6.7,0,0.0,0,0.0,-24,-2.4
"13313","1","48-49","74","0","2019","2","","Whitfield County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,119,116,114,1719974,0,0,1137,"",0.92,0.51,0.50,0.49,0.58,0.00,0.00,1.17,"",0,0.0,11,10.2,8,7.4,6,5.6,50731,3.0,0,0.0,0,0.0,-52,-4.4
"13313","1","491","75","0","2019","1","","Whitfield County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,114,119,117,1509945,0,0,996,"",0.93,0.49,0.52,0.51,0.61,0.00,0.00,1.21,"",0,0.0,9,8.6,12,11.2,9,8.3,95460,6.7,0,0.0,0,0.0,-24,-2.4
"13313","1","491","75","0","2019","2","","Whitfield County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,119,116,114,1719974,0,0,1137,"",0.92,0.52,0.51,0.50,0.60,0.00,0.00,1.19,"",0,0.0,11,10.2,8,7.4,6,5.6,50731,3.0,0,0.0,0,0.0,-52,-4.4
"13313","1","4911","76","0","2019","1","","Whitfield County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,114,119,117,1509945,0,0,996,"",0.93,0.49,0.52,0.51,0.61,0.00,0.00,1.21,"",0,0.0,9,8.6,12,11.2,9,8.3,95460,6.7,0,0.0,0,0.0,-24,-2.4
"13313","1","4911","76","0","2019","2","","Whitfield County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,119,116,114,1719974,0,0,1137,"",0.92,0.52,0.51,0.50,0.60,0.00,0.00,1.19,"",0,0.0,11,10.2,8,7.4,6,5.6,50731,3.0,0,0.0,0,0.0,-52,-4.4
"13313","1","49111","77","0","2019","1","","Whitfield County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,114,119,117,1509945,0,0,996,"",0.93,0.49,0.52,0.51,0.61,0.00,0.00,1.21,"",0,0.0,9,8.6,12,11.2,9,8.3,95460,6.7,0,0.0,0,0.0,-24,-2.4
"13313","1","49111","77","0","2019","2","","Whitfield County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,119,116,114,1719974,0,0,1137,"",0.92,0.52,0.51,0.50,0.60,0.00,0.00,1.19,"",0,0.0,11,10.2,8,7.4,6,5.6,50731,3.0,0,0.0,0,0.0,-52,-4.4
