"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"15007","0","10","70","0","2019","1","","Kauai County, Hawaii","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2843,33947,33739,33743,387337303,274457221,3170434,881,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",147,5.5,1611,5.0,1390,4.3,1156,3.5,20077929,5.5,14409564,5.5,189654,6.4,10,1.1
"15007","0","10","70","0","2019","2","","Kauai County, Hawaii","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2845,33531,33747,33953,391746540,250886122,2922081,893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",115,4.2,1032,3.2,1272,3.9,1188,3.6,22765436,6.2,13237272,5.6,214132,7.9,22,2.5
"15007","1","10","71","0","2019","1","","Kauai County, Hawaii","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,542,533,538,9069203,0,0,1298,"",1.91,0.83,0.82,0.84,0.95,0.00,0.00,1.14,"",0,0.0,7,1.3,3,0.6,3,0.6,-303710,-3.2,0,0.0,0,0.0,-54,-4.0
"15007","1","10","71","0","2019","2","","Kauai County, Hawaii","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,541,547,554,10306567,0,0,1449,"",1.93,0.85,0.86,0.86,0.93,0.00,0.00,1.09,"",0,0.0,8,1.5,19,3.6,27,5.1,972735,10.4,0,0.0,0,0.0,93,6.9
"15007","1","102","72","0","2019","1","","Kauai County, Hawaii","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,542,533,538,9069203,0,0,1298,"",1.91,0.85,0.84,0.85,0.97,0.00,0.00,1.14,"",0,0.0,7,1.3,3,0.6,3,0.6,-303710,-3.2,0,0.0,0,0.0,-54,-4.0
"15007","1","102","72","0","2019","2","","Kauai County, Hawaii","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,541,547,554,10306567,0,0,1449,"",1.93,0.87,0.87,0.88,0.95,0.00,0.00,1.09,"",0,0.0,8,1.5,19,3.6,27,5.1,972735,10.4,0,0.0,0,0.0,93,6.9
"15007","1","1021","73","0","2019","1","","Kauai County, Hawaii","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,102,102,103,1560333,0,0,1173,"",1.90,0.65,0.65,0.66,0.91,0.00,0.00,1.40,"",0,0.0,-1,-1.0,4,4.1,1,1.0,31903,2.1,0,0.0,0,0.0,9,0.8
"15007","1","1021","73","0","2019","2","","Kauai County, Hawaii","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,103,101,106,1821478,0,0,1356,"",1.91,0.67,0.66,0.69,0.89,0.00,0.00,1.32,"",0,0.0,-1,-1.0,-4,-3.8,5,5.0,45804,2.6,0,0.0,0,0.0,34,2.6
"15007","1","1023","73","0","2019","1","","Kauai County, Hawaii","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,21149,0,0,1627,"",4.52,0.35,0.36,0.36,0.36,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,0,0.0,-2676,-11.2,0,0.0,0,0.0,-206,-11.2
"15007","1","1023","73","0","2019","2","","Kauai County, Hawaii","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,21747,0,0,1673,"",4.60,0.36,0.37,0.36,0.34,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,1237,6.0,0,0.0,0,0.0,95,6.0
"15007","1","1024","73","0","2019","1","","Kauai County, Hawaii","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,20,19,18,419837,0,0,1700,"",4.90,1.29,1.24,1.18,1.62,0.00,0.00,1.31,"",0,0.0,2,11.1,2,11.8,1,5.9,3586,0.9,0,0.0,0,0.0,-147,-8.0
"15007","1","1024","73","0","2019","2","","Kauai County, Hawaii","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,18,20,19,489012,0,0,1980,"",4.93,1.20,1.31,1.23,1.76,0.00,0.00,1.42,"",0,0.0,1,5.9,1,5.3,0,0.0,31208,6.8,0,0.0,0,0.0,59,3.1
"15007","1","1028","73","0","2019","1","","Kauai County, Hawaii","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,419,411,416,7067884,0,0,1309,"",1.92,1.19,1.17,1.20,1.21,0.00,0.00,1.02,"",0,0.0,6,1.5,-3,-0.7,1,0.2,-336523,-4.5,0,0.0,0,0.0,-67,-4.9
"15007","1","1028","73","0","2019","2","","Kauai County, Hawaii","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,419,425,428,7974330,0,0,1447,"",1.94,1.21,1.23,1.23,1.20,0.00,0.00,0.99,"",0,0.0,8,1.9,22,5.5,22,5.4,894486,12.6,0,0.0,0,0.0,108,8.1
"15007","1","44-45","74","0","2019","1","","Kauai County, Hawaii","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,13,13,98302,0,0,582,"",5.38,1.25,1.26,1.28,1.62,0.00,0.00,1.28,"",0,0.0,-1,-7.1,-1,-7.1,0,0.0,6731,7.4,0,0.0,0,0.0,67,13.0
"15007","1","44-45","74","0","2019","2","","Kauai County, Hawaii","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,14,14,13,81752,0,0,460,"",5.42,1.40,1.40,1.30,1.19,0.00,0.00,0.87,"",0,0.0,1,7.7,0,0.0,0,0.0,1025,1.3,0,0.0,0,0.0,-6,-1.3
"15007","1","445","75","0","2019","1","","Kauai County, Hawaii","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,13,98302,0,0,582,"",18.13,4.96,5.03,5.07,5.26,0.00,0.00,1.05,"",0,0.0,-1,-7.1,-1,-7.1,0,0.0,6731,7.4,0,0.0,0,0.0,67,13.0
"15007","1","445","75","0","2019","2","","Kauai County, Hawaii","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,14,13,81752,0,0,460,"",18.20,5.62,5.64,5.27,3.39,0.00,0.00,0.62,"",0,0.0,1,7.7,0,0.0,0,0.0,1025,1.3,0,0.0,0,0.0,-6,-1.3
"15007","1","4451","76","0","2019","1","","Kauai County, Hawaii","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,13,13,98302,0,0,582,"",18.22,4.96,5.04,5.07,5.27,0.00,0.00,1.05,"",0,0.0,-1,-7.1,-1,-7.1,0,0.0,6731,7.4,0,0.0,0,0.0,67,13.0
