"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16017","0","10","70","0","2019","1","","Bonner County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1779,14058,14006,13982,125581062,93909515,747856,689,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",98,5.8,313,2.3,236,1.7,254,1.9,6029830,5.0,3838362,4.3,-18892,-2.5,20,3.0
"16017","0","10","70","0","2019","2","","Bonner County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1811,14049,14374,14877,129591331,87141512,738473,691,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",92,5.4,221,1.6,97,0.7,65,0.4,1951692,1.5,3464189,4.1,-58997,-7.4,5,0.7
"16017","1","10","71","0","2019","1","","Bonner County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,158,166,165,2619900,0,0,1236,"",1.72,0.59,0.62,0.62,0.85,0.00,0.00,1.39,"",0,0.0,0,0.0,10,6.4,12,7.8,180505,7.4,0,0.0,0,0.0,31,2.6
"16017","1","10","71","0","2019","2","","Bonner County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,166,210,226,2703670,0,0,1036,"",1.70,0.62,0.77,0.80,0.74,0.00,0.00,1.01,"",0,0.0,3,1.8,29,16.0,-1,-0.4,94713,3.6,0,0.0,0,0.0,-18,-1.7
"16017","1","102","72","0","2019","1","","Bonner County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,158,166,165,2619900,0,0,1236,"",1.72,0.60,0.63,0.63,0.86,0.00,0.00,1.39,"",0,0.0,0,0.0,10,6.4,12,7.8,180505,7.4,0,0.0,0,0.0,31,2.6
"16017","1","102","72","0","2019","2","","Bonner County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,166,210,226,2703670,0,0,1036,"",1.71,0.63,0.79,0.82,0.75,0.00,0.00,1.01,"",0,0.0,3,1.8,29,16.0,-1,-0.4,94713,3.6,0,0.0,0,0.0,-18,-1.7
"16017","1","1021","73","0","2019","1","","Bonner County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,64,70,70,748212,0,0,846,"",2.27,0.98,1.08,1.09,1.35,0.00,0.00,1.29,"",0,0.0,-3,-4.5,7,11.1,9,14.8,60152,8.7,0,0.0,0,0.0,15,1.8
"16017","1","1021","73","0","2019","2","","Bonner County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,67,67,67,863881,0,0,992,"",2.25,1.05,1.02,0.99,1.28,0.00,0.00,1.25,"",0,0.0,3,4.7,6,9.8,5,8.1,39520,4.8,0,0.0,0,0.0,-25,-2.5
"16017","1","1024","73","0","2019","1","","Bonner County, Idaho","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,34,35,814780,0,0,1791,"",3.91,5.60,5.34,5.52,9.71,0.00,0.00,1.77,"",0,0.0,-3,-7.7,-7,-17.1,-6,-14.6,-75910,-8.5,0,0.0,0,0.0,92,5.4
"16017","1","1024","73","0","2019","2","","Bonner County, Idaho","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,33,38,41,729466,0,0,1503,"",3.87,5.24,5.85,6.06,7.96,0.00,0.00,1.39,"",0,0.0,-8,-19.5,-3,-7.3,-7,-14.6,-54728,-7.0,0,0.0,0,0.0,111,8.0
