"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16019","0","10","70","0","2019","1","","Bonneville County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4102,51555,51790,52237,517098476,382110412,2414789,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",256,6.7,1833,3.7,1574,3.1,1646,3.3,8092898,1.6,19380848,5.3,-87473,-3.5,-13,-1.7
"16019","0","10","70","0","2019","2","","Bonneville County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4125,52971,53714,54269,502361799,344925163,2359853,720,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",204,5.2,1761,3.4,1697,3.3,1508,2.9,14181947,2.9,24474396,7.6,7995,0.3,-2,-0.3
"16019","1","10","71","0","2019","1","","Bonneville County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,677,667,678,15188248,0,0,1733,"",1.20,0.69,0.67,0.68,1.19,0.00,0.00,1.75,"",0,0.0,-52,-7.1,-54,-7.5,-42,-5.8,-47073,-0.3,0,0.0,0,0.0,113,7.0
"16019","1","10","71","0","2019","2","","Bonneville County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,694,732,754,13398678,0,0,1418,"",1.20,0.69,0.72,0.73,0.94,0.00,0.00,1.32,"",1,3.6,-15,-2.1,-8,-1.1,-21,-2.7,-400491,-2.9,0,0.0,0,0.0,-14,-1.0
"16019","1","102","72","0","2019","1","","Bonneville County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,677,667,678,15188248,0,0,1733,"",1.20,0.70,0.68,0.69,1.21,0.00,0.00,1.75,"",0,0.0,-52,-7.1,-54,-7.5,-42,-5.8,-47073,-0.3,0,0.0,0,0.0,113,7.0
"16019","1","102","72","0","2019","2","","Bonneville County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,694,732,754,13398678,0,0,1418,"",1.21,0.70,0.73,0.75,0.96,0.00,0.00,1.32,"",1,3.6,-15,-2.1,-8,-1.1,-21,-2.7,-400491,-2.9,0,0.0,0,0.0,-14,-1.0
"16019","1","1021","73","0","2019","1","","Bonneville County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,134,138,138,1986167,0,0,1118,"",0.58,0.56,0.58,0.57,0.87,0.00,0.00,1.53,"",0,0.0,-1,-0.7,-4,-2.8,-3,-2.1,80545,4.2,0,0.0,0,0.0,66,6.3
"16019","1","1021","73","0","2019","2","","Bonneville County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,137,139,136,2086480,0,0,1169,"",0.58,0.57,0.57,0.55,0.80,0.00,0.00,1.42,"",0,0.0,-3,-2.1,-4,-2.8,-3,-2.2,-16616,-0.8,0,0.0,0,0.0,19,1.7
"16019","1","1028","73","0","2019","1","","Bonneville County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,543,529,540,13202081,0,0,1890,"",2.26,1.02,0.98,1.00,1.70,0.00,0.00,1.70,"",0,0.0,-51,-8.6,-50,-8.6,-39,-6.7,-127618,-1.0,0,0.0,0,0.0,134,7.6
"16019","1","1028","73","0","2019","2","","Bonneville County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,557,593,618,11312198,0,0,1477,"",2.27,1.02,1.08,1.11,1.33,0.00,0.00,1.25,"",1,4.8,-12,-2.1,-4,-0.7,-18,-2.8,-383875,-3.3,0,0.0,0,0.0,-21,-1.4
