"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16021","0","10","70","0","2019","1","","Boundary County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",486,3431,3447,3466,33424185,21345620,190745,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,7.0,117,3.5,150,4.5,20,0.6,3055680,10.1,1828695,9.4,8471,4.6,49,7.0
"16021","0","10","70","0","2019","2","","Boundary County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",491,3816,3904,4024,35524450,22710552,282174,698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.1,126,3.4,74,1.9,81,2.1,2368224,7.1,1320590,6.2,4191,1.5,31,4.6
"16021","1","10","71","0","2019","1","","Boundary County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,127,131,130,3413480,0,0,2030,"",4.19,1.93,1.98,1.97,4.14,0.00,0.00,2.11,"",0,0.0,-10,-7.3,-3,-2.2,-5,-3.7,320144,10.3,0,0.0,0,0.0,272,15.5
"16021","1","10","71","0","2019","2","","Boundary County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,131,151,169,2818780,0,0,1442,"",3.84,1.81,2.04,2.21,2.80,0.00,0.00,1.39,"",-1,-8.3,-11,-7.7,1,0.7,-8,-4.5,-94660,-3.2,0,0.0,0,0.0,8,0.6
"16021","1","102","72","0","2019","1","","Boundary County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,127,131,130,3413480,0,0,2030,"",4.20,1.97,2.02,2.00,4.22,0.00,0.00,2.11,"",0,0.0,-10,-7.3,-3,-2.2,-5,-3.7,320144,10.3,0,0.0,0,0.0,272,15.5
"16021","1","102","72","0","2019","2","","Boundary County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,131,151,169,2818780,0,0,1442,"",3.85,1.84,2.08,2.26,2.86,0.00,0.00,1.39,"",-1,-8.3,-11,-7.7,1,0.7,-8,-4.5,-94660,-3.2,0,0.0,0,0.0,8,0.6
"16021","1","1021","73","0","2019","1","","Boundary County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,15,15,14,169050,0,0,887,"",3.47,0.95,0.94,0.88,1.15,0.00,0.00,1.25,"",1,25.0,0,0.0,0,0.0,-1,-6.7,1028,0.6,0,0.0,0,0.0,25,2.9
"16021","1","1021","73","0","2019","2","","Boundary County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,17,16,16,187040,0,0,881,"",2.77,0.98,0.90,0.88,1.01,0.00,0.00,1.10,"",-1,-20.0,2,13.3,-1,-5.9,-1,-5.9,-16102,-7.9,0,0.0,0,0.0,-76,-7.9
"16021","1","1028","73","0","2019","1","","Boundary County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,112,116,116,3244430,0,0,2176,"",6.06,3.15,3.24,3.24,6.46,0.00,0.00,2.01,"",-1,-12.5,-10,-8.2,-3,-2.5,-4,-3.3,319116,10.9,0,0.0,0,0.0,306,16.4
"16021","1","1028","73","0","2019","2","","Boundary County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,114,135,153,2631740,0,0,1511,"",6.06,2.90,3.37,3.70,4.38,0.00,0.00,1.32,"",0,0.0,-13,-10.2,2,1.5,-7,-4.4,-78558,-2.9,0,0.0,0,0.0,22,1.5
