"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16045","0","10","70","0","2019","1","","Gem County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",500,3665,3726,3716,31028580,21030678,170550,645,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,6.6,115,3.2,202,5.7,149,4.2,2269323,7.9,2219345,11.8,4788,2.9,21,3.4
"16045","0","10","70","0","2019","2","","Gem County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",506,3745,3797,3866,32614120,19830418,162084,660,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,5.0,127,3.5,97,2.6,138,3.7,2578162,8.6,1533377,8.4,-3237,-2.0,32,5.1
"16045","1","10","71","0","2019","1","","Gem County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,73,72,72,1289170,0,0,1371,"",1.70,1.04,1.01,1.02,1.68,0.00,0.00,1.65,"",0,0.0,2,2.8,-6,-7.7,1,1.4,5083,0.4,0,0.0,0,0.0,24,1.8
"16045","1","10","71","0","2019","2","","Gem County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,78,79,92,1208102,0,0,1120,"",1.69,1.10,1.10,1.25,1.31,0.00,0.00,1.14,"",0,0.0,2,2.6,1,1.3,6,7.0,29169,2.5,0,0.0,0,0.0,-14,-1.2
"16045","1","102","72","0","2019","1","","Gem County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,73,72,72,1289170,0,0,1371,"",1.70,1.06,1.03,1.04,1.71,0.00,0.00,1.65,"",0,0.0,2,2.8,-6,-7.7,1,1.4,5083,0.4,0,0.0,0,0.0,24,1.8
"16045","1","102","72","0","2019","2","","Gem County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,78,79,92,1208102,0,0,1120,"",1.70,1.12,1.12,1.28,1.34,0.00,0.00,1.14,"",0,0.0,2,2.6,1,1.3,6,7.0,29169,2.5,0,0.0,0,0.0,-14,-1.2
"16045","1","1021","73","0","2019","1","","Gem County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,24,23,22,246535,0,0,825,"",1.35,1.42,1.34,1.29,1.80,0.00,0.00,1.34,"",0,0.0,2,9.1,2,9.5,1,4.8,25179,11.4,0,0.0,0,0.0,27,3.4
"16045","1","1021","73","0","2019","2","","Gem County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,23,22,23,291523,0,0,989,"",1.34,1.35,1.27,1.31,1.72,0.00,0.00,1.31,"",0,0.0,2,9.5,1,4.8,3,15.0,19497,7.2,0,0.0,0,0.0,-24,-2.4
"16045","1","1028","73","0","2019","1","","Gem County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,49,49,50,1042635,0,0,1626,"",2.53,1.29,1.27,1.30,2.24,0.00,0.00,1.74,"",0,0.0,0,0.0,-8,-14.0,0,0.0,-20096,-1.9,0,0.0,0,0.0,54,3.4
"16045","1","1028","73","0","2019","2","","Gem County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,55,57,69,916579,0,0,1169,"",2.52,1.43,1.46,1.73,1.66,0.00,0.00,1.08,"",0,0.0,0,0.0,0,0.0,3,4.5,9672,1.1,0,0.0,0,0.0,-7,-0.6
