"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16049","0","10","70","0","2019","1","","Idaho County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",591,4036,4119,4177,37029408,21149640,162081,693,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,5.2,71,1.8,110,2.7,139,3.4,2486197,7.2,1474996,7.5,9882,6.5,29,4.4
"16049","0","10","70","0","2019","2","","Idaho County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",602,4210,4449,4601,38541387,21114747,170954,671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,6.0,137,3.4,214,5.1,133,3.0,2629150,7.3,1743739,9.0,11454,7.2,22,3.4
"16049","1","10","71","0","2019","1","","Idaho County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,219,233,225,3718477,0,0,1268,"",5.17,2.83,2.95,2.82,4.07,0.00,0.00,1.42,"",0,0.0,-13,-5.6,5,2.2,-7,-3.0,452634,13.9,0,0.0,0,0.0,179,16.4
"16049","1","10","71","0","2019","2","","Idaho County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,271,390,435,4083919,0,0,860,"",5.12,3.39,4.63,4.98,3.75,0.00,0.00,0.86,"",0,0.0,17,6.7,73,23.0,8,1.9,173350,4.4,0,0.0,0,0.0,-44,-4.9
"16049","1","102","72","0","2019","1","","Idaho County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,219,233,225,3718477,0,0,1268,"",5.18,2.89,3.01,2.88,4.14,0.00,0.00,1.42,"",0,0.0,-13,-5.6,5,2.2,-7,-3.0,452634,13.9,0,0.0,0,0.0,179,16.4
"16049","1","102","72","0","2019","2","","Idaho County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,271,390,435,4083919,0,0,860,"",5.13,3.46,4.72,5.08,3.82,0.00,0.00,0.86,"",0,0.0,17,6.7,73,23.0,8,1.9,173350,4.4,0,0.0,0,0.0,-44,-4.9
"16049","1","1021","73","0","2019","1","","Idaho County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,31,31,31,265009,0,0,658,"",5.70,1.66,1.63,1.61,1.62,0.00,0.00,0.99,"",0,0.0,0,0.0,-1,-3.1,-1,-3.1,-19606,-6.9,0,0.0,0,0.0,-33,-4.8
"16049","1","1021","73","0","2019","2","","Idaho County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,30,32,32,332872,0,0,817,"",5.64,1.56,1.58,1.54,1.66,0.00,0.00,1.06,"",0,0.0,-2,-6.2,-1,-3.0,1,3.2,10046,3.1,0,0.0,0,0.0,41,5.3
"16049","1","1028","73","0","2019","1","","Idaho County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,188,202,194,3453468,0,0,1365,"",5.70,4.50,4.72,4.50,6.20,0.00,0.00,1.36,"",0,0.0,-13,-6.5,6,3.1,-6,-3.0,472240,15.8,0,0.0,0,0.0,213,18.5
"16049","1","1028","73","0","2019","2","","Idaho County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,241,358,403,3751047,0,0,864,"",5.65,5.56,7.85,8.51,5.76,0.00,0.00,0.78,"",0,0.0,19,8.6,74,26.1,7,1.8,163304,4.6,0,0.0,0,0.0,-54,-5.9
"16049","1","48-49","74","0","2019","1","","Idaho County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,31,31,31,265009,0,0,658,"",5.86,1.81,1.78,1.76,1.74,0.00,0.00,0.98,"",0,0.0,0,0.0,-1,-3.1,-1,-3.1,-19606,-6.9,0,0.0,0,0.0,-33,-4.8
"16049","1","48-49","74","0","2019","2","","Idaho County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,30,32,32,332872,0,0,817,"",5.80,1.70,1.72,1.67,1.78,0.00,0.00,1.04,"",0,0.0,-2,-6.2,-1,-3.0,1,3.2,10046,3.1,0,0.0,0,0.0,41,5.3
"16049","1","491","75","0","2019","1","","Idaho County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,31,31,31,265009,0,0,658,"",5.90,1.85,1.82,1.80,1.83,0.00,0.00,1.01,"",0,0.0,0,0.0,-1,-3.1,-1,-3.1,-19606,-6.9,0,0.0,0,0.0,-33,-4.8
"16049","1","491","75","0","2019","2","","Idaho County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,30,32,32,332872,0,0,817,"",5.84,1.74,1.76,1.71,1.85,0.00,0.00,1.06,"",0,0.0,-2,-6.2,-1,-3.0,1,3.2,10046,3.1,0,0.0,0,0.0,41,5.3
"16049","1","4911","76","0","2019","1","","Idaho County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,31,31,31,265009,0,0,658,"",5.90,1.85,1.82,1.80,1.83,0.00,0.00,1.01,"",0,0.0,0,0.0,-1,-3.1,-1,-3.1,-19606,-6.9,0,0.0,0,0.0,-33,-4.8
"16049","1","4911","76","0","2019","2","","Idaho County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,30,32,32,332872,0,0,817,"",5.84,1.74,1.76,1.71,1.85,0.00,0.00,1.06,"",0,0.0,-2,-6.2,-1,-3.0,1,3.2,10046,3.1,0,0.0,0,0.0,41,5.3
"16049","1","49111","77","0","2019","1","","Idaho County, Idaho","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,31,31,31,265009,0,0,658,"",5.90,1.85,1.82,1.80,1.83,0.00,0.00,1.01,"",0,0.0,0,0.0,-1,-3.1,-1,-3.1,-19606,-6.9,0,0.0,0,0.0,-33,-4.8
"16049","1","49111","77","0","2019","2","","Idaho County, Idaho","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,30,32,32,332872,0,0,817,"",5.84,1.74,1.76,1.71,1.85,0.00,0.00,1.06,"",0,0.0,-2,-6.2,-1,-3.0,1,3.2,10046,3.1,0,0.0,0,0.0,41,5.3
"16049","1","491110","78","0","2019","1","","Idaho County, Idaho","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,31,31,31,265009,0,0,658,"",5.90,1.85,1.82,1.80,1.83,0.00,0.00,1.01,"",0,0.0,0,0.0,-1,-3.1,-1,-3.1,-19606,-6.9,0,0.0,0,0.0,-33,-4.8
"16049","1","491110","78","0","2019","2","","Idaho County, Idaho","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,30,32,32,332872,0,0,817,"",5.84,1.74,1.76,1.71,1.85,0.00,0.00,1.06,"",0,0.0,-2,-6.2,-1,-3.0,1,3.2,10046,3.1,0,0.0,0,0.0,41,5.3
"16049","1","92","74","0","2019","1","","Idaho County, Idaho","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,188,202,194,3453468,0,0,1365,"",5.70,4.50,4.72,4.50,6.20,0.00,0.00,1.36,"",0,0.0,-13,-6.5,6,3.1,-6,-3.0,472240,15.8,0,0.0,0,0.0,213,18.5
