"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16059","0","10","70","0","2019","1","","Lemhi County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",386,2324,2346,2326,21762436,11119788,80201,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.6,70,3.1,112,5.0,30,1.3,2387918,12.3,1287630,13.1,-884,-1.1,59,9.0
"16059","0","10","70","0","2019","2","","Lemhi County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",391,2429,2600,2770,21576113,10205415,78475,638,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.6,81,3.4,98,3.9,52,1.9,765331,3.7,324425,3.3,-8794,-10.1,3,0.5
"16059","1","10","71","0","2019","1","","Lemhi County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,162,170,171,3140205,0,0,1441,"",6.16,3.64,3.78,3.85,5.85,0.00,0.00,1.56,"",0,0.0,1,0.6,12,7.6,11,6.9,470436,17.6,0,0.0,0,0.0,155,12.1
"16059","1","10","71","0","2019","2","","Lemhi County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,181,245,256,2983462,0,0,1010,"",6.14,3.93,4.97,4.87,4.89,0.00,0.00,1.06,"",0,0.0,11,6.5,40,19.5,-4,-1.5,74184,2.5,0,0.0,0,0.0,-47,-4.4
"16059","1","102","72","0","2019","1","","Lemhi County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,162,170,171,3140205,0,0,1441,"",6.17,3.71,3.85,3.93,5.96,0.00,0.00,1.56,"",0,0.0,1,0.6,12,7.6,11,6.9,470436,17.6,0,0.0,0,0.0,155,12.1
"16059","1","102","72","0","2019","2","","Lemhi County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,181,245,256,2983462,0,0,1010,"",6.15,4.00,5.07,4.97,4.99,0.00,0.00,1.06,"",0,0.0,11,6.5,40,19.5,-4,-1.5,74184,2.5,0,0.0,0,0.0,-47,-4.4
"16059","1","1021","73","0","2019","1","","Lemhi County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,15,17,18,151956,0,0,701,"",5.24,1.40,1.57,1.68,1.58,0.00,0.00,1.02,"",0,0.0,-1,-6.2,0,0.0,2,12.5,4258,2.9,0,0.0,0,0.0,5,0.7
"16059","1","1021","73","0","2019","2","","Lemhi County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,17,17,16,175768,0,0,811,"",5.21,1.53,1.44,1.28,1.56,0.00,0.00,1.11,"",0,0.0,1,6.2,1,6.2,0,0.0,8223,4.9,0,0.0,0,0.0,5,0.6
"16059","1","1028","73","0","2019","1","","Lemhi County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,147,153,153,2988249,0,0,1522,"",8.72,6.11,6.28,6.38,9.13,0.00,0.00,1.46,"",0,0.0,2,1.4,12,8.5,9,6.2,466178,18.5,0,0.0,0,0.0,168,12.4
"16059","1","1028","73","0","2019","2","","Lemhi County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,164,228,240,2807694,0,0,1025,"",8.70,6.56,8.55,8.42,7.70,0.00,0.00,0.98,"",0,0.0,10,6.5,39,20.6,-4,-1.6,65961,2.4,0,0.0,0,0.0,-53,-4.9
