"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16061","0","10","70","0","2019","1","","Lewis County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",205,1658,1660,1641,12902518,9245626,76972,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.9,71,4.5,76,4.8,40,2.5,779701,6.4,513685,5.9,-5761,-7.0,14,2.4
"16061","0","10","70","0","2019","2","","Lewis County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",205,1610,1705,1714,13054441,9037795,74316,599,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-2.8,11,0.7,43,2.6,53,3.2,559259,4.5,377954,4.4,-1707,-2.2,13,2.2
"16061","1","10","71","0","2019","1","","Lewis County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,66,69,64,1374279,0,0,1594,"",5.80,2.08,2.17,2.04,4.32,0.00,0.00,2.06,"",0,0.0,1,1.5,6,9.5,8,14.3,334814,32.2,0,0.0,0,0.0,290,22.2
"16061","1","10","71","0","2019","2","","Lewis County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,72,70,77,1149324,0,0,1211,"",5.85,2.36,2.17,2.37,3.11,0.00,0.00,1.36,"",0,0.0,6,9.1,11,18.6,13,20.3,180365,18.6,0,0.0,0,0.0,28,2.4
"16061","1","102","72","0","2019","1","","Lewis County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,66,69,64,1374279,0,0,1594,"",5.81,2.12,2.21,2.08,4.40,0.00,0.00,2.06,"",0,0.0,1,1.5,6,9.5,8,14.3,334814,32.2,0,0.0,0,0.0,290,22.2
"16061","1","102","72","0","2019","2","","Lewis County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,72,70,77,1149324,0,0,1211,"",5.86,2.40,2.21,2.41,3.17,0.00,0.00,1.36,"",0,0.0,6,9.1,11,18.6,13,20.3,180365,18.6,0,0.0,0,0.0,28,2.4
"16061","1","1021","73","0","2019","1","","Lewis County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,12,12,13,121051,0,0,755,"",6.57,1.56,1.57,1.72,2.13,0.00,0.00,1.32,"",0,0.0,0,0.0,0,0.0,1,8.3,-704,-0.6,0,0.0,0,0.0,-25,-3.2
"16061","1","1021","73","0","2019","2","","Lewis County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,12,11,12,148360,0,0,978,"",6.63,1.63,1.42,1.55,2.18,0.00,0.00,1.42,"",0,0.0,0,0.0,-1,-8.3,0,0.0,13249,9.8,0,0.0,0,0.0,112,12.9
"16061","1","1028","73","0","2019","1","","Lewis County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,54,57,51,1253228,0,0,1785,"",6.16,3.14,3.31,3.01,6.46,0.00,0.00,2.05,"",0,0.0,1,1.9,6,11.8,7,15.9,335518,36.6,0,0.0,0,0.0,354,24.7
"16061","1","1028","73","0","2019","2","","Lewis County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,60,59,65,1000964,0,0,1255,"",6.22,3.62,3.37,3.69,4.53,0.00,0.00,1.27,"",0,0.0,6,11.1,12,25.5,13,25.0,167116,20.0,0,0.0,0,0.0,-3,-0.2
"16061","1","48-49","74","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,12,12,13,121051,0,0,755,"",6.76,1.71,1.71,1.88,2.29,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,1,8.3,-704,-0.6,0,0.0,0,0.0,-25,-3.2
"16061","1","48-49","74","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,12,11,12,148360,0,0,978,"",6.82,1.78,1.55,1.68,2.34,0.00,0.00,1.40,"",0,0.0,0,0.0,-1,-8.3,0,0.0,13249,9.8,0,0.0,0,0.0,112,12.9
"16061","1","491","75","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,12,12,13,121051,0,0,755,"",6.80,1.74,1.75,1.92,2.40,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,1,8.3,-704,-0.6,0,0.0,0,0.0,-25,-3.2
"16061","1","491","75","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,12,11,12,148360,0,0,978,"",6.86,1.82,1.58,1.72,2.43,0.00,0.00,1.43,"",0,0.0,0,0.0,-1,-8.3,0,0.0,13249,9.8,0,0.0,0,0.0,112,12.9
"16061","1","4911","76","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,12,12,13,121051,0,0,755,"",6.80,1.74,1.75,1.92,2.40,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,1,8.3,-704,-0.6,0,0.0,0,0.0,-25,-3.2
"16061","1","4911","76","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,12,11,12,148360,0,0,978,"",6.86,1.82,1.58,1.72,2.43,0.00,0.00,1.43,"",0,0.0,0,0.0,-1,-8.3,0,0.0,13249,9.8,0,0.0,0,0.0,112,12.9
"16061","1","49111","77","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,12,12,13,121051,0,0,755,"",6.80,1.74,1.75,1.92,2.40,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,1,8.3,-704,-0.6,0,0.0,0,0.0,-25,-3.2
"16061","1","49111","77","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,12,11,12,148360,0,0,978,"",6.86,1.82,1.58,1.72,2.43,0.00,0.00,1.43,"",0,0.0,0,0.0,-1,-8.3,0,0.0,13249,9.8,0,0.0,0,0.0,112,12.9
"16061","1","491110","78","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,12,12,13,121051,0,0,755,"",6.80,1.74,1.75,1.92,2.40,0.00,0.00,1.33,"",0,0.0,0,0.0,0,0.0,1,8.3,-704,-0.6,0,0.0,0,0.0,-25,-3.2
"16061","1","491110","78","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,12,11,12,148360,0,0,978,"",6.86,1.82,1.58,1.72,2.43,0.00,0.00,1.43,"",0,0.0,0,0.0,-1,-8.3,0,0.0,13249,9.8,0,0.0,0,0.0,112,12.9
"16061","1","92","74","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,54,57,51,1253228,0,0,1785,"",6.16,3.14,3.31,3.01,6.46,0.00,0.00,2.05,"",0,0.0,1,1.9,6,11.8,7,15.9,335518,36.6,0,0.0,0,0.0,354,24.7
"16061","1","92","74","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,60,59,65,1000964,0,0,1255,"",6.22,3.62,3.37,3.69,4.53,0.00,0.00,1.27,"",0,0.0,6,11.1,12,25.5,13,25.0,167116,20.0,0,0.0,0,0.0,-3,-0.2
"16061","1","924","75","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,50,49,48,1191580,0,0,1871,"",18.53,51.36,48.87,49.34,112.57,0.00,0.00,2.26,"",0,0.0,4,8.7,5,11.4,7,17.1,322224,37.1,0,0.0,0,0.0,340,22.2
"16061","1","924","75","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,52,56,57,956449,0,0,1338,"",18.73,52.87,50.69,49.53,85.19,0.00,0.00,1.67,"",0,0.0,6,13.0,12,27.3,8,16.3,164612,20.8,0,0.0,0,0.0,23,1.7
"16061","1","9241","76","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,50,49,48,1191580,0,0,1871,"",18.53,51.36,48.87,49.34,112.57,0.00,0.00,2.26,"",0,0.0,4,8.7,5,11.4,7,17.1,322224,37.1,0,0.0,0,0.0,340,22.2
"16061","1","9241","76","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,52,56,57,956449,0,0,1338,"",18.73,52.87,50.69,49.53,85.19,0.00,0.00,1.67,"",0,0.0,6,13.0,12,27.3,8,16.3,164612,20.8,0,0.0,0,0.0,23,1.7
"16061","1","92412","77","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,50,49,48,1191580,0,0,1871,"",19.50,63.29,59.76,60.60,152.96,0.00,0.00,2.50,"",0,0.0,4,8.7,5,11.4,7,17.1,322224,37.1,0,0.0,0,0.0,340,22.2
"16061","1","92412","77","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,52,56,57,956449,0,0,1338,"",19.72,64.35,60.84,59.06,113.17,0.00,0.00,1.85,"",0,0.0,6,13.0,12,27.3,8,16.3,164612,20.8,0,0.0,0,0.0,23,1.7
"16061","1","924120","78","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,50,49,48,1191580,0,0,1871,"",19.50,63.29,59.76,60.60,152.96,0.00,0.00,2.50,"",0,0.0,4,8.7,5,11.4,7,17.1,322224,37.1,0,0.0,0,0.0,340,22.2
"16061","1","924120","78","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,52,56,57,956449,0,0,1338,"",19.72,64.35,60.84,59.06,113.17,0.00,0.00,1.85,"",0,0.0,6,13.0,12,27.3,8,16.3,164612,20.8,0,0.0,0,0.0,23,1.7
"16061","1","926","75","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,8,3,61648,0,0,948,"",5.95,1.49,2.97,1.14,1.95,0.00,0.00,1.04,"",0,0.0,-3,-42.9,1,14.3,0,0.0,13294,27.5,0,0.0,0,0.0,292,44.5
"16061","1","926","75","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,3,8,44515,0,0,541,"",5.91,3.05,1.10,2.91,1.37,0.00,0.00,0.58,"",0,0.0,0,0.0,0,0.0,5,166.7,2504,6.0,0,0.0,0,0.0,-151,-21.8
"16061","1","9261","76","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,8,3,61648,0,0,948,"",5.95,1.49,2.97,1.14,1.95,0.00,0.00,1.04,"",0,0.0,-3,-42.9,1,14.3,0,0.0,13294,27.5,0,0.0,0,0.0,292,44.5
"16061","1","9261","76","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,3,8,44515,0,0,541,"",5.91,3.05,1.10,2.91,1.37,0.00,0.00,0.58,"",0,0.0,0,0.0,0,0.0,5,166.7,2504,6.0,0,0.0,0,0.0,-151,-21.8
"16061","1","92614","77","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,8,3,61648,0,0,948,"",15.23,8.34,15.75,6.23,13.02,0.00,0.00,1.28,"",0,0.0,-3,-42.9,1,14.3,0,0.0,13294,27.5,0,0.0,0,0.0,292,44.5
"16061","1","92614","77","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,3,8,44515,0,0,541,"",15.44,16.04,6.06,15.72,8.55,0.00,0.00,0.68,"",0,0.0,0,0.0,0,0.0,5,166.7,2504,6.0,0,0.0,0,0.0,-151,-21.8
"16061","1","926140","78","0","2019","1","","Lewis County, Idaho","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,8,3,61648,0,0,948,"",15.23,8.34,15.75,6.23,13.02,0.00,0.00,1.28,"",0,0.0,-3,-42.9,1,14.3,0,0.0,13294,27.5,0,0.0,0,0.0,292,44.5
"16061","1","926140","78","0","2019","2","","Lewis County, Idaho","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,3,8,44515,0,0,541,"",15.44,16.04,6.06,15.72,8.55,0.00,0.00,0.68,"",0,0.0,0,0.0,0,0.0,5,166.7,2504,6.0,0,0.0,0,0.0,-151,-21.8
"16061","2","10","71","0","2019","1","","Lewis County, Idaho","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,35,35,35,355965,0,0,782,"",3.55,0.67,0.66,0.67,0.86,0.00,0.00,1.30,"",0,0.0,1,2.9,1,2.9,0,0.0,18466,5.5,0,0.0,0,0.0,26,3.4
"16061","2","10","71","0","2019","2","","Lewis County, Idaho","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,39,46,51,490120,0,0,832,"",3.58,0.76,0.86,0.96,1.10,0.00,0.00,1.28,"",0,0.0,-1,-2.5,1,2.2,-1,-1.9,18424,3.9,0,0.0,0,0.0,37,4.7
"16061","2","102","72","0","2019","1","","Lewis County, Idaho","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,35,35,35,355965,0,0,782,"",3.65,0.68,0.67,0.68,0.88,0.00,0.00,1.29,"",0,0.0,1,2.9,1,2.9,0,0.0,18466,5.5,0,0.0,0,0.0,26,3.4
"16061","2","102","72","0","2019","2","","Lewis County, Idaho","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,39,46,51,490120,0,0,832,"",3.68,0.78,0.87,0.98,1.11,0.00,0.00,1.27,"",0,0.0,-1,-2.5,1,2.2,-1,-1.9,18424,3.9,0,0.0,0,0.0,37,4.7
"16061","2","1028","73","0","2019","1","","Lewis County, Idaho","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,35,35,35,355965,0,0,782,"",4.98,1.72,1.72,1.74,2.27,0.00,0.00,1.32,"",0,0.0,1,2.9,1,2.9,0,0.0,18466,5.5,0,0.0,0,0.0,26,3.4
"16061","2","1028","73","0","2019","2","","Lewis County, Idaho","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,39,46,51,490120,0,0,832,"",5.02,1.99,2.22,2.44,2.87,0.00,0.00,1.29,"",0,0.0,-1,-2.5,1,2.2,-1,-1.9,18424,3.9,0,0.0,0,0.0,37,4.7
"16061","2","92","74","0","2019","1","","Lewis County, Idaho","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,35,35,35,355965,0,0,782,"",4.98,1.72,1.72,1.74,2.27,0.00,0.00,1.32,"",0,0.0,1,2.9,1,2.9,0,0.0,18466,5.5,0,0.0,0,0.0,26,3.4
"16061","2","92","74","0","2019","2","","Lewis County, Idaho","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,39,46,51,490120,0,0,832,"",5.02,1.99,2.22,2.44,2.87,0.00,0.00,1.29,"",0,0.0,-1,-2.5,1,2.2,-1,-1.9,18424,3.9,0,0.0,0,0.0,37,4.7
"16061","2","923","75","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","923","75","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","9231","76","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","9231","76","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","92312","77","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 92312 Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","92312","77","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 92312 Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","923120","78","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","923120","78","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",14.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","924","75","0","2019","1","","Lewis County, Idaho","State Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,27,27,27,288109,0,0,821,"",21.15,18.13,18.21,18.25,25.19,0.00,0.00,1.39,"",0,0.0,1,3.8,1,3.8,0,0.0,14424,5.3,0,0.0,0,0.0,22,2.8
"16061","2","924","75","0","2019","2","","Lewis County, Idaho","State Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,31,38,43,410649,0,0,846,"",21.35,20.74,22.70,24.20,32.38,0.00,0.00,1.43,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","9241","76","0","2019","1","","Lewis County, Idaho","State Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,27,27,27,288109,0,0,821,"",21.15,18.13,18.21,18.25,25.19,0.00,0.00,1.39,"",0,0.0,1,3.8,1,3.8,0,0.0,14424,5.3,0,0.0,0,0.0,22,2.8
"16061","2","9241","76","0","2019","2","","Lewis County, Idaho","State Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,31,38,43,410649,0,0,846,"",21.35,20.74,22.70,24.20,32.38,0.00,0.00,1.43,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","92412","77","0","2019","1","","Lewis County, Idaho","State Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,27,27,27,288109,0,0,821,"",25.60,26.10,26.32,26.26,40.37,0.00,0.00,1.54,"",0,0.0,1,3.8,1,3.8,0,0.0,14424,5.3,0,0.0,0,0.0,22,2.8
"16061","2","92412","77","0","2019","2","","Lewis County, Idaho","State Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,31,38,43,410649,0,0,846,"",25.85,29.54,31.75,33.37,51.42,0.00,0.00,1.62,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","924120","78","0","2019","1","","Lewis County, Idaho","State Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,27,27,27,288109,0,0,821,"",25.60,26.10,26.32,26.26,40.37,0.00,0.00,1.54,"",0,0.0,1,3.8,1,3.8,0,0.0,14424,5.3,0,0.0,0,0.0,22,2.8
"16061","2","924120","78","0","2019","2","","Lewis County, Idaho","State Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,31,38,43,410649,0,0,846,"",25.85,29.54,31.75,33.37,51.42,0.00,0.00,1.62,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","926","75","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","926","75","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","9261","76","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","9261","76","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",4.64,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","92612","77","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 92612 Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","92612","77","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 92612 Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","926120","78","0","2019","1","N","Lewis County, Idaho","State Government","NAICS 926120 Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","2","926120","78","0","2019","2","N","Lewis County, Idaho","State Government","NAICS 926120 Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16061","3","10","71","0","2019","1","","Lewis County, Idaho","Local Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,347,360,369,2171776,553006,2448,466,"",6.09,2.12,2.18,2.26,2.01,5.76,6.52,0.92,"",0,0.0,-3,-0.9,9,2.6,14,3.9,16906,0.8,-29950,-5.1,-304,-11.0,-5,-1.1
"16061","3","10","71","0","2019","2","","Lewis County, Idaho","Local Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,348,343,349,2260516,582268,2565,502,"",6.14,2.19,2.03,2.11,1.85,4.05,6.12,0.88,"",0,0.0,-4,-1.1,-8,-2.3,-11,-3.1,-17562,-0.8,-43437,-6.9,-353,-12.1,7,1.4
"16061","3","101","72","0","2019","1","","Lewis County, Idaho","Local Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",6,25,27,31,158255,70575,486,440,"",67.30,20.50,22.23,25.88,18.79,60.15,92.08,0.82,"",0,0.0,-4,-13.8,3,12.5,7,29.2,15816,11.1,2791,4.1,26,5.7,13,3.0
"16061","3","101","72","0","2019","2","","Lewis County, Idaho","Local Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",6,24,21,20,136183,69291,466,483,"",67.92,20.48,16.72,15.51,15.23,44.27,52.11,0.87,"",0,0.0,2,9.1,0,0.0,0,0.0,-745,-0.5,4143,6.4,41,9.6,-19,-3.8
"16061","3","1012","73","0","2019","1","","Lewis County, Idaho","Local Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",6,25,27,31,158255,70575,486,440,"",69.02,21.05,22.80,26.55,19.20,67.10,118.48,0.82,"",0,0.0,-4,-13.8,3,12.5,7,29.2,15816,11.1,2791,4.1,26,5.7,13,3.0
