"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16063","0","10","70","0","2019","1","","Lincoln County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",168,1597,1592,1622,14887173,10530751,73733,714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,5.7,13,0.8,8,0.5,46,2.9,1306206,9.6,1040608,11.0,567,0.8,53,8.0
"16063","0","10","70","0","2019","2","","Lincoln County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",169,1671,1734,1781,15330329,10012051,79326,682,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,3.0,-10,-0.6,1,0.1,-15,-0.8,308273,2.1,232013,2.4,-5586,-6.6,17,2.6
"16063","1","10","71","0","2019","1","","Lincoln County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,67,68,72,1053676,0,0,1175,"",5.05,2.19,2.23,2.33,2.87,0.00,0.00,1.28,"",0,0.0,0,0.0,2,3.0,3,4.3,-6780,-0.6,0,0.0,0,0.0,-36,-3.0
"16063","1","10","71","0","2019","2","","Lincoln County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,71,90,99,1023479,0,0,908,"",5.07,2.24,2.74,2.93,2.36,0.00,0.00,0.89,"",0,0.0,-3,-4.1,12,15.4,-10,-9.2,-53340,-5.0,0,0.0,0,0.0,-44,-4.6
"16063","1","102","72","0","2019","1","","Lincoln County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,67,68,72,1053676,0,0,1175,"",5.06,2.23,2.27,2.37,2.92,0.00,0.00,1.28,"",0,0.0,0,0.0,2,3.0,3,4.3,-6780,-0.6,0,0.0,0,0.0,-36,-3.0
"16063","1","102","72","0","2019","2","","Lincoln County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,71,90,99,1023479,0,0,908,"",5.08,2.28,2.79,2.99,2.41,0.00,0.00,0.89,"",0,0.0,-3,-4.1,12,15.4,-10,-9.2,-53340,-5.0,0,0.0,0,0.0,-44,-4.6
"16063","1","1021","73","0","2019","1","","Lincoln County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,10,9,101296,0,0,806,"",4.01,1.35,1.36,1.21,1.54,0.00,0.00,1.18,"",0,0.0,2,25.0,2,25.0,0,0.0,-3543,-3.4,0,0.0,0,0.0,-162,-16.7
"16063","1","1021","73","0","2019","2","","Lincoln County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,8,9,105611,0,0,903,"",4.02,1.31,1.01,1.12,1.32,0.00,0.00,1.16,"",0,0.0,0,0.0,-1,-11.1,-1,-10.0,-19509,-15.6,0,0.0,0,0.0,-93,-9.3
"16063","1","1028","73","0","2019","1","","Lincoln County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,57,58,63,952380,0,0,1235,"",7.52,3.45,3.51,3.77,4.26,0.00,0.00,1.19,"",0,0.0,-2,-3.4,0,0.0,3,5.0,-3237,-0.3,0,0.0,0,0.0,-11,-0.9
"16063","1","1028","73","0","2019","2","","Lincoln County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,61,82,90,917868,0,0,909,"",7.55,3.55,4.61,4.91,3.54,0.00,0.00,0.81,"",0,0.0,-3,-4.7,13,18.8,-9,-9.1,-33831,-3.6,0,0.0,0,0.0,-38,-4.0
"16063","1","48-49","74","0","2019","1","","Lincoln County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,10,9,101296,0,0,806,"",4.12,1.48,1.48,1.31,1.66,0.00,0.00,1.16,"",0,0.0,2,25.0,2,25.0,0,0.0,-3543,-3.4,0,0.0,0,0.0,-162,-16.7
"16063","1","48-49","74","0","2019","2","","Lincoln County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,10,8,9,105611,0,0,903,"",4.13,1.43,1.11,1.22,1.42,0.00,0.00,1.14,"",0,0.0,0,0.0,-1,-11.1,-1,-10.0,-19509,-15.6,0,0.0,0,0.0,-93,-9.3
"16063","1","491","75","0","2019","1","","Lincoln County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,10,9,101296,0,0,806,"",4.15,1.51,1.52,1.34,1.74,0.00,0.00,1.20,"",0,0.0,2,25.0,2,25.0,0,0.0,-3543,-3.4,0,0.0,0,0.0,-162,-16.7
"16063","1","491","75","0","2019","2","","Lincoln County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,8,9,105611,0,0,903,"",4.16,1.46,1.13,1.24,1.47,0.00,0.00,1.16,"",0,0.0,0,0.0,-1,-11.1,-1,-10.0,-19509,-15.6,0,0.0,0,0.0,-93,-9.3
"16063","1","4911","76","0","2019","1","","Lincoln County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,10,9,101296,0,0,806,"",4.15,1.51,1.52,1.34,1.74,0.00,0.00,1.20,"",0,0.0,2,25.0,2,25.0,0,0.0,-3543,-3.4,0,0.0,0,0.0,-162,-16.7
"16063","1","4911","76","0","2019","2","","Lincoln County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,8,9,105611,0,0,903,"",4.16,1.46,1.13,1.24,1.47,0.00,0.00,1.16,"",0,0.0,0,0.0,-1,-11.1,-1,-10.0,-19509,-15.6,0,0.0,0,0.0,-93,-9.3
