"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16077","0","10","70","0","2019","1","","Power County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",247,3085,3138,3225,31725486,26016594,176738,775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.9,-62,-2.0,-51,-1.6,-55,-1.7,-361558,-1.1,-621059,-2.3,-25742,-12.7,5,0.6
"16077","0","10","70","0","2019","2","","Power County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",248,3370,3409,3419,33720008,24207923,170741,763,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,4.2,-63,-1.8,-46,-1.3,-38,-1.1,-1215474,-3.5,-594007,-2.4,-27260,-13.8,-16,-2.1
"16077","1","10","71","0","2019","1","","Power County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,17,21,17,231788,0,0,973,"",3.44,0.29,0.35,0.28,0.30,0.00,0.00,0.97,"",-1,-16.7,-5,-22.7,2,10.5,-1,-5.6,32030,16.0,0,0.0,0,0.0,192,24.6
"16077","1","10","71","0","2019","2","","Power County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,21,17,22,218940,0,0,842,"",3.46,0.33,0.26,0.34,0.23,0.00,0.00,0.74,"",0,0.0,3,16.7,-1,-5.6,4,22.2,-712,-0.3,0,0.0,0,0.0,-97,-10.3
"16077","1","102","72","0","2019","1","","Power County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,17,21,17,231788,0,0,973,"",3.44,0.29,0.36,0.28,0.30,0.00,0.00,0.97,"",-1,-16.7,-5,-22.7,2,10.5,-1,-5.6,32030,16.0,0,0.0,0,0.0,192,24.6
"16077","1","102","72","0","2019","2","","Power County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,21,17,22,218940,0,0,842,"",3.46,0.33,0.27,0.35,0.23,0.00,0.00,0.74,"",0,0.0,3,16.7,-1,-5.6,4,22.2,-712,-0.3,0,0.0,0,0.0,-97,-10.3
"16077","1","1021","73","0","2019","1","","Power County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,11,12,12,134363,0,0,886,"",4.09,0.77,0.83,0.81,0.96,0.00,0.00,1.20,"",0,0.0,-2,-15.4,-1,-7.7,-1,-7.7,5996,4.7,0,0.0,0,0.0,126,16.6
"16077","1","1021","73","0","2019","2","","Power County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,157493,0,0,1010,"",4.11,0.78,0.77,0.77,0.90,0.00,0.00,1.15,"",0,0.0,-1,-7.7,0,0.0,0,0.0,8940,6.0,0,0.0,0,0.0,83,9.0
"16077","1","1028","73","0","2019","1","","Power County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,6,9,5,97425,0,0,1124,"",3.41,0.19,0.28,0.15,0.20,0.00,0.00,1.00,"",-1,-33.3,-3,-33.3,3,50.0,0,0.0,26034,36.5,0,0.0,0,0.0,300,36.4
"16077","1","1028","73","0","2019","2","","Power County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,9,5,10,61447,0,0,591,"",3.43,0.26,0.14,0.28,0.11,0.00,0.00,0.47,"",0,0.0,4,80.0,-1,-16.7,4,66.7,-9652,-13.6,0,0.0,0,0.0,-374,-38.8
"16077","1","48-49","74","0","2019","1","","Power County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,12,12,134363,0,0,886,"",4.21,0.84,0.90,0.88,1.03,0.00,0.00,1.18,"",0,0.0,-2,-15.4,-1,-7.7,-1,-7.7,5996,4.7,0,0.0,0,0.0,126,16.6
"16077","1","48-49","74","0","2019","2","","Power County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,12,12,157493,0,0,1010,"",4.23,0.85,0.84,0.84,0.96,0.00,0.00,1.14,"",0,0.0,-1,-7.7,0,0.0,0,0.0,8940,6.0,0,0.0,0,0.0,83,9.0
"16077","1","491","75","0","2019","1","","Power County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,12,12,134363,0,0,886,"",4.23,0.86,0.92,0.90,1.08,0.00,0.00,1.21,"",0,0.0,-2,-15.4,-1,-7.7,-1,-7.7,5996,4.7,0,0.0,0,0.0,126,16.6
"16077","1","491","75","0","2019","2","","Power County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,12,12,157493,0,0,1010,"",4.25,0.87,0.86,0.86,1.00,0.00,0.00,1.16,"",0,0.0,-1,-7.7,0,0.0,0,0.0,8940,6.0,0,0.0,0,0.0,83,9.0
"16077","1","4911","76","0","2019","1","","Power County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,12,12,134363,0,0,886,"",4.23,0.86,0.92,0.90,1.08,0.00,0.00,1.21,"",0,0.0,-2,-15.4,-1,-7.7,-1,-7.7,5996,4.7,0,0.0,0,0.0,126,16.6
