"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16081","0","10","70","0","2019","1","","Teton County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",583,3117,3094,3104,28038001,19574143,142465,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",45,8.4,224,7.7,188,6.5,195,6.7,2600730,10.2,1990291,11.3,5829,4.3,21,3.1
"16081","0","10","70","0","2019","2","","Teton County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",589,3169,3488,3917,31313065,20986680,163617,683,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,5.2,64,2.1,94,2.8,148,3.9,1689447,5.7,1382938,7.1,3309,2.1,17,2.6
"16081","1","10","71","0","2019","1","","Teton County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,32,32,34,471046,0,0,1109,"",2.04,0.54,0.54,0.57,0.68,0.00,0.00,1.24,"",-1,-12.5,-2,-5.9,0,0.0,-1,-2.9,8489,1.8,0,0.0,0,0.0,52,4.9
"16081","1","10","71","0","2019","2","","Teton County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,46,48,482646,0,0,857,"",2.04,0.60,0.70,0.65,0.54,0.00,0.00,0.84,"",0,0.0,-2,-5.3,6,15.0,1,2.1,-33585,-6.5,0,0.0,0,0.0,-96,-10.1
"16081","1","102","72","0","2019","1","","Teton County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,32,32,34,471046,0,0,1109,"",2.04,0.55,0.55,0.59,0.69,0.00,0.00,1.24,"",-1,-12.5,-2,-5.9,0,0.0,-1,-2.9,8489,1.8,0,0.0,0,0.0,52,4.9
"16081","1","102","72","0","2019","2","","Teton County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,46,48,482646,0,0,857,"",2.04,0.61,0.71,0.66,0.56,0.00,0.00,0.84,"",0,0.0,-2,-5.3,6,15.0,1,2.1,-33585,-6.5,0,0.0,0,0.0,-96,-10.1
"16081","1","1021","73","0","2019","1","","Teton County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,20,21,225890,0,0,855,"",1.73,1.39,1.40,1.47,1.83,0.00,0.00,1.29,"",0,0.0,2,11.1,3,17.6,3,16.7,3262,1.5,0,0.0,0,0.0,-114,-11.8
"16081","1","1021","73","0","2019","2","","Teton County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,19,21,20,247977,0,0,954,"",1.73,1.31,1.32,1.13,1.52,0.00,0.00,1.22,"",0,0.0,-1,-5.0,3,16.7,2,11.1,-182,-0.1,0,0.0,0,0.0,-69,-6.7
"16081","1","1028","73","0","2019","1","","Teton County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,12,12,13,245156,0,0,1529,"",2.89,0.37,0.37,0.41,0.58,0.00,0.00,1.52,"",-1,-20.0,-4,-25.0,-3,-20.0,-4,-23.5,5227,2.2,0,0.0,0,0.0,375,32.5
"16081","1","1028","73","0","2019","2","","Teton County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,25,28,234669,0,0,774,"",2.89,0.52,0.70,0.69,0.44,0.00,0.00,0.69,"",0,0.0,-1,-5.6,3,13.6,-1,-3.4,-33403,-12.5,0,0.0,0,0.0,-123,-13.7
"16081","1","48-49","74","0","2019","1","","Teton County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,20,21,225890,0,0,855,"",1.78,1.51,1.53,1.60,1.96,0.00,0.00,1.27,"",0,0.0,2,11.1,3,17.6,3,16.7,3262,1.5,0,0.0,0,0.0,-114,-11.8
"16081","1","48-49","74","0","2019","2","","Teton County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,19,21,20,247977,0,0,954,"",1.78,1.43,1.44,1.23,1.63,0.00,0.00,1.20,"",0,0.0,-1,-5.0,3,16.7,2,11.1,-182,-0.1,0,0.0,0,0.0,-69,-6.7
"16081","1","491","75","0","2019","1","","Teton County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,20,21,225890,0,0,855,"",1.79,1.55,1.56,1.64,2.06,0.00,0.00,1.30,"",0,0.0,2,11.1,3,17.6,3,16.7,3262,1.5,0,0.0,0,0.0,-114,-11.8
"16081","1","491","75","0","2019","2","","Teton County, Idaho","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,21,20,247977,0,0,954,"",1.79,1.46,1.47,1.26,1.69,0.00,0.00,1.22,"",0,0.0,-1,-5.0,3,16.7,2,11.1,-182,-0.1,0,0.0,0,0.0,-69,-6.7
"16081","1","4911","76","0","2019","1","","Teton County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,20,20,21,225890,0,0,855,"",1.79,1.55,1.56,1.64,2.06,0.00,0.00,1.30,"",0,0.0,2,11.1,3,17.6,3,16.7,3262,1.5,0,0.0,0,0.0,-114,-11.8
"16081","1","4911","76","0","2019","2","","Teton County, Idaho","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,21,20,247977,0,0,954,"",1.79,1.46,1.47,1.26,1.69,0.00,0.00,1.22,"",0,0.0,-1,-5.0,3,16.7,2,11.1,-182,-0.1,0,0.0,0,0.0,-69,-6.7
"16081","1","49111","77","0","2019","1","","Teton County, Idaho","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,20,20,21,225890,0,0,855,"",1.79,1.55,1.56,1.64,2.06,0.00,0.00,1.30,"",0,0.0,2,11.1,3,17.6,3,16.7,3262,1.5,0,0.0,0,0.0,-114,-11.8
"16081","1","49111","77","0","2019","2","","Teton County, Idaho","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,19,21,20,247977,0,0,954,"",1.79,1.46,1.47,1.26,1.69,0.00,0.00,1.22,"",0,0.0,-1,-5.0,3,16.7,2,11.1,-182,-0.1,0,0.0,0,0.0,-69,-6.7
"16081","1","491110","78","0","2019","1","","Teton County, Idaho","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,20,20,21,225890,0,0,855,"",1.79,1.55,1.56,1.64,2.06,0.00,0.00,1.30,"",0,0.0,2,11.1,3,17.6,3,16.7,3262,1.5,0,0.0,0,0.0,-114,-11.8
