"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16083","0","10","70","0","2019","1","","Twin Falls County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3016,38822,39081,39286,348154670,256815292,1760062,686,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",140,4.9,672,1.8,517,1.3,501,1.3,13035688,3.9,9749871,3.9,-99830,-5.4,16,2.4
"16083","0","10","70","0","2019","2","","Twin Falls County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3054,39776,39819,40235,353359076,234649686,1640255,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",129,4.4,831,2.1,777,2.0,780,2.0,11434801,3.3,11309235,5.1,-68450,-4.0,9,1.3
"16083","1","10","71","0","2019","1","","Twin Falls County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,370,359,364,6227105,0,0,1315,"",1.29,0.50,0.48,0.49,0.72,0.00,0.00,1.49,"",1,4.5,17,4.8,2,0.6,1,0.3,501751,8.8,0,0.0,0,0.0,84,6.8
"16083","1","10","71","0","2019","2","","Twin Falls County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,360,396,406,5662646,0,0,1125,"",1.29,0.48,0.53,0.53,0.57,0.00,0.00,1.11,"",1,4.5,-2,-0.6,15,3.9,-4,-1.0,-64951,-1.1,0,0.0,0,0.0,-21,-1.8
"16083","1","102","72","0","2019","1","","Twin Falls County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,370,359,364,6227105,0,0,1315,"",1.30,0.51,0.49,0.50,0.74,0.00,0.00,1.49,"",1,4.5,17,4.8,2,0.6,1,0.3,501751,8.8,0,0.0,0,0.0,84,6.8
"16083","1","102","72","0","2019","2","","Twin Falls County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,360,396,406,5662646,0,0,1125,"",1.29,0.49,0.54,0.54,0.58,0.00,0.00,1.11,"",1,4.5,-2,-0.6,15,3.9,-4,-1.0,-64951,-1.1,0,0.0,0,0.0,-21,-1.8
"16083","1","1021","73","0","2019","1","","Twin Falls County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,122,121,122,1478476,0,0,935,"",0.89,0.68,0.67,0.67,0.96,0.00,0.00,1.43,"",0,0.0,0,0.0,-3,-2.4,-2,-1.6,62223,4.4,0,0.0,0,0.0,52,5.9
"16083","1","1021","73","0","2019","2","","Twin Falls County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,121,120,120,1683435,0,0,1076,"",0.89,0.67,0.66,0.66,0.91,0.00,0.00,1.38,"",0,0.0,-2,-1.6,-2,-1.6,-1,-0.8,18744,1.1,0,0.0,0,0.0,26,2.5
"16083","1","1023","73","0","2019","1","","Twin Falls County, Idaho","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,119655,0,0,1841,"",4.26,1.55,1.55,1.55,2.29,0.00,0.00,1.48,"",0,0.0,0,0.0,0,0.0,0,0.0,14768,14.1,0,0.0,0,0.0,227,14.1
"16083","1","1023","73","0","2019","2","","Twin Falls County, Idaho","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,91237,0,0,1170,"",4.29,1.84,1.86,1.83,1.59,0.00,0.00,0.86,"",0,0.0,1,20.0,2,50.0,2,50.0,18356,25.2,0,0.0,0,0.0,-124,-9.6
"16083","1","1025","73","0","2019","1","","Twin Falls County, Idaho","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,15,301553,0,0,1546,"",2.47,0.13,0.13,0.13,0.24,0.00,0.00,1.78,"",0,0.0,0,0.0,0,0.0,1,7.1,15538,5.4,0,0.0,0,0.0,46,3.1
"16083","1","1025","73","0","2019","2","","Twin Falls County, Idaho","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,15,346398,0,0,1776,"",2.47,0.13,0.13,0.13,0.22,0.00,0.00,1.69,"",0,0.0,1,7.1,1,7.1,1,7.1,36345,11.7,0,0.0,0,0.0,72,4.2
"16083","1","1028","73","0","2019","1","","Twin Falls County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,228,218,222,4327421,0,0,1495,"",1.81,0.57,0.54,0.55,0.83,0.00,0.00,1.50,"",1,8.3,17,8.1,5,2.3,2,0.9,409222,10.4,0,0.0,0,0.0,91,6.5
"16083","1","1028","73","0","2019","2","","Twin Falls County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,218,255,265,3541576,0,0,1107,"",1.81,0.53,0.62,0.64,0.59,0.00,0.00,0.99,"",1,8.3,-2,-0.9,14,5.8,-6,-2.2,-138396,-3.8,0,0.0,0,0.0,-53,-4.6
"16083","1","48-49","74","0","2019","1","","Twin Falls County, Idaho","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,122,121,122,1478476,0,0,935,"",0.92,0.74,0.73,0.74,1.03,0.00,0.00,1.41,"",0,0.0,0,0.0,-3,-2.4,-2,-1.6,62223,4.4,0,0.0,0,0.0,52,5.9
