"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16085","0","10","70","0","2019","1","","Valley County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",678,4763,4714,4660,42453521,25901931,213522,693,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",39,6.1,268,6.0,211,4.7,263,6.0,3886623,10.1,2427178,10.3,1506,0.7,29,4.4
"16085","0","10","70","0","2019","2","","Valley County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",690,4423,4715,5390,43662511,24516489,220192,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,7.6,121,2.8,54,1.2,36,0.7,3375814,8.4,2508153,11.4,-2922,-1.3,45,6.9
"16085","1","10","71","0","2019","1","","Valley County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,192,189,207,3540734,0,0,1390,"",2.25,2.11,2.09,2.33,3.38,0.00,0.00,1.56,"",0,0.0,14,7.9,1,0.5,14,7.3,603247,20.5,0,0.0,0,0.0,177,14.6
"16085","1","10","71","0","2019","2","","Valley County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,227,299,324,3554026,0,0,965,"",2.24,2.70,3.35,3.17,2.88,0.00,0.00,0.93,"",0,0.0,6,2.7,22,7.9,-1,-0.3,62162,1.8,0,0.0,0,0.0,-14,-1.4
"16085","1","102","72","0","2019","1","","Valley County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,192,189,207,3540734,0,0,1390,"",2.26,2.15,2.13,2.37,3.44,0.00,0.00,1.55,"",0,0.0,14,7.9,1,0.5,14,7.3,603247,20.5,0,0.0,0,0.0,177,14.6
"16085","1","102","72","0","2019","2","","Valley County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,227,299,324,3554026,0,0,965,"",2.24,2.76,3.41,3.23,2.93,0.00,0.00,0.93,"",0,0.0,6,2.7,22,7.9,-1,-0.3,62162,1.8,0,0.0,0,0.0,-14,-1.4
"16085","1","1021","73","0","2019","1","","Valley County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,17,20,20,242234,0,0,981,"",2.49,0.77,0.92,0.93,1.30,0.00,0.00,1.48,"",0,0.0,-2,-10.5,1,5.3,2,11.1,36003,17.5,0,0.0,0,0.0,131,15.4
"16085","1","1021","73","0","2019","2","","Valley County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,19,20,19,248346,0,0,988,"",2.46,0.94,0.93,0.78,1.09,0.00,0.00,1.24,"",0,0.0,1,5.6,1,5.3,-1,-5.0,-1345,-0.5,0,0.0,0,0.0,-23,-2.3
"16085","1","1028","73","0","2019","1","","Valley County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,175,169,187,3298500,0,0,1434,"",2.48,3.55,3.45,3.89,5.17,0.00,0.00,1.43,"",0,0.0,16,10.1,0,0.0,12,6.9,567244,20.8,0,0.0,0,0.0,181,14.4
"16085","1","1028","73","0","2019","2","","Valley County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,208,279,305,3305680,0,0,963,"",2.46,4.57,5.77,5.50,4.48,0.00,0.00,0.84,"",0,0.0,5,2.5,21,8.1,0,0.0,63507,2.0,0,0.0,0,0.0,-14,-1.4
