"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16087","0","10","70","0","2019","1","","Washington County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",283,2571,2581,2622,21039543,14018249,102437,625,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.9,-143,-5.3,-136,-5.0,-115,-4.2,-1151662,-5.2,-1576667,-10.1,-35854,-25.9,-2,-0.3
"16087","0","10","70","0","2019","2","","Washington County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",287,2674,2743,2787,22509191,13564105,103883,633,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.5,-59,-2.2,-70,-2.5,-83,-2.9,-802066,-3.4,-876594,-6.1,-29846,-22.3,-6,-0.9
"16087","1","10","71","0","2019","1","","Washington County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,43,42,41,644296,0,0,1180,"",3.60,0.87,0.85,0.82,1.24,0.00,0.00,1.46,"",0,0.0,-7,-14.0,-3,-6.7,-4,-8.9,5504,0.9,0,0.0,0,0.0,127,12.1
"16087","1","10","71","0","2019","2","","Washington County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,52,60,61,720326,0,0,961,"",3.58,1.02,1.15,1.15,1.13,0.00,0.00,1.02,"",0,0.0,1,2.0,8,15.4,-2,-3.2,29975,4.3,0,0.0,0,0.0,1,0.1
"16087","1","102","72","0","2019","1","","Washington County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,43,42,41,644296,0,0,1180,"",3.61,0.89,0.87,0.84,1.26,0.00,0.00,1.46,"",0,0.0,-7,-14.0,-3,-6.7,-4,-8.9,5504,0.9,0,0.0,0,0.0,127,12.1
"16087","1","102","72","0","2019","2","","Washington County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,52,60,61,720326,0,0,961,"",3.59,1.04,1.18,1.18,1.15,0.00,0.00,1.02,"",0,0.0,1,2.0,8,15.4,-2,-3.2,29975,4.3,0,0.0,0,0.0,1,0.1
"16087","1","1021","73","0","2019","1","","Washington County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,19,18,18,205991,0,0,864,"",3.57,1.60,1.51,1.49,2.22,0.00,0.00,1.45,"",0,0.0,-2,-9.5,-2,-10.0,-2,-10.0,-10315,-4.8,0,0.0,0,0.0,46,5.6
"16087","1","1021","73","0","2019","2","","Washington County, Idaho","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,21,22,22,254888,0,0,905,"",3.55,1.72,1.76,1.74,2.17,0.00,0.00,1.25,"",0,0.0,-1,-4.5,2,10.0,2,10.0,14893,6.2,0,0.0,0,0.0,12,1.3
"16087","1","1028","73","0","2019","1","","Washington County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,24,24,23,438305,0,0,1425,"",4.46,0.90,0.90,0.85,1.39,0.00,0.00,1.57,"",0,0.0,-5,-17.2,-1,-4.0,-2,-8.0,15819,3.7,0,0.0,0,0.0,191,15.5
"16087","1","1028","73","0","2019","2","","Washington County, Idaho","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,31,38,39,465438,0,0,995,"",4.44,1.13,1.35,1.36,1.22,0.00,0.00,0.96,"",0,0.0,2,6.9,6,18.8,-4,-9.3,15082,3.3,0,0.0,0,0.0,-4,-0.4
