"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17000","0","10","50","0","2019","1","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",371965,5871399,5873496,5915497,97396620862,40554601963,914415546,1273,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7682,2.1,44788,0.8,25427,0.4,10360,0.2,2881289854,3.0,728478110,1.8,-114576742,-11.1,32,2.6
"17000","0","10","50","0","2019","2","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",378252,5969984,6032014,6074730,87899267409,13912653310,308984742,1122,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10180,2.8,35147,0.6,30674,0.5,19624,0.3,2444561074,2.9,80331755,0.6,-38318596,-11.0,26,2.4
"17000","1","10","51","0","2019","1","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2154,78892,78943,78888,1505686075,0,0,1468,"",0.98,0.70,0.70,0.70,0.63,0.00,0.00,0.89,"",86,4.2,-388,-0.5,102,0.1,57,0.1,-22145257,-1.4,0,0.0,0,0.0,-20,-1.3
"17000","1","10","51","0","2019","2","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2153,78825,78277,78451,1603874351,0,0,1571,"",0.98,0.70,0.69,0.68,0.65,0.00,0.00,0.94,"",91,4.4,-238,-0.3,-287,-0.4,-559,-0.7,42432412,2.7,0,0.0,0,0.0,48,3.2
"17000","1","101","52","0","2019","1","","Illinois -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2070,2068,2071,48009464,0,0,1784,"",0.64,0.98,0.98,0.97,1.09,0.00,0.00,1.11,"",0,0.0,-116,-5.3,-106,-4.9,-68,-3.2,6943140,16.9,0,0.0,0,0.0,326,22.4
"17000","1","101","52","0","2019","2","","Illinois -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2046,2043,2052,41220904,0,0,1549,"",0.64,0.96,0.94,0.93,0.85,0.00,0.00,0.90,"",0,0.0,-85,-4.0,-68,-3.2,-44,-2.1,137052,0.3,0,0.0,0,0.0,53,3.5
"17000","1","1013","53","0","2019","1","","Illinois -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2070,2068,2071,48009464,0,0,1784,"",1.74,1.04,1.04,1.03,1.14,0.00,0.00,1.10,"",0,0.0,-116,-5.3,-106,-4.9,-68,-3.2,6943140,16.9,0,0.0,0,0.0,326,22.4
"17000","1","1013","53","0","2019","2","","Illinois -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",3,2046,2043,2052,41220904,0,0,1549,"",1.73,1.02,1.01,1.01,0.89,0.00,0.00,0.88,"",0,0.0,-85,-4.0,-68,-3.2,-44,-2.1,137052,0.3,0,0.0,0,0.0,53,3.5
"17000","1","102","52","0","2019","1","","Illinois -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",2151,76822,76875,76817,1457676611,0,0,1459,"",0.98,0.70,0.70,0.69,0.62,0.00,0.00,0.89,"",86,4.2,-272,-0.4,208,0.3,125,0.2,-29088397,-2.0,0,0.0,0,0.0,-30,-2.0
"17000","1","102","52","0","2019","2","","Illinois -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",2150,76779,76234,76399,1562653447,0,0,1572,"",0.98,0.69,0.68,0.68,0.64,0.00,0.00,0.94,"",91,4.4,-153,-0.2,-219,-0.3,-515,-0.7,42295360,2.8,0,0.0,0,0.0,49,3.2
