"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17003","0","10","70","0","2019","1","","Alexander County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",98,1042,1028,1040,9367424,6739260,137500,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-79,-7.0,-87,-7.8,-98,-8.6,-1357869,-12.7,-939201,-12.2,-31785,-18.8,-39,-5.3
"17003","0","10","70","0","2019","2","","Alexander County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",98,1042,1019,1000,9690856,2735736,52799,731,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.0,-117,-10.1,-170,-14.3,-167,-14.3,-2109719,-17.9,-497467,-15.4,-18548,-26.0,-44,-5.7
"17003","1","10","71","0","2019","1","","Alexander County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,22,22,272356,0,0,952,"",12.13,1.10,1.12,1.11,1.18,0.00,0.00,1.06,"",1,16.7,-2,-8.3,-2,-8.3,0,0.0,-5556,-2.0,0,0.0,0,0.0,36,3.9
"17003","1","10","71","0","2019","2","","Alexander County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,22,22,319554,0,0,1117,"",12.24,1.11,1.14,1.16,1.17,0.00,0.00,1.02,"",1,16.7,-1,-4.3,1,4.8,1,4.8,6012,1.9,0,0.0,0,0.0,4,0.4
"17003","1","102","72","0","2019","1","","Alexander County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,22,22,22,272356,0,0,952,"",12.15,1.12,1.14,1.13,1.20,0.00,0.00,1.06,"",1,16.7,-2,-8.3,-2,-8.3,0,0.0,-5556,-2.0,0,0.0,0,0.0,36,3.9
"17003","1","102","72","0","2019","2","","Alexander County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,22,22,22,319554,0,0,1117,"",12.27,1.13,1.16,1.18,1.19,0.00,0.00,1.03,"",1,16.7,-1,-4.3,1,4.8,1,4.8,6012,1.9,0,0.0,0,0.0,4,0.4
"17003","1","1021","73","0","2019","1","","Alexander County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,21,21,253794,0,0,930,"",17.19,4.36,4.43,4.39,6.15,0.00,0.00,1.40,"",0,0.0,-2,-8.7,-2,-8.7,0,0.0,-2564,-1.0,0,0.0,0,0.0,47,5.3
"17003","1","1021","73","0","2019","2","","Alexander County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,21,21,300420,0,0,1100,"",17.34,4.42,4.53,4.64,5.95,0.00,0.00,1.31,"",0,0.0,-1,-4.5,1,5.0,1,5.0,5440,1.8,0,0.0,0,0.0,2,0.2
"17003","1","1028","73","0","2019","1","","Alexander County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,18562,0,0,1428,"",8.59,0.09,0.09,0.09,0.13,0.00,0.00,1.42,"",1,100.0,0,0.0,0,0.0,0,0.0,-2992,-13.9,0,0.0,0,0.0,-230,-13.9
"17003","1","1028","73","0","2019","2","","Alexander County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,1,1,1,19134,0,0,1472,"",8.68,0.09,0.10,0.10,0.12,0.00,0.00,1.22,"",1,100.0,0,0.0,0,0.0,0,0.0,572,3.1,0,0.0,0,0.0,44,3.1
