"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17009","0","10","70","0","2019","1","","Brown County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",122,4281,4257,4286,53181438,35617944,545819,957,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.8,140,3.4,135,3.3,165,4.0,6778738,14.6,20302932,132.6,265593,94.8,92,10.6
"17009","0","10","70","0","2019","2","","Brown County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",122,4327,4302,4339,52908329,9617326,160051,942,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.7,120,2.9,72,1.7,68,1.6,6453544,13.9,1256073,15.0,2846,1.8,98,11.6
"17009","1","10","71","0","2019","1","","Brown County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,41,40,40,544573,0,0,1039,"",9.74,0.50,0.49,0.49,0.41,0.00,0.00,0.84,"",1,16.7,-2,-4.7,0,0.0,1,2.6,-26571,-4.7,0,0.0,0,0.0,-41,-3.8
"17009","1","10","71","0","2019","2","","Brown County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,41,41,42,578313,0,0,1076,"",9.83,0.50,0.50,0.51,0.39,0.00,0.00,0.77,"",1,16.7,0,0.0,-2,-4.7,0,0.0,12286,2.2,0,0.0,0,0.0,39,3.8
"17009","1","102","72","0","2019","1","","Brown County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,41,40,40,544573,0,0,1039,"",9.76,0.51,0.50,0.50,0.42,0.00,0.00,0.84,"",1,16.7,-2,-4.7,0,0.0,1,2.6,-26571,-4.7,0,0.0,0,0.0,-41,-3.8
"17009","1","102","72","0","2019","2","","Brown County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,41,41,42,578313,0,0,1076,"",9.85,0.51,0.51,0.52,0.39,0.00,0.00,0.77,"",1,16.7,0,0.0,-2,-4.7,0,0.0,12286,2.2,0,0.0,0,0.0,39,3.8
"17009","1","1021","73","0","2019","1","","Brown County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,23,22,21,217116,0,0,759,"",8.29,1.16,1.12,1.06,0.93,0.00,0.00,0.83,"",0,0.0,0,0.0,1,4.8,1,5.0,2105,1.0,0,0.0,0,0.0,-16,-2.1
"17009","1","1021","73","0","2019","2","","Brown County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,22,22,23,254293,0,0,876,"",8.36,1.11,1.12,1.17,0.92,0.00,0.00,0.81,"",0,0.0,1,4.8,-2,-8.3,0,0.0,1620,0.6,0,0.0,0,0.0,19,2.2
"17009","1","1024","73","0","2019","1","","Brown County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,13,232705,0,0,1451,"",57.05,6.14,6.20,6.69,6.55,0.00,0.00,1.03,"",0,0.0,-1,-7.7,-1,-7.7,0,0.0,4879,2.1,0,0.0,0,0.0,103,7.6
"17009","1","1024","73","0","2019","2","","Brown County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,13,226165,0,0,1338,"",57.44,6.70,6.68,6.58,6.04,0.00,0.00,0.91,"",0,0.0,0,0.0,0,0.0,0,0.0,7006,3.2,0,0.0,0,0.0,41,3.2
