"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17021","0","10","70","0","2019","1","","Christian County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",699,10038,10148,10259,103225018,50103501,1455083,782,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.5,228,2.3,239,2.4,248,2.5,10135175,10.9,3037177,6.5,12914,0.9,59,8.2
"17021","0","10","70","0","2019","2","","Christian County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",707,10306,10338,10243,97678944,22398481,608871,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.6,205,2.0,160,1.6,-3,0.0,4849059,5.2,564127,2.6,-11683,-1.9,28,4.0
"17021","1","10","71","0","2019","1","","Christian County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,70,68,69,820586,0,0,915,"",3.40,0.36,0.35,0.35,0.32,0.00,0.00,0.91,"",1,7.7,-3,-4.1,-4,-5.6,-4,-5.5,6641,0.8,0,0.0,0,0.0,53,6.1
"17021","1","10","71","0","2019","2","","Christian County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,73,71,69,902965,0,0,978,"",3.39,0.37,0.36,0.36,0.33,0.00,0.00,0.90,"",1,7.7,-2,-2.7,-1,-1.4,0,0.0,-36791,-3.9,0,0.0,0,0.0,-26,-2.6
"17021","1","102","72","0","2019","1","","Christian County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,70,68,69,820586,0,0,915,"",3.41,0.37,0.36,0.36,0.33,0.00,0.00,0.91,"",1,7.7,-3,-4.1,-4,-5.6,-4,-5.5,6641,0.8,0,0.0,0,0.0,53,6.1
"17021","1","102","72","0","2019","2","","Christian County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,73,71,69,902965,0,0,978,"",3.40,0.38,0.37,0.36,0.33,0.00,0.00,0.90,"",1,7.7,-2,-2.7,-1,-1.4,0,0.0,-36791,-3.9,0,0.0,0,0.0,-26,-2.6
"17021","1","1021","73","0","2019","1","","Christian County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,63,61,62,721562,0,0,895,"",5.30,1.36,1.30,1.31,1.59,0.00,0.00,1.20,"",0,0.0,-2,-3.1,-3,-4.7,1,1.6,35010,5.1,0,0.0,0,0.0,61,7.3
"17021","1","1021","73","0","2019","2","","Christian County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,64,65,63,798620,0,0,960,"",5.29,1.36,1.38,1.36,1.57,0.00,0.00,1.15,"",0,0.0,0,0.0,1,1.6,2,3.3,-31378,-3.8,0,0.0,0,0.0,-53,-5.2
"17021","1","1028","73","0","2019","1","","Christian County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,7,99024,0,0,1088,"",1.81,0.07,0.07,0.07,0.06,0.00,0.00,0.96,"",1,50.0,-1,-12.5,-1,-12.5,-5,-41.7,-28369,-22.3,0,0.0,0,0.0,38,3.6
"17021","1","1028","73","0","2019","2","","Christian County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,6,6,104345,0,0,1147,"",1.80,0.08,0.06,0.06,0.06,0.00,0.00,0.96,"",1,50.0,-2,-18.2,-2,-25.0,-2,-25.0,-5413,-4.9,0,0.0,0,0.0,209,22.3
