"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17023","0","10","70","0","2019","1","","Clark County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",327,4502,4483,4504,42319823,29239635,545119,724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,2.8,57,1.3,12,0.3,-30,-0.7,-533448,-1.2,866033,3.1,-81069,-12.9,-11,-1.5
"17023","0","10","70","0","2019","2","","Clark County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",328,4585,4646,4560,45542092,11680578,229102,762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,2.8,-16,-0.3,-55,-1.2,29,0.6,3721909,8.9,-465589,-3.8,-45058,-16.4,64,9.2
"17023","1","10","71","0","2019","1","","Clark County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,45,44,45,543047,0,0,935,"",4.67,0.52,0.51,0.52,0.52,0.00,0.00,1.00,"",1,12.5,-9,-16.7,-4,-8.3,-10,-18.2,-28759,-5.0,0,0.0,0,0.0,95,11.3
"17023","1","10","71","0","2019","2","","Clark County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,42,46,47,612394,0,0,1047,"",4.70,0.48,0.52,0.54,0.48,0.00,0.00,0.92,"",1,12.5,-6,-12.5,-1,-2.1,0,0.0,-23655,-3.7,0,0.0,0,0.0,13,1.3
"17023","1","102","72","0","2019","1","","Clark County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,45,44,45,543047,0,0,935,"",4.68,0.53,0.52,0.53,0.53,0.00,0.00,1.00,"",1,12.5,-9,-16.7,-4,-8.3,-10,-18.2,-28759,-5.0,0,0.0,0,0.0,95,11.3
"17023","1","102","72","0","2019","2","","Clark County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,42,46,47,612394,0,0,1047,"",4.71,0.49,0.53,0.55,0.48,0.00,0.00,0.92,"",1,12.5,-6,-12.5,-1,-2.1,0,0.0,-23655,-3.7,0,0.0,0,0.0,13,1.3
"17023","1","1021","73","0","2019","1","","Clark County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,34,36,394936,0,0,860,"",5.15,1.73,1.64,1.74,2.12,0.00,0.00,1.24,"",0,0.0,-6,-14.3,-5,-12.8,-7,-16.3,-6189,-1.5,0,0.0,0,0.0,113,15.1
"17023","1","1021","73","0","2019","2","","Clark County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,32,37,38,459629,0,0,991,"",5.18,1.53,1.75,1.84,1.94,0.00,0.00,1.13,"",0,0.0,-7,-17.9,-1,-2.6,0,0.0,-29229,-6.0,0,0.0,0,0.0,10,1.0
"17023","1","1028","73","0","2019","1","","Clark County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,10,9,148111,0,0,1221,"",5.15,0.19,0.21,0.19,0.23,0.00,0.00,1.16,"",1,33.3,-3,-25.0,1,11.1,-3,-25.0,-22570,-13.2,0,0.0,0,0.0,27,2.3
"17023","1","1028","73","0","2019","2","","Clark County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,9,9,152765,0,0,1259,"",5.18,0.21,0.19,0.19,0.20,0.00,0.00,1.00,"",1,33.3,1,11.1,0,0.0,0,0.0,5574,3.8,0,0.0,0,0.0,1,0.1
"17023","1","48-49","74","0","2019","1","","Clark County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,34,36,394936,0,0,860,"",5.30,1.89,1.79,1.89,2.27,0.00,0.00,1.23,"",0,0.0,-6,-14.3,-5,-12.8,-7,-16.3,-6189,-1.5,0,0.0,0,0.0,113,15.1
"17023","1","48-49","74","0","2019","2","","Clark County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,32,37,38,459629,0,0,991,"",5.33,1.67,1.91,2.00,2.08,0.00,0.00,1.12,"",0,0.0,-7,-17.9,-1,-2.6,0,0.0,-29229,-6.0,0,0.0,0,0.0,10,1.0
"17023","1","491","75","0","2019","1","","Clark County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,34,36,394936,0,0,860,"",5.33,1.93,1.83,1.93,2.39,0.00,0.00,1.26,"",0,0.0,-6,-14.3,-5,-12.8,-7,-16.3,-6189,-1.5,0,0.0,0,0.0,113,15.1
"17023","1","491","75","0","2019","2","","Clark County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,32,37,38,459629,0,0,991,"",5.36,1.70,1.95,2.05,2.16,0.00,0.00,1.14,"",0,0.0,-7,-17.9,-1,-2.6,0,0.0,-29229,-6.0,0,0.0,0,0.0,10,1.0
"17023","1","4911","76","0","2019","1","","Clark County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,34,36,394936,0,0,860,"",5.33,1.93,1.83,1.93,2.39,0.00,0.00,1.26,"",0,0.0,-6,-14.3,-5,-12.8,-7,-16.3,-6189,-1.5,0,0.0,0,0.0,113,15.1
"17023","1","4911","76","0","2019","2","","Clark County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,32,37,38,459629,0,0,991,"",5.36,1.70,1.95,2.05,2.16,0.00,0.00,1.14,"",0,0.0,-7,-17.9,-1,-2.6,0,0.0,-29229,-6.0,0,0.0,0,0.0,10,1.0
"17023","1","49111","77","0","2019","1","","Clark County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,34,36,394936,0,0,860,"",5.33,1.93,1.83,1.93,2.39,0.00,0.00,1.26,"",0,0.0,-6,-14.3,-5,-12.8,-7,-16.3,-6189,-1.5,0,0.0,0,0.0,113,15.1
