"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17029","0","10","70","0","2019","1","","Coles County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1064,23715,23598,23765,239258217,121487273,2310728,777,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.6,99,0.4,-122,-0.5,95,0.4,10303692,4.5,2212368,1.9,-419177,-15.4,33,4.4
"17029","0","10","70","0","2019","2","","Coles County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1068,23744,23965,23216,235217799,60835893,1134057,765,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-5,0.0,164,0.7,-371,-1.6,11793515,5.3,-431941,-0.7,-193671,-14.6,40,5.5
"17029","1","10","71","0","2019","1","","Coles County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,135,140,142,1854785,0,0,1026,"",1.91,0.30,0.31,0.31,0.31,0.00,0.00,1.02,"",0,0.0,-7,-4.9,-8,-5.4,-8,-5.3,-27603,-1.5,0,0.0,0,0.0,39,4.0
"17029","1","10","71","0","2019","2","","Coles County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,141,141,145,2058126,0,0,1112,"",2.09,0.31,0.31,0.33,0.31,0.00,0.00,0.97,"",1,8.3,-3,-2.1,2,1.4,2,1.4,10625,0.5,0,0.0,0,0.0,3,0.3
"17029","1","102","72","0","2019","1","","Coles County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,135,140,142,1854785,0,0,1026,"",1.92,0.30,0.32,0.32,0.32,0.00,0.00,1.02,"",0,0.0,-7,-4.9,-8,-5.4,-8,-5.3,-27603,-1.5,0,0.0,0,0.0,39,4.0
"17029","1","102","72","0","2019","2","","Coles County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,141,141,145,2058126,0,0,1112,"",2.09,0.32,0.32,0.34,0.32,0.00,0.00,0.98,"",1,8.3,-3,-2.1,2,1.4,2,1.4,10625,0.5,0,0.0,0,0.0,3,0.3
"17029","1","1021","73","0","2019","1","","Coles County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,92,97,96,1164211,0,0,943,"",1.58,0.84,0.89,0.88,1.10,0.00,0.00,1.27,"",-1,-16.7,-3,-3.2,-4,-4.0,-6,-5.9,-76,0.0,0,0.0,0,0.0,41,4.5
"17029","1","1021","73","0","2019","2","","Coles County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,96,96,97,1316787,0,0,1051,"",1.91,0.89,0.88,0.92,1.07,0.00,0.00,1.20,"",0,0.0,0,0.0,2,2.1,4,4.3,27950,2.2,0,0.0,0,0.0,0,0.0
"17029","1","1028","73","0","2019","1","","Coles County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,43,43,46,690574,0,0,1207,"",2.77,0.18,0.18,0.19,0.19,0.00,0.00,1.07,"",1,16.7,-4,-8.5,-4,-8.5,-2,-4.2,-27527,-3.8,0,0.0,0,0.0,40,3.4
"17029","1","1028","73","0","2019","2","","Coles County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,45,45,48,741339,0,0,1240,"",2.79,0.18,0.18,0.20,0.19,0.00,0.00,0.99,"",1,16.7,-3,-6.2,0,0.0,-2,-4.0,-17325,-2.3,0,0.0,0,0.0,16,1.3
"17029","1","48-49","74","0","2019","1","","Coles County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,92,97,96,1164211,0,0,943,"",1.63,0.91,0.97,0.96,1.19,0.00,0.00,1.25,"",-1,-16.7,-3,-3.2,-4,-4.0,-6,-5.9,-76,0.0,0,0.0,0,0.0,41,4.5
"17029","1","48-49","74","0","2019","2","","Coles County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,96,96,97,1316787,0,0,1051,"",1.96,0.97,0.96,1.01,1.15,0.00,0.00,1.18,"",0,0.0,0,0.0,2,2.1,4,4.3,27950,2.2,0,0.0,0,0.0,0,0.0
"17029","1","491","75","0","2019","1","","Coles County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,92,97,96,1164211,0,0,943,"",1.64,0.94,0.99,0.98,1.24,0.00,0.00,1.29,"",-1,-16.7,-3,-3.2,-4,-4.0,-6,-5.9,-76,0.0,0,0.0,0,0.0,41,4.5
"17029","1","491","75","0","2019","2","","Coles County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,96,96,97,1316787,0,0,1051,"",1.97,0.99,0.98,1.03,1.20,0.00,0.00,1.20,"",0,0.0,0,0.0,2,2.1,4,4.3,27950,2.2,0,0.0,0,0.0,0,0.0
"17029","1","4911","76","0","2019","1","","Coles County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,92,97,96,1164211,0,0,943,"",1.64,0.94,0.99,0.98,1.24,0.00,0.00,1.29,"",-1,-16.7,-3,-3.2,-4,-4.0,-6,-5.9,-76,0.0,0,0.0,0,0.0,41,4.5
"17029","1","4911","76","0","2019","2","","Coles County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,96,96,97,1316787,0,0,1051,"",1.97,0.99,0.98,1.03,1.20,0.00,0.00,1.20,"",0,0.0,0,0.0,2,2.1,4,4.3,27950,2.2,0,0.0,0,0.0,0,0.0
"17029","1","49111","77","0","2019","1","","Coles County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,92,97,96,1164211,0,0,943,"",1.64,0.94,0.99,0.98,1.24,0.00,0.00,1.29,"",-1,-16.7,-3,-3.2,-4,-4.0,-6,-5.9,-76,0.0,0,0.0,0,0.0,41,4.5
"17029","1","49111","77","0","2019","2","","Coles County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,96,96,97,1316787,0,0,1051,"",1.97,0.99,0.98,1.03,1.20,0.00,0.00,1.20,"",0,0.0,0,0.0,2,2.1,4,4.3,27950,2.2,0,0.0,0,0.0,0,0.0
"17029","1","491110","78","0","2019","1","","Coles County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,92,97,96,1164211,0,0,943,"",1.64,0.94,0.99,0.98,1.24,0.00,0.00,1.29,"",-1,-16.7,-3,-3.2,-4,-4.0,-6,-5.9,-76,0.0,0,0.0,0,0.0,41,4.5
"17029","1","491110","78","0","2019","2","","Coles County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,96,96,97,1316787,0,0,1051,"",1.97,0.99,0.98,1.03,1.20,0.00,0.00,1.20,"",0,0.0,0,0.0,2,2.1,4,4.3,27950,2.2,0,0.0,0,0.0,0,0.0
