"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17031","0","10","70","0","2019","1","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137946,2551912,2552040,2570807,48683813330,18424131988,411448328,1464,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",560,0.4,17658,0.7,12057,0.5,4358,0.2,1664851922,3.5,339870477,1.9,-53338126,-11.5,44,3.1
"17031","0","10","70","0","2019","2","","Cook County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",139246,2583737,2608367,2635806,42419389740,5933280013,128704501,1251,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1189,0.9,14386,0.6,13915,0.5,10217,0.4,1231205200,3.0,66704158,1.1,-15992499,-11.1,31,2.5
"17031","1","10","71","0","2019","1","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",272,37764,37576,37514,769748624,0,0,1574,"",0.33,0.77,0.77,0.77,0.64,0.00,0.00,0.83,"",-5,-1.8,27,0.1,-30,-0.1,-76,-0.2,-32945754,-4.1,0,0.0,0,0.0,-66,-4.0
"17031","1","10","71","0","2019","2","","Cook County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",272,37993,37572,37651,823968099,0,0,1680,"",0.33,0.77,0.76,0.75,0.69,0.00,0.00,0.90,"",-2,-0.7,219,0.6,-50,-0.1,-78,-0.2,21827646,2.7,0,0.0,0,0.0,44,2.7
"17031","1","101","72","0","2019","1","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,203966,0,0,1743,"",0.58,0.01,0.01,0.01,0.01,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,-29067,-12.5,0,0.0,0,0.0,-249,-12.5
"17031","1","101","72","0","2019","2","","Cook County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,9,9,9,212074,0,0,1813,"",0.58,0.01,0.01,0.01,0.01,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,10369,5.1,0,0.0,0,0.0,89,5.2
"17031","1","1013","73","0","2019","1","","Cook County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,203966,0,0,1743,"",1.57,0.01,0.01,0.01,0.01,0.00,0.00,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,-29067,-12.5,0,0.0,0,0.0,-249,-12.5
"17031","1","1013","73","0","2019","2","","Cook County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,212074,0,0,1813,"",1.57,0.01,0.01,0.01,0.01,0.00,0.00,0.92,"",0,0.0,0,0.0,0,0.0,0,0.0,10369,5.1,0,0.0,0,0.0,89,5.2
"17031","1","102","72","0","2019","1","","Cook County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",271,37755,37567,37505,769544658,0,0,1574,"",0.33,0.79,0.78,0.78,0.65,0.00,0.00,0.83,"",-5,-1.8,27,0.1,-30,-0.1,-76,-0.2,-32916687,-4.1,0,0.0,0,0.0,-66,-4.0
"17031","1","102","72","0","2019","2","","Cook County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",271,37984,37563,37642,823756025,0,0,1679,"",0.33,0.79,0.78,0.77,0.70,0.00,0.00,0.90,"",-2,-0.7,219,0.6,-50,-0.1,-78,-0.2,21817277,2.7,0,0.0,0,0.0,43,2.6
"17031","1","1021","73","0","2019","1","","Cook County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",143,12760,12690,12624,201360627,0,0,1220,"",0.35,1.08,1.08,1.07,0.94,0.00,0.00,0.87,"",1,0.7,-65,-0.5,-23,-0.2,-97,-0.8,5292475,2.7,0,0.0,0,0.0,37,3.1
"17031","1","1021","73","0","2019","2","","Cook County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",143,12959,12631,12604,221588257,0,0,1339,"",0.35,1.10,1.06,1.06,1.00,0.00,0.00,0.93,"",1,0.7,33,0.3,-131,-1.0,-188,-1.5,-41410,0.0,0,0.0,0,0.0,10,0.8
"17031","1","1022","73","0","2019","1","","Cook County, Illinois","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,99,97,97,1320736,0,0,1040,"",1.18,0.86,0.85,0.85,0.50,0.00,0.00,0.58,"",0,0.0,-9,-8.3,-10,-9.3,-11,-10.2,-203553,-13.4,0,0.0,0,0.0,-49,-4.5
"17031","1","1022","73","0","2019","2","","Cook County, Illinois","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,97,90,92,1257858,0,0,1040,"",1.17,0.84,0.79,0.79,0.50,0.00,0.00,0.62,"",0,0.0,-7,-6.7,-13,-12.6,-12,-11.5,-35379,-2.7,0,0.0,0,0.0,80,8.3
