"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17035","0","10","70","0","2019","1","","Cumberland County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",211,2774,2785,2805,21748326,16460689,298668,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,5.5,54,2.0,69,2.5,38,1.4,709754,3.4,-270140,-1.6,-23818,-7.4,8,1.4
"17035","0","10","70","0","2019","2","","Cumberland County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",210,2879,2926,2812,25394039,9103527,170384,680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,4.0,57,2.0,114,4.1,83,3.0,785136,3.2,90771,1.0,-17090,-9.1,1,0.1
"17035","1","10","71","0","2019","1","","Cumberland County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,29,29,29,320368,0,0,850,"",5.63,0.55,0.54,0.54,0.60,0.00,0.00,1.10,"",0,0.0,-3,-9.4,-1,-3.3,2,7.4,19427,6.5,0,0.0,0,0.0,70,9.0
"17035","1","10","71","0","2019","2","","Cumberland County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,30,30,29,362448,0,0,940,"",6.53,0.55,0.54,0.54,0.50,0.00,0.00,0.93,"",1,14.3,-1,-3.2,0,0.0,-1,-3.3,4604,1.3,0,0.0,0,0.0,33,3.6
"17035","1","102","72","0","2019","1","","Cumberland County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,29,29,29,320368,0,0,850,"",5.64,0.56,0.55,0.55,0.61,0.00,0.00,1.10,"",0,0.0,-3,-9.4,-1,-3.3,2,7.4,19427,6.5,0,0.0,0,0.0,70,9.0
"17035","1","102","72","0","2019","2","","Cumberland County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,30,30,29,362448,0,0,940,"",6.54,0.56,0.55,0.55,0.51,0.00,0.00,0.93,"",1,14.3,-1,-3.2,0,0.0,-1,-3.3,4604,1.3,0,0.0,0,0.0,33,3.6
"17035","1","1021","73","0","2019","1","","Cumberland County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,23,23,24,245614,0,0,810,"",6.39,1.79,1.79,1.86,2.56,0.00,0.00,1.41,"",-1,-20.0,0,0.0,2,9.5,2,9.1,28865,13.3,0,0.0,0,0.0,52,6.9
"17035","1","1021","73","0","2019","2","","Cumberland County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,22,25,24,289951,0,0,942,"",8.09,1.67,1.88,1.88,2.19,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,-1,-4.0,4204,1.5,0,0.0,0,0.0,26,2.8
"17035","1","1028","73","0","2019","1","","Cumberland County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,5,74754,0,0,1015,"",5.98,0.21,0.21,0.17,0.23,0.00,0.00,1.17,"",1,50.0,-3,-33.3,-3,-33.3,0,0.0,-9438,-11.2,0,0.0,0,0.0,170,20.1
"17035","1","1028","73","0","2019","2","","Cumberland County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,5,5,72497,0,0,929,"",6.07,0.27,0.17,0.17,0.17,0.00,0.00,0.83,"",1,50.0,-1,-11.1,0,0.0,0,0.0,400,0.6,0,0.0,0,0.0,53,6.1
"17035","1","48-49","74","0","2019","1","","Cumberland County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,23,23,24,245614,0,0,810,"",6.57,1.96,1.95,2.03,2.75,0.00,0.00,1.39,"",-1,-20.0,0,0.0,2,9.5,2,9.1,28865,13.3,0,0.0,0,0.0,52,6.9
