"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17037","0","10","70","0","2019","1","","DeKalb County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2018,36225,36286,36498,400987157,189835474,4520843,849,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,0.0,-240,-0.7,-593,-1.6,-959,-2.6,14335336,3.7,1582102,0.8,-456582,-9.2,44,5.5
"17037","0","10","70","0","2019","2","","DeKalb County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2034,37209,37561,37450,415887927,82246367,1814904,855,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.5,-626,-1.7,-869,-2.3,-1081,-2.8,373595,0.1,-2391024,-2.8,-258928,-12.5,20,2.4
"17037","1","10","71","0","2019","1","","DeKalb County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,192,193,189,2735865,0,0,1100,"",1.77,0.28,0.28,0.27,0.28,0.00,0.00,1.00,"",0,0.0,4,2.1,-1,-0.5,-3,-1.6,21566,0.8,0,0.0,0,0.0,9,0.8
"17037","1","10","71","0","2019","2","","DeKalb County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,196,196,192,2879621,0,0,1138,"",1.77,0.28,0.28,0.27,0.24,0.00,0.00,0.89,"",0,0.0,2,1.0,6,3.2,0,0.0,-92085,-3.1,0,0.0,0,0.0,-53,-4.5
"17037","1","102","72","0","2019","1","","DeKalb County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,192,193,189,2735865,0,0,1100,"",1.77,0.28,0.28,0.28,0.28,0.00,0.00,1.00,"",0,0.0,4,2.1,-1,-0.5,-3,-1.6,21566,0.8,0,0.0,0,0.0,9,0.8
"17037","1","102","72","0","2019","2","","DeKalb County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,196,196,192,2879621,0,0,1138,"",1.77,0.28,0.28,0.28,0.25,0.00,0.00,0.89,"",0,0.0,2,1.0,6,3.2,0,0.0,-92085,-3.1,0,0.0,0,0.0,-53,-4.5
"17037","1","1021","73","0","2019","1","","DeKalb County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,158,159,156,2130588,0,0,1039,"",2.34,0.94,0.95,0.93,1.21,0.00,0.00,1.28,"",-1,-6.7,3,1.9,0,0.0,0,0.0,39061,1.9,0,0.0,0,0.0,12,1.2
"17037","1","1021","73","0","2019","2","","DeKalb County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,158,164,161,2293805,0,0,1096,"",2.34,0.93,0.96,0.95,1.06,0.00,0.00,1.12,"",-1,-6.7,1,0.6,8,5.1,5,3.2,-129976,-5.4,0,0.0,0,0.0,-97,-8.1
"17037","1","1028","73","0","2019","1","","DeKalb County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,34,34,33,605277,0,0,1383,"",1.46,0.09,0.09,0.09,0.10,0.00,0.00,1.12,"",1,16.7,1,3.0,-1,-2.9,-3,-8.3,-17495,-2.8,0,0.0,0,0.0,1,0.1
"17037","1","1028","73","0","2019","2","","DeKalb County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,38,32,31,585816,0,0,1338,"",1.46,0.10,0.08,0.08,0.08,0.00,0.00,0.95,"",1,16.7,1,2.7,-2,-5.9,-5,-13.9,37891,6.9,0,0.0,0,0.0,156,13.2
"17037","1","48-49","74","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,158,159,156,2130588,0,0,1039,"",2.40,1.03,1.04,1.01,1.29,0.00,0.00,1.26,"",-1,-6.7,3,1.9,0,0.0,0,0.0,39061,1.9,0,0.0,0,0.0,12,1.2
"17037","1","48-49","74","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,158,164,161,2293805,0,0,1096,"",2.40,1.01,1.05,1.03,1.13,0.00,0.00,1.10,"",-1,-6.7,1,0.6,8,5.1,5,3.2,-129976,-5.4,0,0.0,0,0.0,-97,-8.1
"17037","1","491","75","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,158,159,156,2130588,0,0,1039,"",2.42,1.05,1.06,1.03,1.36,0.00,0.00,1.30,"",-1,-6.7,3,1.9,0,0.0,0,0.0,39061,1.9,0,0.0,0,0.0,12,1.2
"17037","1","491","75","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,158,164,161,2293805,0,0,1096,"",2.42,1.04,1.07,1.06,1.18,0.00,0.00,1.12,"",-1,-6.7,1,0.6,8,5.1,5,3.2,-129976,-5.4,0,0.0,0,0.0,-97,-8.1
"17037","1","4911","76","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,158,159,156,2130588,0,0,1039,"",2.42,1.05,1.06,1.03,1.36,0.00,0.00,1.30,"",-1,-6.7,3,1.9,0,0.0,0,0.0,39061,1.9,0,0.0,0,0.0,12,1.2
"17037","1","4911","76","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,158,164,161,2293805,0,0,1096,"",2.42,1.04,1.07,1.06,1.18,0.00,0.00,1.12,"",-1,-6.7,1,0.6,8,5.1,5,3.2,-129976,-5.4,0,0.0,0,0.0,-97,-8.1
"17037","1","49111","77","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,158,159,156,2130588,0,0,1039,"",2.42,1.05,1.06,1.03,1.36,0.00,0.00,1.30,"",-1,-6.7,3,1.9,0,0.0,0,0.0,39061,1.9,0,0.0,0,0.0,12,1.2
"17037","1","49111","77","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,158,164,161,2293805,0,0,1096,"",2.42,1.04,1.07,1.06,1.18,0.00,0.00,1.12,"",-1,-6.7,1,0.6,8,5.1,5,3.2,-129976,-5.4,0,0.0,0,0.0,-97,-8.1
"17037","1","491110","78","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,158,159,156,2130588,0,0,1039,"",2.42,1.05,1.06,1.03,1.36,0.00,0.00,1.30,"",-1,-6.7,3,1.9,0,0.0,0,0.0,39061,1.9,0,0.0,0,0.0,12,1.2
"17037","1","491110","78","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,158,164,161,2293805,0,0,1096,"",2.42,1.04,1.07,1.06,1.18,0.00,0.00,1.12,"",-1,-6.7,1,0.6,8,5.1,5,3.2,-129976,-5.4,0,0.0,0,0.0,-97,-8.1
"17037","1","92","74","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,34,34,33,605277,0,0,1383,"",1.46,0.09,0.09,0.09,0.10,0.00,0.00,1.12,"",1,16.7,1,3.0,-1,-2.9,-3,-8.3,-17495,-2.8,0,0.0,0,0.0,1,0.1
"17037","1","92","74","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,38,32,31,585816,0,0,1338,"",1.46,0.10,0.08,0.08,0.08,0.00,0.00,0.95,"",1,16.7,1,2.7,-2,-5.9,-5,-13.9,37891,6.9,0,0.0,0,0.0,156,13.2
"17037","1","922","75","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,39100,0,0,1504,"",1.49,0.03,0.03,0.03,0.03,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,1440,3.8,0,0.0,0,0.0,56,3.9
"17037","1","922","75","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,0,27911,0,0,1610,"",1.50,0.03,0.03,0.00,0.02,0.00,0.00,1.06,"",0,0.0,0,0.0,0,0.0,-2,-100.0,-3955,-12.4,0,0.0,0,0.0,384,31.3
"17037","1","9221","76","0","2019","1","","DeKalb County, Illinois","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,39100,0,0,1504,"",1.49,0.03,0.03,0.03,0.03,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,1440,3.8,0,0.0,0,0.0,56,3.9
"17037","1","9221","76","0","2019","2","","DeKalb County, Illinois","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,0,27911,0,0,1610,"",1.50,0.03,0.03,0.00,0.02,0.00,0.00,1.06,"",0,0.0,0,0.0,0,0.0,-2,-100.0,-3955,-12.4,0,0.0,0,0.0,384,31.3
