"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17041","0","10","70","0","2019","1","","Douglas County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",592,7347,7353,7354,73712725,50784198,853209,771,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,130,1.8,117,1.6,135,1.9,6185701,9.2,2810922,5.9,-66045,-7.2,52,7.2
"17041","0","10","70","0","2019","2","","Douglas County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",591,7386,7539,7611,73288745,20243174,347502,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.3,44,0.6,45,0.6,1,0.0,3169153,4.5,-283217,-1.4,-72572,-17.3,29,4.0
"17041","1","10","71","0","2019","1","","Douglas County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,54,57,55,605960,0,0,842,"",3.73,0.38,0.40,0.39,0.33,0.00,0.00,0.85,"",2,18.2,1,1.9,-1,-1.7,-7,-11.3,7797,1.3,0,0.0,0,0.0,44,5.5
"17041","1","10","71","0","2019","2","","Douglas County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,57,55,63,687102,0,0,906,"",3.77,0.41,0.39,0.44,0.33,0.00,0.00,0.81,"",2,18.2,-2,-3.4,1,1.9,-3,-4.5,-12755,-1.8,0,0.0,0,0.0,4,0.4
"17041","1","102","72","0","2019","1","","Douglas County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,54,57,55,605960,0,0,842,"",3.74,0.39,0.41,0.40,0.34,0.00,0.00,0.85,"",2,18.2,1,1.9,-1,-1.7,-7,-11.3,7797,1.3,0,0.0,0,0.0,44,5.5
"17041","1","102","72","0","2019","2","","Douglas County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,57,55,63,687102,0,0,906,"",3.78,0.41,0.39,0.44,0.34,0.00,0.00,0.81,"",2,18.2,-2,-3.4,1,1.9,-3,-4.5,-12755,-1.8,0,0.0,0,0.0,4,0.4
"17041","1","1021","73","0","2019","1","","Douglas County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,47,49,48,519422,0,0,832,"",5.12,1.38,1.44,1.42,1.60,0.00,0.00,1.13,"",0,0.0,1,2.2,-3,-5.8,-4,-7.7,20012,4.0,0,0.0,0,0.0,64,8.3
"17041","1","1021","73","0","2019","2","","Douglas County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,49,49,53,599932,0,0,917,"",5.17,1.45,1.43,1.54,1.57,0.00,0.00,1.07,"",0,0.0,-3,-5.8,1,2.1,-1,-1.9,-20612,-3.3,0,0.0,0,0.0,-13,-1.4
"17041","1","1028","73","0","2019","1","","Douglas County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,7,8,7,86538,0,0,908,"",2.84,0.09,0.10,0.09,0.08,0.00,0.00,0.81,"",2,100.0,0,0.0,2,33.3,-3,-30.0,-12215,-12.4,0,0.0,0,0.0,-83,-8.4
"17041","1","1028","73","0","2019","2","","Douglas County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,6,10,87170,0,0,838,"",2.88,0.11,0.08,0.13,0.07,0.00,0.00,0.68,"",2,100.0,1,14.3,0,0.0,-2,-16.7,7857,9.9,0,0.0,0,0.0,106,14.5
"17041","1","48-49","74","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,47,49,48,519422,0,0,832,"",5.27,1.51,1.57,1.55,1.72,0.00,0.00,1.11,"",0,0.0,1,2.2,-3,-5.8,-4,-7.7,20012,4.0,0,0.0,0,0.0,64,8.3
"17041","1","48-49","74","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,49,49,53,599932,0,0,917,"",5.32,1.58,1.56,1.68,1.68,0.00,0.00,1.05,"",0,0.0,-3,-5.8,1,2.1,-1,-1.9,-20612,-3.3,0,0.0,0,0.0,-13,-1.4
"17041","1","491","75","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,47,49,48,519422,0,0,832,"",5.30,1.54,1.61,1.58,1.80,0.00,0.00,1.14,"",0,0.0,1,2.2,-3,-5.8,-4,-7.7,20012,4.0,0,0.0,0,0.0,64,8.3
"17041","1","491","75","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,49,49,53,599932,0,0,917,"",5.35,1.62,1.59,1.71,1.75,0.00,0.00,1.07,"",0,0.0,-3,-5.8,1,2.1,-1,-1.9,-20612,-3.3,0,0.0,0,0.0,-13,-1.4
"17041","1","4911","76","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,47,49,48,519422,0,0,832,"",5.30,1.54,1.61,1.58,1.80,0.00,0.00,1.14,"",0,0.0,1,2.2,-3,-5.8,-4,-7.7,20012,4.0,0,0.0,0,0.0,64,8.3
"17041","1","4911","76","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,49,49,53,599932,0,0,917,"",5.35,1.62,1.59,1.71,1.75,0.00,0.00,1.07,"",0,0.0,-3,-5.8,1,2.1,-1,-1.9,-20612,-3.3,0,0.0,0,0.0,-13,-1.4
"17041","1","49111","77","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,47,49,48,519422,0,0,832,"",5.30,1.54,1.61,1.58,1.80,0.00,0.00,1.14,"",0,0.0,1,2.2,-3,-5.8,-4,-7.7,20012,4.0,0,0.0,0,0.0,64,8.3
"17041","1","49111","77","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,49,49,53,599932,0,0,917,"",5.35,1.62,1.59,1.71,1.75,0.00,0.00,1.07,"",0,0.0,-3,-5.8,1,2.1,-1,-1.9,-20612,-3.3,0,0.0,0,0.0,-13,-1.4
"17041","1","491110","78","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,47,49,48,519422,0,0,832,"",5.30,1.54,1.61,1.58,1.80,0.00,0.00,1.14,"",0,0.0,1,2.2,-3,-5.8,-4,-7.7,20012,4.0,0,0.0,0,0.0,64,8.3
"17041","1","491110","78","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,49,49,53,599932,0,0,917,"",5.35,1.62,1.59,1.71,1.75,0.00,0.00,1.07,"",0,0.0,-3,-5.8,1,2.1,-1,-1.9,-20612,-3.3,0,0.0,0,0.0,-13,-1.4
"17041","1","92","74","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,7,8,7,86538,0,0,908,"",2.84,0.09,0.10,0.09,0.08,0.00,0.00,0.81,"",2,100.0,0,0.0,2,33.3,-3,-30.0,-12215,-12.4,0,0.0,0,0.0,-83,-8.4
"17041","1","92","74","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,8,6,10,87170,0,0,838,"",2.88,0.11,0.08,0.13,0.07,0.00,0.00,0.68,"",2,100.0,1,14.3,0,0.0,-2,-16.7,7857,9.9,0,0.0,0,0.0,106,14.5
"17041","1","921","75","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,9514,0,0,732,"",8.46,0.14,0.14,0.14,0.10,0.00,0.00,0.71,"",1,100.0,1,100.0,1,100.0,1,100.0,9514,100.0,0,0.0,0,0.0,732,100.0
"17041","1","921","75","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,11416,0,0,878,"",9.13,0.14,0.13,0.13,0.11,0.00,0.00,0.79,"",1,100.0,1,100.0,1,100.0,1,100.0,11416,100.0,0,0.0,0,0.0,878,100.0
"17041","1","9211","76","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,9514,0,0,732,"",8.46,0.14,0.14,0.14,0.10,0.00,0.00,0.71,"",1,100.0,1,100.0,1,100.0,1,100.0,9514,100.0,0,0.0,0,0.0,732,100.0
"17041","1","9211","76","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,11416,0,0,878,"",9.13,0.14,0.13,0.13,0.11,0.00,0.00,0.79,"",1,100.0,1,100.0,1,100.0,1,100.0,11416,100.0,0,0.0,0,0.0,878,100.0
"17041","1","92119","77","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,9514,0,0,732,"",11.69,0.60,0.58,0.58,0.40,0.00,0.00,0.68,"",1,100.0,1,100.0,1,100.0,1,100.0,9514,100.0,0,0.0,0,0.0,732,100.0
"17041","1","92119","77","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,11416,0,0,878,"",12.96,0.58,0.57,0.56,0.40,0.00,0.00,0.69,"",1,100.0,1,100.0,1,100.0,1,100.0,11416,100.0,0,0.0,0,0.0,878,100.0
"17041","1","921190","78","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,9514,0,0,732,"",11.69,0.60,0.58,0.58,0.40,0.00,0.00,0.68,"",1,100.0,1,100.0,1,100.0,1,100.0,9514,100.0,0,0.0,0,0.0,732,100.0
"17041","1","921190","78","0","2019","2","","Douglas County, Illinois","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,11416,0,0,878,"",12.96,0.58,0.57,0.56,0.40,0.00,0.00,0.69,"",1,100.0,1,100.0,1,100.0,1,100.0,11416,100.0,0,0.0,0,0.0,878,100.0
"17041","1","924","75","0","2019","1","","Douglas County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,3,2,26755,0,0,882,"",3.21,0.46,0.68,0.46,0.44,0.00,0.00,0.83,"",0,0.0,-1,-33.3,0,0.0,-1,-33.3,-13262,-33.1,0,0.0,0,0.0,-144,-14.0
