"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17043","0","10","70","0","2019","1","","DuPage County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34463,609276,608129,611553,10617270591,4814851266,113349896,1340,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",110,0.3,3584,0.6,1232,0.2,438,0.1,275578360,2.7,61409123,1.3,-12899297,-10.2,31,2.4
"17043","0","10","70","0","2019","2","","DuPage County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34726,615209,621730,630082,9701918645,1458423703,32542996,1199,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",278,0.8,4048,0.7,2362,0.4,1893,0.3,358640631,3.8,-10145020,-0.7,-4009975,-11.0,39,3.4
"17043","1","10","71","0","2019","1","","DuPage County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,4595,4556,4544,88023028,0,0,1483,"",0.32,0.39,0.39,0.39,0.34,0.00,0.00,0.86,"",3,4.8,-93,-2.0,-64,-1.4,-78,-1.7,-2135023,-2.4,0,0.0,0,0.0,-11,-0.7
"17043","1","10","71","0","2019","2","","DuPage County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,4679,4626,4629,93466355,0,0,1548,"",0.32,0.40,0.39,0.39,0.34,0.00,0.00,0.87,"",4,6.6,-50,-1.1,26,0.6,16,0.3,1946642,2.1,0,0.0,0,0.0,33,2.2
"17043","1","102","72","0","2019","1","","DuPage County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,4595,4556,4544,88023028,0,0,1483,"",0.32,0.40,0.40,0.40,0.34,0.00,0.00,0.86,"",3,4.8,-93,-2.0,-64,-1.4,-78,-1.7,-2135023,-2.4,0,0.0,0,0.0,-11,-0.7
"17043","1","102","72","0","2019","2","","DuPage County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,4679,4626,4629,93466355,0,0,1548,"",0.32,0.41,0.40,0.39,0.35,0.00,0.00,0.87,"",4,6.6,-50,-1.1,26,0.6,16,0.3,1946642,2.1,0,0.0,0,0.0,33,2.2
"17043","1","1021","73","0","2019","1","","DuPage County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,3337,3296,3283,54180476,0,0,1261,"",0.32,1.18,1.17,1.17,1.16,0.00,0.00,0.99,"",2,6.5,-93,-2.7,-77,-2.3,-97,-2.9,543723,1.0,0,0.0,0,0.0,45,3.7
"17043","1","1021","73","0","2019","2","","DuPage County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,3408,3344,3335,60145994,0,0,1376,"",0.32,1.21,1.18,1.17,1.19,0.00,0.00,1.00,"",2,6.5,-81,-2.3,-36,-1.1,-51,-1.5,-326967,-0.5,0,0.0,0,0.0,15,1.1
"17043","1","1023","73","0","2019","1","","DuPage County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,82,80,80,2457110,0,0,2343,"",0.75,1.62,1.59,1.59,1.54,0.00,0.00,0.96,"",0,0.0,7,9.3,5,6.7,5,6.7,-298838,-10.8,0,0.0,0,0.0,-484,-17.1
"17043","1","1023","73","0","2019","2","","DuPage County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,81,78,81,2528610,0,0,2431,"",0.75,1.61,1.55,1.58,1.60,0.00,0.00,1.02,"",0,0.0,7,9.5,3,4.0,5,6.6,214388,9.3,0,0.0,0,0.0,57,2.4
"17043","1","1028","73","0","2019","1","","DuPage County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,1176,1180,1181,31385442,0,0,2048,"",0.37,0.19,0.19,0.19,0.20,0.00,0.00,1.05,"",1,3.4,-7,-0.6,8,0.7,14,1.2,-2379908,-7.0,0,0.0,0,0.0,-164,-7.4
"17043","1","1028","73","0","2019","2","","DuPage County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,1190,1204,1213,30791751,0,0,1970,"",0.37,0.19,0.19,0.19,0.19,0.00,0.00,1.00,"",2,7.1,24,2.1,59,5.2,62,5.4,2059221,7.2,0,0.0,0,0.0,55,2.9
"17043","1","48-49","74","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",33,3337,3296,3283,54180476,0,0,1261,"",0.33,1.29,1.28,1.27,1.24,0.00,0.00,0.97,"",2,6.5,-93,-2.7,-77,-2.3,-97,-2.9,543723,1.0,0,0.0,0,0.0,45,3.7
"17043","1","48-49","74","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",33,3408,3344,3335,60145994,0,0,1376,"",0.33,1.32,1.29,1.27,1.27,0.00,0.00,0.98,"",2,6.5,-81,-2.3,-36,-1.1,-51,-1.5,-326967,-0.5,0,0.0,0,0.0,15,1.1
"17043","1","491","75","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",33,3337,3296,3283,54180476,0,0,1261,"",0.33,1.32,1.31,1.30,1.31,0.00,0.00,1.00,"",2,6.5,-93,-2.7,-77,-2.3,-97,-2.9,543723,1.0,0,0.0,0,0.0,45,3.7
"17043","1","491","75","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",33,3408,3344,3335,60145994,0,0,1376,"",0.33,1.35,1.32,1.30,1.33,0.00,0.00,1.00,"",2,6.5,-81,-2.3,-36,-1.1,-51,-1.5,-326967,-0.5,0,0.0,0,0.0,15,1.1
"17043","1","4911","76","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",33,3337,3296,3283,54180476,0,0,1261,"",0.33,1.32,1.31,1.30,1.31,0.00,0.00,1.00,"",2,6.5,-93,-2.7,-77,-2.3,-97,-2.9,543723,1.0,0,0.0,0,0.0,45,3.7
"17043","1","4911","76","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",33,3408,3344,3335,60145994,0,0,1376,"",0.33,1.35,1.32,1.30,1.33,0.00,0.00,1.00,"",2,6.5,-81,-2.3,-36,-1.1,-51,-1.5,-326967,-0.5,0,0.0,0,0.0,15,1.1
"17043","1","49111","77","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",33,3337,3296,3283,54180476,0,0,1261,"",0.33,1.32,1.31,1.30,1.31,0.00,0.00,1.00,"",2,6.5,-93,-2.7,-77,-2.3,-97,-2.9,543723,1.0,0,0.0,0,0.0,45,3.7
"17043","1","49111","77","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",33,3408,3344,3335,60145994,0,0,1376,"",0.33,1.35,1.32,1.30,1.33,0.00,0.00,1.00,"",2,6.5,-81,-2.3,-36,-1.1,-51,-1.5,-326967,-0.5,0,0.0,0,0.0,15,1.1
"17043","1","491110","78","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",33,3337,3296,3283,54180476,0,0,1261,"",0.33,1.32,1.31,1.30,1.31,0.00,0.00,1.00,"",2,6.5,-93,-2.7,-77,-2.3,-97,-2.9,543723,1.0,0,0.0,0,0.0,45,3.7
"17043","1","491110","78","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",33,3408,3344,3335,60145994,0,0,1376,"",0.33,1.35,1.32,1.30,1.33,0.00,0.00,1.00,"",2,6.5,-81,-2.3,-36,-1.1,-51,-1.5,-326967,-0.5,0,0.0,0,0.0,15,1.1
"17043","1","52","74","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,82,80,80,2457110,0,0,2343,"",0.75,1.62,1.60,1.59,1.54,0.00,0.00,0.96,"",0,0.0,7,9.3,5,6.7,5,6.7,-298838,-10.8,0,0.0,0,0.0,-484,-17.1
"17043","1","52","74","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,81,78,81,2528610,0,0,2431,"",0.76,1.61,1.55,1.58,1.61,0.00,0.00,1.02,"",0,0.0,7,9.5,3,4.0,5,6.6,214388,9.3,0,0.0,0,0.0,57,2.4
"17043","1","522","75","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,138033,0,0,2654,"",0.45,0.17,0.17,0.17,0.24,0.00,0.00,1.38,"",0,0.0,0,0.0,0,0.0,0,0.0,-7766,-5.3,0,0.0,0,0.0,-150,-5.3
"17043","1","522","75","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,149931,0,0,2883,"",0.46,0.17,0.17,0.17,0.26,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,2487,1.7,0,0.0,0,0.0,48,1.7
"17043","1","5222","76","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,138033,0,0,2654,"",0.45,0.17,0.17,0.17,0.24,0.00,0.00,1.38,"",0,0.0,0,0.0,0,0.0,0,0.0,-7766,-5.3,0,0.0,0,0.0,-150,-5.3
"17043","1","5222","76","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,149931,0,0,2883,"",0.46,0.17,0.17,0.17,0.26,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,2487,1.7,0,0.0,0,0.0,48,1.7
"17043","1","52229","77","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,138033,0,0,2654,"",0.45,0.17,0.17,0.17,0.24,0.00,0.00,1.38,"",0,0.0,0,0.0,0,0.0,0,0.0,-7766,-5.3,0,0.0,0,0.0,-150,-5.3
"17043","1","52229","77","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,149931,0,0,2883,"",0.46,0.17,0.17,0.17,0.26,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,2487,1.7,0,0.0,0,0.0,48,1.7
"17043","1","522298","78","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,138033,0,0,2654,"",0.97,0.44,0.44,0.44,0.48,0.00,0.00,1.08,"",0,0.0,0,0.0,0,0.0,0,0.0,-7766,-5.3,0,0.0,0,0.0,-150,-5.3
"17043","1","522298","78","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,149931,0,0,2883,"",0.99,0.44,0.43,0.43,0.51,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,2487,1.7,0,0.0,0,0.0,48,1.7
"17043","1","524","75","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,78,76,76,2319077,0,0,2327,"",2.25,2.92,2.89,2.87,2.31,0.00,0.00,0.80,"",0,0.0,7,9.9,5,7.0,5,7.0,-291072,-11.2,0,0.0,0,0.0,-501,-17.7
"17043","1","524","75","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,77,74,77,2378679,0,0,2408,"",2.25,2.91,2.80,2.85,2.42,0.00,0.00,0.85,"",0,0.0,7,10.0,3,4.2,5,6.9,211901,9.8,0,0.0,0,0.0,60,2.6
"17043","1","5241","76","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 5241 Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,78,76,76,2319077,0,0,2327,"",2.83,3.06,3.03,3.01,2.38,0.00,0.00,0.79,"",0,0.0,7,9.9,5,7.0,5,7.0,-291072,-11.2,0,0.0,0,0.0,-501,-17.7
"17043","1","5241","76","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 5241 Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,77,74,77,2378679,0,0,2408,"",2.84,3.05,2.94,2.98,2.49,0.00,0.00,0.83,"",0,0.0,7,10.0,3,4.2,5,6.9,211901,9.8,0,0.0,0,0.0,60,2.6
"17043","1","52412","77","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 52412 Direct insurers, except life and health","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,78,76,76,2319077,0,0,2327,"",2.83,3.06,3.03,3.01,2.38,0.00,0.00,0.79,"",0,0.0,7,9.9,5,7.0,5,7.0,-291072,-11.2,0,0.0,0,0.0,-501,-17.7
"17043","1","52412","77","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 52412 Direct insurers, except life and health","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,77,74,77,2378679,0,0,2408,"",2.84,3.05,2.94,2.98,2.49,0.00,0.00,0.83,"",0,0.0,7,10.0,3,4.2,5,6.9,211901,9.8,0,0.0,0,0.0,60,2.6
"17043","1","524128","78","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 524128 Other direct insurance carriers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,78,76,76,2319077,0,0,2327,"",2.92,3.08,3.05,3.02,2.39,0.00,0.00,0.78,"",0,0.0,7,9.9,5,7.0,5,7.0,-291072,-11.2,0,0.0,0,0.0,-501,-17.7
"17043","1","524128","78","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 524128 Other direct insurance carriers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,77,74,77,2378679,0,0,2408,"",2.92,3.07,2.95,3.00,2.50,0.00,0.00,0.83,"",0,0.0,7,10.0,3,4.2,5,6.9,211901,9.8,0,0.0,0,0.0,60,2.6
"17043","1","92","74","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",30,1176,1180,1181,31385442,0,0,2048,"",0.37,0.19,0.19,0.19,0.20,0.00,0.00,1.05,"",1,3.4,-7,-0.6,8,0.7,14,1.2,-2379908,-7.0,0,0.0,0,0.0,-164,-7.4
"17043","1","92","74","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",30,1190,1204,1213,30791751,0,0,1970,"",0.37,0.19,0.19,0.19,0.19,0.00,0.00,1.00,"",2,7.1,24,2.1,59,5.2,62,5.4,2059221,7.2,0,0.0,0,0.0,55,2.9
"17043","1","921","75","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,280,283,279,7729107,0,0,2118,"",0.58,0.47,0.46,0.46,0.55,0.00,0.00,1.18,"",-1,-20.0,31,12.4,36,14.6,34,13.9,276369,3.7,0,0.0,0,0.0,-203,-8.7
"17043","1","921","75","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,279,283,285,7481124,0,0,2038,"",0.62,0.45,0.46,0.46,0.53,0.00,0.00,1.15,"",0,0.0,33,13.4,39,16.0,42,17.3,1078315,16.8,0,0.0,0,0.0,22,1.1
"17043","1","9211","76","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,280,283,279,7729107,0,0,2118,"",0.58,0.47,0.46,0.46,0.55,0.00,0.00,1.18,"",-1,-20.0,31,12.4,36,14.6,34,13.9,276369,3.7,0,0.0,0,0.0,-203,-8.7
"17043","1","9211","76","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,279,283,285,7481124,0,0,2038,"",0.62,0.45,0.46,0.46,0.53,0.00,0.00,1.15,"",0,0.0,33,13.4,39,16.0,42,17.3,1078315,16.8,0,0.0,0,0.0,22,1.1
"17043","1","92113","77","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,271,272,269,7520648,0,0,2137,"",0.54,0.71,0.69,0.68,0.83,0.00,0.00,1.20,"",0,0.0,30,12.4,35,14.8,36,15.5,267064,3.7,0,0.0,0,0.0,-217,-9.2
"17043","1","92113","77","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,269,273,275,7231604,0,0,2043,"",0.54,0.67,0.70,0.70,0.82,0.00,0.00,1.19,"",0,0.0,35,15.0,40,17.2,43,18.5,1100385,17.9,0,0.0,0,0.0,19,0.9
"17043","1","921130","78","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,271,272,269,7520648,0,0,2137,"",0.54,0.71,0.69,0.68,0.83,0.00,0.00,1.20,"",0,0.0,30,12.4,35,14.8,36,15.5,267064,3.7,0,0.0,0,0.0,-217,-9.2
"17043","1","921130","78","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,269,273,275,7231604,0,0,2043,"",0.54,0.67,0.70,0.70,0.82,0.00,0.00,1.19,"",0,0.0,35,15.0,40,17.2,43,18.5,1100385,17.9,0,0.0,0,0.0,19,0.9
"17043","1","92119","77","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,9,11,10,208459,0,0,1604,"",0.60,0.06,0.08,0.07,0.06,0.00,0.00,0.86,"",-1,-25.0,1,12.5,1,10.0,-2,-16.7,9305,4.7,0,0.0,0,0.0,72,4.7
"17043","1","92119","77","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,10,10,10,249520,0,0,1919,"",0.66,0.07,0.07,0.07,0.07,0.00,0.00,0.95,"",0,0.0,-2,-16.7,-1,-9.1,-1,-9.1,-22070,-8.1,0,0.0,0,0.0,76,4.1
"17043","1","921190","78","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,9,11,10,208459,0,0,1604,"",0.60,0.06,0.08,0.07,0.06,0.00,0.00,0.86,"",-1,-25.0,1,12.5,1,10.0,-2,-16.7,9305,4.7,0,0.0,0,0.0,72,4.7
"17043","1","921190","78","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,10,10,10,249520,0,0,1919,"",0.66,0.07,0.07,0.07,0.07,0.00,0.00,0.95,"",0,0.0,-2,-16.7,-1,-9.1,-1,-9.1,-22070,-8.1,0,0.0,0,0.0,76,4.1
"17043","1","922","75","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,138,138,137,3548251,0,0,1983,"",0.44,0.13,0.13,0.13,0.12,0.00,0.00,0.93,"",0,0.0,-24,-14.8,-20,-12.7,-22,-13.8,-1272794,-26.4,0,0.0,0,0.0,-340,-14.6
"17043","1","922","75","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,137,137,137,3725216,0,0,2092,"",0.44,0.13,0.13,0.13,0.12,0.00,0.00,0.98,"",0,0.0,-17,-11.0,-15,-9.9,-10,-6.8,-226928,-5.7,0,0.0,0,0.0,79,3.9
"17043","1","9221","76","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,138,138,137,3548251,0,0,1983,"",0.44,0.13,0.13,0.13,0.12,0.00,0.00,0.93,"",0,0.0,-24,-14.8,-20,-12.7,-22,-13.8,-1272794,-26.4,0,0.0,0,0.0,-340,-14.6
"17043","1","9221","76","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,137,137,137,3725216,0,0,2092,"",0.44,0.13,0.13,0.13,0.12,0.00,0.00,0.98,"",0,0.0,-17,-11.0,-15,-9.9,-10,-6.8,-226928,-5.7,0,0.0,0,0.0,79,3.9
"17043","1","92211","77","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 92211 Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,8,8,180190,0,0,1733,"",0.51,0.06,0.06,0.06,0.05,0.00,0.00,0.91,"",0,0.0,-1,-11.1,-1,-11.1,-1,-11.1,-19603,-9.8,0,0.0,0,0.0,25,1.5
"17043","1","92211","77","0","2019","2","","DuPage County, Illinois","Federal Government","NAICS 92211 Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,8,8,217524,0,0,2092,"",0.51,0.06,0.06,0.06,0.06,0.00,0.00,0.98,"",0,0.0,0,0.0,0,0.0,0,0.0,-2535,-1.2,0,0.0,0,0.0,-24,-1.1
"17043","1","922110","78","0","2019","1","","DuPage County, Illinois","Federal Government","NAICS 922110 Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,8,8,180190,0,0,1733,"",0.51,0.06,0.06,0.06,0.05,0.00,0.00,0.91,"",0,0.0,-1,-11.1,-1,-11.1,-1,-11.1,-19603,-9.8,0,0.0,0,0.0,25,1.5
