"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17071","0","10","70","0","2019","1","","Henderson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",137,1014,987,1031,6937572,5128304,94473,528,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.2,52,5.4,8,0.8,-24,-2.3,100180,1.5,95550,1.9,-24307,-20.5,1,0.2
"17071","0","10","70","0","2019","2","","Henderson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",136,1087,1092,1132,7751687,3229311,66007,540,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-1,-0.1,-6,-0.5,33,3.0,184304,2.4,186976,6.1,-14238,-17.7,8,1.5
"17071","1","10","71","0","2019","1","","Henderson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,31,34,34,428994,0,0,1000,"",13.63,1.60,1.80,1.73,2.51,0.00,0.00,1.47,"",1,10.0,-3,-8.8,2,6.2,2,6.2,40972,10.6,0,0.0,0,0.0,86,9.4
"17071","1","10","71","0","2019","2","","Henderson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,34,35,34,428775,0,0,961,"",13.86,1.65,1.69,1.58,1.96,0.00,0.00,1.19,"",1,10.0,3,9.7,3,9.4,2,6.2,7939,1.9,0,0.0,0,0.0,-61,-6.0
"17071","1","102","72","0","2019","1","","Henderson County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,31,34,34,428994,0,0,1000,"",13.66,1.63,1.83,1.76,2.55,0.00,0.00,1.47,"",1,10.0,-3,-8.8,2,6.2,2,6.2,40972,10.6,0,0.0,0,0.0,86,9.4
"17071","1","102","72","0","2019","2","","Henderson County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,34,35,34,428775,0,0,961,"",13.89,1.68,1.73,1.61,1.99,0.00,0.00,1.19,"",1,10.0,3,9.7,3,9.4,2,6.2,7939,1.9,0,0.0,0,0.0,-61,-6.0
"17071","1","1021","73","0","2019","1","","Henderson County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,13,17,18,141258,0,0,679,"",17.22,2.77,3.73,3.79,4.62,0.00,0.00,1.35,"",0,0.0,-2,-13.3,1,6.2,2,12.5,-4236,-2.9,0,0.0,0,0.0,-35,-4.9
"17071","1","1021","73","0","2019","2","","Henderson County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,15,18,17,174716,0,0,806,"",17.49,3.02,3.62,3.32,4.32,0.00,0.00,1.30,"",0,0.0,0,0.0,2,12.5,2,13.3,-12958,-6.9,0,0.0,0,0.0,-136,-14.4
"17071","1","1024","73","0","2019","1","","Henderson County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,13,12,12,236767,0,0,1477,"",50.80,28.06,26.75,25.66,51.07,0.00,0.00,1.91,"",0,0.0,0,0.0,-1,-7.7,-1,-7.7,36144,18.0,0,0.0,0,0.0,290,24.4
"17071","1","1024","73","0","2019","2","","Henderson County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,12,13,13,207194,0,0,1258,"",51.53,24.63,26.33,25.23,37.78,0.00,0.00,1.49,"",0,0.0,-1,-7.7,0,0.0,0,0.0,11295,5.8,0,0.0,0,0.0,99,8.5
"17071","1","1028","73","0","2019","1","","Henderson County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,4,50969,0,0,840,"",9.22,0.48,0.49,0.38,0.49,0.00,0.00,1.10,"",1,50.0,-1,-16.7,2,66.7,1,33.3,9064,21.6,0,0.0,0,0.0,34,4.2
"17071","1","1028","73","0","2019","2","","Henderson County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,4,4,46865,0,0,721,"",9.38,0.63,0.36,0.34,0.36,0.00,0.00,0.81,"",1,50.0,4,133.3,1,33.3,0,0.0,9602,25.8,0,0.0,0,0.0,-139,-16.2
"17071","1","48-49","74","0","2019","1","","Henderson County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,13,17,18,141258,0,0,679,"",17.70,3.02,4.07,4.13,4.96,0.00,0.00,1.33,"",0,0.0,-2,-13.3,1,6.2,2,12.5,-4236,-2.9,0,0.0,0,0.0,-35,-4.9
"17071","1","48-49","74","0","2019","2","","Henderson County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,15,18,17,174716,0,0,806,"",17.98,3.30,3.95,3.61,4.63,0.00,0.00,1.28,"",0,0.0,0,0.0,2,12.5,2,13.3,-12958,-6.9,0,0.0,0,0.0,-136,-14.4
"17071","1","491","75","0","2019","1","","Henderson County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,13,17,18,141258,0,0,679,"",17.81,3.09,4.16,4.22,5.21,0.00,0.00,1.36,"",0,0.0,-2,-13.3,1,6.2,2,12.5,-4236,-2.9,0,0.0,0,0.0,-35,-4.9
"17071","1","491","75","0","2019","2","","Henderson County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,15,18,17,174716,0,0,806,"",18.09,3.37,4.03,3.69,4.82,0.00,0.00,1.30,"",0,0.0,0,0.0,2,12.5,2,13.3,-12958,-6.9,0,0.0,0,0.0,-136,-14.4
"17071","1","4911","76","0","2019","1","","Henderson County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,13,17,18,141258,0,0,679,"",17.81,3.09,4.16,4.22,5.21,0.00,0.00,1.36,"",0,0.0,-2,-13.3,1,6.2,2,12.5,-4236,-2.9,0,0.0,0,0.0,-35,-4.9
"17071","1","4911","76","0","2019","2","","Henderson County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,15,18,17,174716,0,0,806,"",18.09,3.37,4.03,3.69,4.82,0.00,0.00,1.30,"",0,0.0,0,0.0,2,12.5,2,13.3,-12958,-6.9,0,0.0,0,0.0,-136,-14.4
"17071","1","49111","77","0","2019","1","","Henderson County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,13,17,18,141258,0,0,679,"",17.81,3.09,4.16,4.22,5.21,0.00,0.00,1.36,"",0,0.0,-2,-13.3,1,6.2,2,12.5,-4236,-2.9,0,0.0,0,0.0,-35,-4.9
