"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17073","0","10","70","0","2019","1","","Henry County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1007,13847,13691,13926,133168418,65540222,1551798,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.5,531,4.0,401,3.0,350,2.6,6536165,5.2,-662571,-1.0,-290858,-15.8,14,1.9
"17073","0","10","70","0","2019","2","","Henry County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1007,13652,14033,13962,128816688,30888460,699442,714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-1.3,-36,-0.3,124,0.9,-64,-0.5,-703241,-0.5,-1333866,-4.1,-188630,-21.2,-4,-0.6
"17073","1","10","71","0","2019","1","","Henry County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,111,115,113,1370912,0,0,933,"",3.20,0.42,0.44,0.43,0.42,0.00,0.00,0.98,"",1,5.6,-8,-6.7,5,4.5,-2,-1.7,42820,3.2,0,0.0,0,0.0,42,4.7
"17073","1","10","71","0","2019","2","","Henry County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,118,112,120,1536502,0,0,1013,"",3.23,0.46,0.42,0.45,0.42,0.00,0.00,0.95,"",1,5.6,5,4.4,-1,-0.9,9,8.1,60417,4.1,0,0.0,0,0.0,2,0.2
"17073","1","102","72","0","2019","1","","Henry County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,111,115,113,1370912,0,0,933,"",3.21,0.43,0.45,0.43,0.42,0.00,0.00,0.98,"",1,5.6,-8,-6.7,5,4.5,-2,-1.7,42820,3.2,0,0.0,0,0.0,42,4.7
"17073","1","102","72","0","2019","2","","Henry County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,118,112,120,1536502,0,0,1013,"",3.24,0.46,0.43,0.46,0.43,0.00,0.00,0.95,"",1,5.6,5,4.4,-1,-0.9,9,8.1,60417,4.1,0,0.0,0,0.0,2,0.2
"17073","1","1021","73","0","2019","1","","Henry County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,94,98,93,1136382,0,0,920,"",4.68,1.47,1.55,1.45,1.94,0.00,0.00,1.30,"",0,0.0,-5,-5.1,4,4.3,-2,-2.1,53154,4.9,0,0.0,0,0.0,52,6.0
"17073","1","1021","73","0","2019","2","","Henry County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,99,96,101,1305026,0,0,1017,"",4.72,1.59,1.50,1.60,1.94,0.00,0.00,1.24,"",0,0.0,5,5.3,-1,-1.0,8,8.6,59158,4.7,0,0.0,0,0.0,5,0.5
"17073","1","1028","73","0","2019","1","","Henry County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,17,17,20,234530,0,0,1002,"",2.09,0.12,0.12,0.14,0.12,0.00,0.00,0.93,"",1,25.0,-3,-15.0,1,6.2,0,0.0,-10334,-4.2,0,0.0,0,0.0,-7,-0.7
"17073","1","1028","73","0","2019","2","","Henry County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,19,16,19,231476,0,0,989,"",2.11,0.14,0.11,0.13,0.11,0.00,0.00,0.84,"",1,25.0,0,0.0,0,0.0,1,5.6,1259,0.5,0,0.0,0,0.0,-13,-1.3
