"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17075","0","10","70","0","2019","1","","Iroquois County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",722,7543,7516,7640,62690826,39564799,753439,637,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-22,-3.0,146,2.0,1,0.0,-16,-0.2,1716183,2.8,1207241,3.1,-105354,-12.3,14,2.2
"17075","0","10","70","0","2019","2","","Iroquois County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",720,7803,7872,8175,68119015,20765036,464877,659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-20,-2.7,43,0.6,100,1.3,245,3.1,1405894,2.1,345325,1.7,-63514,-12.0,3,0.5
"17075","1","10","71","0","2019","1","","Iroquois County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,94,91,98,978639,0,0,798,"",5.88,0.65,0.63,0.67,0.63,0.00,0.00,0.97,"",1,4.2,7,8.0,5,5.8,16,19.5,511,0.1,0,0.0,0,0.0,-87,-9.8
"17075","1","10","71","0","2019","2","","Iroquois County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,89,92,96,1120521,0,0,934,"",6.19,0.60,0.62,0.62,0.58,0.00,0.00,0.95,"",2,8.3,4,4.7,8,9.5,2,2.1,-21416,-1.9,0,0.0,0,0.0,-68,-6.8
"17075","1","102","72","0","2019","1","","Iroquois County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,94,91,98,978639,0,0,798,"",5.89,0.66,0.64,0.69,0.64,0.00,0.00,0.97,"",1,4.2,7,8.0,5,5.8,16,19.5,511,0.1,0,0.0,0,0.0,-87,-9.8
"17075","1","102","72","0","2019","2","","Iroquois County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,89,92,96,1120521,0,0,934,"",6.20,0.61,0.63,0.63,0.59,0.00,0.00,0.95,"",2,8.3,4,4.7,8,9.5,2,2.1,-21416,-1.9,0,0.0,0,0.0,-68,-6.8
"17075","1","1021","73","0","2019","1","","Iroquois County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,82,79,83,837676,0,0,792,"",10.27,2.35,2.28,2.36,3.03,0.00,0.00,1.30,"",0,0.0,7,9.3,9,12.9,13,18.6,23720,2.9,0,0.0,0,0.0,-82,-9.4
"17075","1","1021","73","0","2019","2","","Iroquois County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,76,81,82,979585,0,0,946,"",10.86,2.13,2.26,2.21,2.76,0.00,0.00,1.25,"",1,4.5,3,4.1,9,12.5,0,0.0,-17541,-1.8,0,0.0,0,0.0,-68,-6.7
"17075","1","1028","73","0","2019","1","","Iroquois County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,15,140963,0,0,834,"",1.75,0.15,0.15,0.19,0.15,0.00,0.00,0.90,"",1,50.0,0,0.0,-4,-25.0,3,25.0,-23209,-14.1,0,0.0,0,0.0,-113,-11.9
"17075","1","1028","73","0","2019","2","","Iroquois County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,11,14,140936,0,0,856,"",1.77,0.16,0.14,0.17,0.12,0.00,0.00,0.79,"",1,50.0,1,8.3,-1,-8.3,2,16.7,-3875,-2.7,0,0.0,0,0.0,-72,-7.8
"17075","1","48-49","74","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,82,79,83,837676,0,0,792,"",10.55,2.56,2.48,2.57,3.25,0.00,0.00,1.28,"",0,0.0,7,9.3,9,12.9,13,18.6,23720,2.9,0,0.0,0,0.0,-82,-9.4
"17075","1","48-49","74","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,76,81,82,979585,0,0,946,"",11.16,2.33,2.46,2.41,2.96,0.00,0.00,1.23,"",1,4.5,3,4.1,9,12.5,0,0.0,-17541,-1.8,0,0.0,0,0.0,-68,-6.7
"17075","1","491","75","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,82,79,83,837676,0,0,792,"",10.62,2.62,2.54,2.63,3.42,0.00,0.00,1.32,"",0,0.0,7,9.3,9,12.9,13,18.6,23720,2.9,0,0.0,0,0.0,-82,-9.4
"17075","1","491","75","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,76,81,82,979585,0,0,946,"",11.23,2.38,2.52,2.47,3.07,0.00,0.00,1.25,"",1,4.5,3,4.1,9,12.5,0,0.0,-17541,-1.8,0,0.0,0,0.0,-68,-6.7
"17075","1","4911","76","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,82,79,83,837676,0,0,792,"",10.62,2.62,2.54,2.63,3.42,0.00,0.00,1.32,"",0,0.0,7,9.3,9,12.9,13,18.6,23720,2.9,0,0.0,0,0.0,-82,-9.4
"17075","1","4911","76","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,76,81,82,979585,0,0,946,"",11.23,2.38,2.52,2.47,3.07,0.00,0.00,1.25,"",1,4.5,3,4.1,9,12.5,0,0.0,-17541,-1.8,0,0.0,0,0.0,-68,-6.7
"17075","1","49111","77","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",22,82,79,83,837676,0,0,792,"",10.62,2.62,2.54,2.63,3.42,0.00,0.00,1.32,"",0,0.0,7,9.3,9,12.9,13,18.6,23720,2.9,0,0.0,0,0.0,-82,-9.4
"17075","1","49111","77","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",23,76,81,82,979585,0,0,946,"",11.23,2.38,2.52,2.47,3.07,0.00,0.00,1.25,"",1,4.5,3,4.1,9,12.5,0,0.0,-17541,-1.8,0,0.0,0,0.0,-68,-6.7
"17075","1","491110","78","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",22,82,79,83,837676,0,0,792,"",10.62,2.62,2.54,2.63,3.42,0.00,0.00,1.32,"",0,0.0,7,9.3,9,12.9,13,18.6,23720,2.9,0,0.0,0,0.0,-82,-9.4
"17075","1","491110","78","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",23,76,81,82,979585,0,0,946,"",11.23,2.38,2.52,2.47,3.07,0.00,0.00,1.25,"",1,4.5,3,4.1,9,12.5,0,0.0,-17541,-1.8,0,0.0,0,0.0,-68,-6.7
"17075","1","92","74","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,12,15,140963,0,0,834,"",1.75,0.15,0.15,0.19,0.15,0.00,0.00,0.90,"",1,50.0,0,0.0,-4,-25.0,3,25.0,-23209,-14.1,0,0.0,0,0.0,-113,-11.9
"17075","1","92","74","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,11,14,140936,0,0,856,"",1.77,0.16,0.14,0.17,0.12,0.00,0.00,0.79,"",1,50.0,1,8.3,-1,-8.3,2,16.7,-3875,-2.7,0,0.0,0,0.0,-72,-7.8
"17075","1","924","75","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,39168,0,0,1004,"",2.63,0.68,0.66,0.66,0.76,0.00,0.00,1.14,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,-14776,-27.4,0,0.0,0,0.0,-33,-3.2
"17075","1","924","75","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,40746,0,0,1045,"",2.67,0.63,0.59,0.55,0.70,0.00,0.00,1.19,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-5968,-12.8,0,0.0,0,0.0,65,6.6
"17075","1","9241","76","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,39168,0,0,1004,"",2.63,0.68,0.66,0.66,0.76,0.00,0.00,1.14,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,-14776,-27.4,0,0.0,0,0.0,-33,-3.2
"17075","1","9241","76","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,40746,0,0,1045,"",2.67,0.63,0.59,0.55,0.70,0.00,0.00,1.19,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-5968,-12.8,0,0.0,0,0.0,65,6.6
"17075","1","92412","77","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,39168,0,0,1004,"",2.77,0.83,0.81,0.81,1.03,0.00,0.00,1.27,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,-14776,-27.4,0,0.0,0,0.0,-33,-3.2
"17075","1","92412","77","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,40746,0,0,1045,"",2.81,0.77,0.71,0.65,0.92,0.00,0.00,1.31,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-5968,-12.8,0,0.0,0,0.0,65,6.6
"17075","1","924120","78","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,39168,0,0,1004,"",2.77,0.83,0.81,0.81,1.03,0.00,0.00,1.27,"",0,0.0,-1,-25.0,-1,-25.0,-1,-25.0,-14776,-27.4,0,0.0,0,0.0,-33,-3.2
"17075","1","924120","78","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,40746,0,0,1045,"",2.81,0.77,0.71,0.65,0.92,0.00,0.00,1.31,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-5968,-12.8,0,0.0,0,0.0,65,6.6
"17075","1","926","75","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,9,12,101795,0,0,783,"",3.38,0.74,0.74,0.98,0.66,0.00,0.00,0.81,"",1,100.0,1,12.5,-3,-25.0,4,50.0,-8433,-7.7,0,0.0,0,0.0,-125,-13.8
"17075","1","926","75","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,8,11,100190,0,0,797,"",3.37,0.79,0.64,0.84,0.59,0.00,0.00,0.78,"",1,100.0,2,25.0,0,0.0,2,22.2,2093,2.1,0,0.0,0,0.0,-109,-12.0
"17075","1","9261","76","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,9,12,101795,0,0,783,"",3.38,0.74,0.74,0.98,0.66,0.00,0.00,0.81,"",1,100.0,1,12.5,-3,-25.0,4,50.0,-8433,-7.7,0,0.0,0,0.0,-125,-13.8
"17075","1","9261","76","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,8,11,100190,0,0,797,"",3.37,0.79,0.64,0.84,0.59,0.00,0.00,0.78,"",1,100.0,2,25.0,0,0.0,2,22.2,2093,2.1,0,0.0,0,0.0,-109,-12.0
"17075","1","92611","77","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17075","1","92611","77","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17075","1","926110","78","0","2019","1","","Iroquois County, Illinois","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17075","1","926110","78","0","2019","2","","Iroquois County, Illinois","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
