"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17091","0","10","70","0","2019","1","","Kankakee County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2249,44200,43951,44689,483168291,247063502,5309422,839,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-0.5,1020,2.4,823,1.9,953,2.2,27690457,6.1,12196593,5.2,-676860,-11.3,31,3.8
"17091","0","10","70","0","2019","2","","Kankakee County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2263,44919,45540,45797,492978559,104881172,2255442,835,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,0.3,279,0.6,617,1.4,490,1.1,29548629,6.4,2710746,2.7,-312881,-12.2,42,5.3
"17091","1","10","71","0","2019","1","","Kankakee County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,249,257,255,3629170,0,0,1101,"",1.74,0.29,0.31,0.30,0.30,0.00,0.00,1.02,"",0,0.0,24,10.7,27,11.7,4,1.6,315011,9.5,0,0.0,0,0.0,18,1.7
"17091","1","10","71","0","2019","2","","Kankakee County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,260,248,251,4024742,0,0,1224,"",1.82,0.30,0.29,0.29,0.29,0.00,0.00,0.98,"",0,0.0,4,1.6,-14,-5.3,1,0.4,52967,1.3,0,0.0,0,0.0,31,2.6
"17091","1","102","72","0","2019","1","","Kankakee County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,249,257,255,3629170,0,0,1101,"",1.74,0.30,0.31,0.30,0.31,0.00,0.00,1.02,"",0,0.0,24,10.7,27,11.7,4,1.6,315011,9.5,0,0.0,0,0.0,18,1.7
"17091","1","102","72","0","2019","2","","Kankakee County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,260,248,251,4024742,0,0,1224,"",1.82,0.31,0.29,0.29,0.29,0.00,0.00,0.98,"",0,0.0,4,1.6,-14,-5.3,1,0.4,52967,1.3,0,0.0,0,0.0,31,2.6
"17091","1","1021","73","0","2019","1","","Kankakee County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,177,178,174,2223883,0,0,970,"",2.40,0.87,0.88,0.85,1.04,0.00,0.00,1.21,"",1,6.7,8,4.7,5,2.9,2,1.2,36161,1.7,0,0.0,0,0.0,-12,-1.2
"17091","1","1021","73","0","2019","2","","Kankakee County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,180,170,169,2518462,0,0,1120,"",2.40,0.88,0.82,0.81,0.98,0.00,0.00,1.17,"",0,0.0,7,4.0,-12,-6.6,-10,-5.6,-71627,-2.8,0,0.0,0,0.0,1,0.1
"17091","1","1025","73","0","2019","1","","Kankakee County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,24,25,462822,0,0,1463,"",3.32,0.19,0.19,0.19,0.26,0.00,0.00,1.38,"",0,0.0,5,26.3,5,26.3,6,31.6,89159,23.9,0,0.0,0,0.0,-50,-3.3
"17091","1","1025","73","0","2019","2","","Kankakee County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,25,26,24,591510,0,0,1820,"",3.33,0.20,0.20,0.19,0.27,0.00,0.00,1.41,"",0,0.0,5,25.0,6,30.0,4,20.0,168665,39.9,0,0.0,0,0.0,194,11.9
"17091","1","1028","73","0","2019","1","","Kankakee County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,48,55,56,942465,0,0,1368,"",1.12,0.10,0.12,0.12,0.13,0.00,0.00,1.12,"",0,0.0,13,37.1,17,44.7,-4,-6.7,235476,33.3,0,0.0,0,0.0,141,11.5
"17091","1","1028","73","0","2019","2","","Kankakee County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,55,52,58,914770,0,0,1279,"",1.31,0.12,0.11,0.12,0.11,0.00,0.00,0.93,"",1,16.7,-7,-11.3,-8,-13.3,7,13.7,-43864,-4.6,0,0.0,0,0.0,0,0.0
"17091","1","48-49","74","0","2019","1","","Kankakee County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,177,178,174,2223883,0,0,970,"",2.46,0.94,0.96,0.92,1.12,0.00,0.00,1.19,"",1,6.7,8,4.7,5,2.9,2,1.2,36161,1.7,0,0.0,0,0.0,-12,-1.2
