"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17103","0","10","70","0","2019","1","","Lee County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",693,12911,12727,12731,148753648,71280775,1470507,895,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.9,-178,-1.4,-250,-1.9,-353,-2.7,-2168989,-1.4,-3228943,-4.3,-374119,-20.3,5,0.6
"17103","0","10","70","0","2019","2","","Lee County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",696,12887,12904,12845,144088568,26090707,514836,861,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.3,-383,-2.9,-249,-1.9,-354,-2.7,-383731,-0.3,-1317439,-4.8,-147192,-22.2,20,2.4
"17103","1","10","71","0","2019","1","","Lee County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,79,84,84,941506,0,0,880,"",3.43,0.32,0.34,0.35,0.26,0.00,0.00,0.76,"",0,0.0,-5,-6.0,4,5.0,4,5.0,45830,5.1,0,0.0,0,0.0,33,3.9
"17103","1","10","71","0","2019","2","","Lee County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,78,87,84,1028538,0,0,953,"",3.45,0.32,0.36,0.34,0.25,0.00,0.00,0.74,"",0,0.0,-2,-2.5,10,13.0,5,6.3,21318,2.1,0,0.0,0,0.0,-32,-3.2
"17103","1","102","72","0","2019","1","","Lee County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,79,84,84,941506,0,0,880,"",3.44,0.33,0.35,0.35,0.26,0.00,0.00,0.76,"",0,0.0,-5,-6.0,4,5.0,4,5.0,45830,5.1,0,0.0,0,0.0,33,3.9
"17103","1","102","72","0","2019","2","","Lee County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,78,87,84,1028538,0,0,953,"",3.45,0.32,0.36,0.35,0.26,0.00,0.00,0.74,"",0,0.0,-2,-2.5,10,13.0,5,6.3,21318,2.1,0,0.0,0,0.0,-32,-3.2
"17103","1","1021","73","0","2019","1","","Lee County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,72,74,74,845047,0,0,886,"",5.35,1.21,1.26,1.26,1.29,0.00,0.00,1.04,"",-1,-8.3,-1,-1.4,1,1.4,1,1.4,58417,7.4,0,0.0,0,0.0,57,6.9
"17103","1","1021","73","0","2019","2","","Lee County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,70,77,78,943617,0,0,968,"",5.37,1.19,1.31,1.34,1.26,0.00,0.00,0.98,"",-1,-8.3,-3,-4.1,7,10.0,10,14.7,30100,3.3,0,0.0,0,0.0,-31,-3.1
"17103","1","1028","73","0","2019","1","","Lee County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,10,10,96459,0,0,824,"",1.82,0.05,0.08,0.08,0.04,0.00,0.00,0.63,"",1,50.0,-4,-36.4,3,42.9,3,42.9,-12587,-11.5,0,0.0,0,0.0,-183,-18.2
"17103","1","1028","73","0","2019","2","","Lee County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,10,6,84921,0,0,817,"",1.83,0.06,0.08,0.05,0.03,0.00,0.00,0.58,"",1,50.0,1,14.3,3,42.9,-5,-45.5,-8782,-9.4,0,0.0,0,0.0,-48,-5.5
