"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17105","0","10","70","0","2019","1","","Livingston County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",874,13504,13512,13676,157308759,73314216,1538270,892,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,0.8,349,2.7,359,2.7,440,3.3,4908950,3.2,2245414,3.2,-165578,-9.7,3,0.3
"17105","0","10","70","0","2019","2","","Livingston County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",874,13856,13985,14038,153282918,28038546,606271,845,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.3,402,3.0,356,2.6,290,2.1,7106040,4.9,1063878,3.9,-17470,-2.8,19,2.3
"17105","1","10","71","0","2019","1","","Livingston County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,84,87,90,1087632,0,0,962,"",3.88,0.32,0.34,0.35,0.28,0.00,0.00,0.84,"",-1,-4.8,-14,-14.3,-8,-8.4,-4,-4.3,-44257,-3.9,0,0.0,0,0.0,52,5.7
"17105","1","10","71","0","2019","2","","Livingston County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,88,82,82,1175075,0,0,1076,"",3.92,0.33,0.31,0.31,0.27,0.00,0.00,0.85,"",-1,-4.8,-7,-7.4,-10,-10.9,-12,-12.8,-73655,-5.9,0,0.0,0,0.0,50,4.9
"17105","1","102","72","0","2019","1","","Livingston County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,84,87,90,1087632,0,0,962,"",3.89,0.33,0.34,0.35,0.29,0.00,0.00,0.84,"",-1,-4.8,-14,-14.3,-8,-8.4,-4,-4.3,-44257,-3.9,0,0.0,0,0.0,52,5.7
"17105","1","102","72","0","2019","2","","Livingston County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,88,82,82,1175075,0,0,1076,"",3.93,0.34,0.32,0.31,0.28,0.00,0.00,0.85,"",-1,-4.8,-7,-7.4,-10,-10.9,-12,-12.8,-73655,-5.9,0,0.0,0,0.0,50,4.9
"17105","1","1021","73","0","2019","1","","Livingston County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,71,74,74,898568,0,0,947,"",5.40,1.14,1.19,1.18,1.30,0.00,0.00,1.11,"",-2,-12.5,-6,-7.8,-2,-2.6,-4,-5.1,39797,4.6,0,0.0,0,0.0,89,10.4
"17105","1","1021","73","0","2019","2","","Livingston County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,72,70,68,989723,0,0,1088,"",5.44,1.14,1.10,1.07,1.24,0.00,0.00,1.12,"",-2,-12.5,-4,-5.3,-6,-7.9,-7,-9.3,-36534,-3.6,0,0.0,0,0.0,45,4.3
"17105","1","1023","73","0","2019","1","","Livingston County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,32299,0,0,1242,"",14.71,1.78,1.79,1.78,1.37,0.00,0.00,0.77,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17906,-35.7,0,0.0,0,0.0,-45,-3.5
"17105","1","1023","73","0","2019","2","","Livingston County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,33398,0,0,1285,"",14.98,1.76,1.77,1.75,1.34,0.00,0.00,0.76,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-4531,-11.9,0,0.0,0,0.0,35,2.8
"17105","1","1028","73","0","2019","1","","Livingston County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,11,11,14,156765,0,0,1005,"",2.41,0.08,0.08,0.10,0.07,0.00,0.00,0.78,"",1,25.0,-7,-38.9,-5,-31.2,1,7.7,-66148,-29.7,0,0.0,0,0.0,-89,-8.1
"17105","1","1028","73","0","2019","2","","Livingston County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,14,10,12,151954,0,0,974,"",2.43,0.10,0.07,0.08,0.06,0.00,0.00,0.70,"",1,25.0,-2,-12.5,-4,-28.6,-5,-29.4,-32590,-17.7,0,0.0,0,0.0,68,7.5
"17105","1","48-49","74","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,71,74,74,898568,0,0,947,"",5.55,1.24,1.29,1.28,1.39,0.00,0.00,1.09,"",-2,-12.5,-6,-7.8,-2,-2.6,-4,-5.1,39797,4.6,0,0.0,0,0.0,89,10.4
"17105","1","48-49","74","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,72,70,68,989723,0,0,1088,"",5.60,1.24,1.20,1.17,1.33,0.00,0.00,1.10,"",-2,-12.5,-4,-5.3,-6,-7.9,-7,-9.3,-36534,-3.6,0,0.0,0,0.0,45,4.3
"17105","1","491","75","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,71,74,74,898568,0,0,947,"",5.58,1.27,1.32,1.31,1.46,0.00,0.00,1.12,"",-2,-12.5,-6,-7.8,-2,-2.6,-4,-5.1,39797,4.6,0,0.0,0,0.0,89,10.4
"17105","1","491","75","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,72,70,68,989723,0,0,1088,"",5.63,1.27,1.23,1.19,1.38,0.00,0.00,1.12,"",-2,-12.5,-4,-5.3,-6,-7.9,-7,-9.3,-36534,-3.6,0,0.0,0,0.0,45,4.3
"17105","1","4911","76","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,71,74,74,898568,0,0,947,"",5.58,1.27,1.32,1.31,1.46,0.00,0.00,1.12,"",-2,-12.5,-6,-7.8,-2,-2.6,-4,-5.1,39797,4.6,0,0.0,0,0.0,89,10.4
"17105","1","4911","76","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,72,70,68,989723,0,0,1088,"",5.63,1.27,1.23,1.19,1.38,0.00,0.00,1.12,"",-2,-12.5,-4,-5.3,-6,-7.9,-7,-9.3,-36534,-3.6,0,0.0,0,0.0,45,4.3
"17105","1","49111","77","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,71,74,74,898568,0,0,947,"",5.58,1.27,1.32,1.31,1.46,0.00,0.00,1.12,"",-2,-12.5,-6,-7.8,-2,-2.6,-4,-5.1,39797,4.6,0,0.0,0,0.0,89,10.4
"17105","1","49111","77","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,72,70,68,989723,0,0,1088,"",5.63,1.27,1.23,1.19,1.38,0.00,0.00,1.12,"",-2,-12.5,-4,-5.3,-6,-7.9,-7,-9.3,-36534,-3.6,0,0.0,0,0.0,45,4.3
"17105","1","491110","78","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,71,74,74,898568,0,0,947,"",5.58,1.27,1.32,1.31,1.46,0.00,0.00,1.12,"",-2,-12.5,-6,-7.8,-2,-2.6,-4,-5.1,39797,4.6,0,0.0,0,0.0,89,10.4
"17105","1","491110","78","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,72,70,68,989723,0,0,1088,"",5.63,1.27,1.23,1.19,1.38,0.00,0.00,1.12,"",-2,-12.5,-4,-5.3,-6,-7.9,-7,-9.3,-36534,-3.6,0,0.0,0,0.0,45,4.3
"17105","1","52","74","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,32299,0,0,1242,"",14.78,1.78,1.80,1.78,1.37,0.00,0.00,0.77,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17906,-35.7,0,0.0,0,0.0,-45,-3.5
"17105","1","52","74","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,33398,0,0,1285,"",15.06,1.77,1.77,1.75,1.34,0.00,0.00,0.76,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-4531,-11.9,0,0.0,0,0.0,35,2.8
"17105","1","522","75","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,32299,0,0,1242,"",17.90,3.85,3.86,3.84,3.73,0.00,0.00,0.97,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17906,-35.7,0,0.0,0,0.0,-45,-3.5
"17105","1","522","75","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,33398,0,0,1285,"",18.27,3.81,3.81,3.77,3.62,0.00,0.00,0.95,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-4531,-11.9,0,0.0,0,0.0,35,2.8
"17105","1","5222","76","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,32299,0,0,1242,"",17.93,3.85,3.86,3.84,3.73,0.00,0.00,0.97,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17906,-35.7,0,0.0,0,0.0,-45,-3.5
"17105","1","5222","76","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,33398,0,0,1285,"",18.30,3.81,3.81,3.77,3.62,0.00,0.00,0.95,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-4531,-11.9,0,0.0,0,0.0,35,2.8
"17105","1","52229","77","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,32299,0,0,1242,"",17.93,3.85,3.86,3.84,3.73,0.00,0.00,0.97,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17906,-35.7,0,0.0,0,0.0,-45,-3.5
"17105","1","52229","77","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,33398,0,0,1285,"",18.30,3.81,3.81,3.77,3.62,0.00,0.00,0.95,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-4531,-11.9,0,0.0,0,0.0,35,2.8
"17105","1","522292","78","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 522292 Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,32299,0,0,1242,"",40.06,7.99,8.09,8.06,10.05,0.00,0.00,1.25,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-17906,-35.7,0,0.0,0,0.0,-45,-3.5
"17105","1","522292","78","0","2019","2","","Livingston County, Illinois","Federal Government","NAICS 522292 Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,33398,0,0,1285,"",40.73,7.99,8.05,7.93,9.95,0.00,0.00,1.25,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-4531,-11.9,0,0.0,0,0.0,35,2.8
"17105","1","92","74","0","2019","1","","Livingston County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,11,11,14,156765,0,0,1005,"",2.41,0.08,0.08,0.10,0.07,0.00,0.00,0.78,"",1,25.0,-7,-38.9,-5,-31.2,1,7.7,-66148,-29.7,0,0.0,0,0.0,-89,-8.1
