"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17109","0","10","70","0","2019","1","","McDonough County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",604,10632,10654,10681,105556289,47648188,1140814,762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.3,-25,-0.2,-22,-0.2,-38,-0.4,-2842268,-2.6,1929319,4.2,-160286,-12.3,-18,-2.3
"17109","0","10","70","0","2019","2","","McDonough County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",601,10945,10961,10861,110207923,22391912,495305,776,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.5,159,1.5,133,1.2,142,1.3,2693192,2.5,1428495,6.8,-44168,-8.2,9,1.2
"17109","1","10","71","0","2019","1","","McDonough County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,90,93,92,1138418,0,0,955,"",3.65,0.44,0.46,0.45,0.44,0.00,0.00,0.97,"",0,0.0,3,3.4,4,4.5,5,5.7,20875,1.9,0,0.0,0,0.0,-26,-2.7
"17109","1","10","71","0","2019","2","","McDonough County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,97,91,94,1232909,0,0,1009,"",3.71,0.47,0.44,0.46,0.40,0.00,0.00,0.87,"",1,8.3,7,7.8,1,1.1,-1,-1.1,-2154,-0.2,0,0.0,0,0.0,-27,-2.6
"17109","1","102","72","0","2019","1","","McDonough County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,90,93,92,1138418,0,0,955,"",3.66,0.45,0.46,0.46,0.45,0.00,0.00,0.97,"",0,0.0,3,3.4,4,4.5,5,5.7,20875,1.9,0,0.0,0,0.0,-26,-2.7
"17109","1","102","72","0","2019","2","","McDonough County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,97,91,94,1232909,0,0,1009,"",3.71,0.48,0.45,0.47,0.40,0.00,0.00,0.87,"",1,8.3,7,7.8,1,1.1,-1,-1.1,-2154,-0.2,0,0.0,0,0.0,-27,-2.6
"17109","1","1021","73","0","2019","1","","McDonough County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,66,68,68,773555,0,0,884,"",5.02,1.34,1.38,1.38,1.66,0.00,0.00,1.22,"",-1,-10.0,0,0.0,2,3.0,4,6.2,-15876,-2.0,0,0.0,0,0.0,-45,-4.8
"17109","1","1021","73","0","2019","2","","McDonough County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,70,67,67,881084,0,0,997,"",5.09,1.40,1.34,1.36,1.53,0.00,0.00,1.12,"",0,0.0,4,6.1,0,0.0,0,0.0,-30649,-3.4,0,0.0,0,0.0,-55,-5.2
"17109","1","1028","73","0","2019","1","","McDonough County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,24,25,24,364863,0,0,1153,"",2.79,0.22,0.23,0.22,0.23,0.00,0.00,1.04,"",1,33.3,3,14.3,2,8.7,1,4.3,36751,11.2,0,0.0,0,0.0,23,2.0
"17109","1","1028","73","0","2019","2","","McDonough County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,27,24,27,351825,0,0,1041,"",2.83,0.24,0.21,0.24,0.19,0.00,0.00,0.82,"",1,33.3,3,12.5,1,4.3,-1,-3.6,28495,8.8,0,0.0,0,0.0,46,4.6
"17109","1","48-49","74","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,66,68,68,773555,0,0,884,"",5.16,1.46,1.51,1.51,1.79,0.00,0.00,1.20,"",-1,-10.0,0,0.0,2,3.0,4,6.2,-15876,-2.0,0,0.0,0,0.0,-45,-4.8
"17109","1","48-49","74","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,70,67,67,881084,0,0,997,"",5.23,1.53,1.46,1.48,1.64,0.00,0.00,1.10,"",0,0.0,4,6.1,0,0.0,0,0.0,-30649,-3.4,0,0.0,0,0.0,-55,-5.2
"17109","1","491","75","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,66,68,68,773555,0,0,884,"",5.19,1.50,1.54,1.54,1.87,0.00,0.00,1.23,"",-1,-10.0,0,0.0,2,3.0,4,6.2,-15876,-2.0,0,0.0,0,0.0,-45,-4.8
"17109","1","491","75","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,70,67,67,881084,0,0,997,"",5.26,1.56,1.50,1.52,1.71,0.00,0.00,1.12,"",0,0.0,4,6.1,0,0.0,0,0.0,-30649,-3.4,0,0.0,0,0.0,-55,-5.2
"17109","1","4911","76","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,66,68,68,773555,0,0,884,"",5.19,1.50,1.54,1.54,1.87,0.00,0.00,1.23,"",-1,-10.0,0,0.0,2,3.0,4,6.2,-15876,-2.0,0,0.0,0,0.0,-45,-4.8
"17109","1","4911","76","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,70,67,67,881084,0,0,997,"",5.26,1.56,1.50,1.52,1.71,0.00,0.00,1.12,"",0,0.0,4,6.1,0,0.0,0,0.0,-30649,-3.4,0,0.0,0,0.0,-55,-5.2
"17109","1","49111","77","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,66,68,68,773555,0,0,884,"",5.19,1.50,1.54,1.54,1.87,0.00,0.00,1.23,"",-1,-10.0,0,0.0,2,3.0,4,6.2,-15876,-2.0,0,0.0,0,0.0,-45,-4.8
"17109","1","49111","77","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,70,67,67,881084,0,0,997,"",5.26,1.56,1.50,1.52,1.71,0.00,0.00,1.12,"",0,0.0,4,6.1,0,0.0,0,0.0,-30649,-3.4,0,0.0,0,0.0,-55,-5.2
"17109","1","491110","78","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,66,68,68,773555,0,0,884,"",5.19,1.50,1.54,1.54,1.87,0.00,0.00,1.23,"",-1,-10.0,0,0.0,2,3.0,4,6.2,-15876,-2.0,0,0.0,0,0.0,-45,-4.8
"17109","1","491110","78","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,70,67,67,881084,0,0,997,"",5.26,1.56,1.50,1.52,1.71,0.00,0.00,1.12,"",0,0.0,4,6.1,0,0.0,0,0.0,-30649,-3.4,0,0.0,0,0.0,-55,-5.2
"17109","1","92","74","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,24,25,24,364863,0,0,1153,"",2.79,0.22,0.23,0.22,0.23,0.00,0.00,1.04,"",1,33.3,3,14.3,2,8.7,1,4.3,36751,11.2,0,0.0,0,0.0,23,2.0
"17109","1","92","74","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,24,27,351825,0,0,1041,"",2.83,0.24,0.21,0.24,0.19,0.00,0.00,0.82,"",1,33.3,3,12.5,1,4.3,-1,-3.6,28495,8.8,0,0.0,0,0.0,46,4.6
"17109","1","924","75","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,57936,0,0,1486,"",3.14,0.48,0.47,0.47,0.67,0.00,0.00,1.41,"",0,0.0,0,0.0,0,0.0,0,0.0,1296,2.3,0,0.0,0,0.0,34,2.3
"17109","1","924","75","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,3,59437,0,0,1524,"",3.19,0.45,0.42,0.41,0.63,0.00,0.00,1.47,"",0,0.0,0,0.0,0,0.0,0,0.0,10669,21.9,0,0.0,0,0.0,274,21.9
"17109","1","9241","76","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,57936,0,0,1486,"",3.14,0.48,0.47,0.47,0.67,0.00,0.00,1.41,"",0,0.0,0,0.0,0,0.0,0,0.0,1296,2.3,0,0.0,0,0.0,34,2.3
"17109","1","9241","76","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,3,59437,0,0,1524,"",3.19,0.45,0.42,0.41,0.63,0.00,0.00,1.47,"",0,0.0,0,0.0,0,0.0,0,0.0,10669,21.9,0,0.0,0,0.0,274,21.9
"17109","1","92412","77","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,57936,0,0,1486,"",3.31,0.59,0.57,0.58,0.91,0.00,0.00,1.57,"",0,0.0,0,0.0,0,0.0,0,0.0,1296,2.3,0,0.0,0,0.0,34,2.3
"17109","1","92412","77","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,59437,0,0,1524,"",3.36,0.55,0.51,0.49,0.83,0.00,0.00,1.62,"",0,0.0,0,0.0,0,0.0,0,0.0,10669,21.9,0,0.0,0,0.0,274,21.9
"17109","1","924120","78","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,57936,0,0,1486,"",3.31,0.59,0.57,0.58,0.91,0.00,0.00,1.57,"",0,0.0,0,0.0,0,0.0,0,0.0,1296,2.3,0,0.0,0,0.0,34,2.3
"17109","1","924120","78","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,3,59437,0,0,1524,"",3.36,0.55,0.51,0.49,0.83,0.00,0.00,1.62,"",0,0.0,0,0.0,0,0.0,0,0.0,10669,21.9,0,0.0,0,0.0,274,21.9
"17109","1","926","75","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,6,5,63030,0,0,909,"",4.04,0.29,0.35,0.29,0.24,0.00,0.00,0.79,"",1,100.0,0,0.0,2,50.0,1,25.0,-14637,-18.8,0,0.0,0,0.0,-470,-34.1
"17109","1","926","75","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,5,9,70409,0,0,739,"",4.03,0.45,0.29,0.52,0.26,0.00,0.00,0.61,"",1,100.0,3,60.0,1,25.0,0,0.0,7362,11.7,0,0.0,0,0.0,-69,-8.5
"17109","1","9261","76","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,6,5,63030,0,0,909,"",4.04,0.29,0.35,0.29,0.24,0.00,0.00,0.79,"",1,100.0,0,0.0,2,50.0,1,25.0,-14637,-18.8,0,0.0,0,0.0,-470,-34.1
"17109","1","9261","76","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,5,9,70409,0,0,739,"",4.03,0.45,0.29,0.52,0.26,0.00,0.00,0.61,"",1,100.0,3,60.0,1,25.0,0,0.0,7362,11.7,0,0.0,0,0.0,-69,-8.5
"17109","1","92611","77","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",6.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","1","92611","77","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",6.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","1","926110","78","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",6.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","1","926110","78","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",6.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","1","92614","77","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,6,5,63030,0,0,909,"",5.17,1.63,1.84,1.59,1.63,0.00,0.00,0.96,"",0,0.0,0,0.0,2,50.0,1,25.0,-14637,-18.8,0,0.0,0,0.0,-470,-34.1
"17109","1","92614","77","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,5,9,70409,0,0,739,"",5.27,2.36,1.57,2.79,1.60,0.00,0.00,0.71,"",0,0.0,3,60.0,1,25.0,0,0.0,7362,11.7,0,0.0,0,0.0,-69,-8.5
"17109","1","926140","78","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,6,5,63030,0,0,909,"",5.17,1.63,1.84,1.59,1.63,0.00,0.00,0.96,"",0,0.0,0,0.0,2,50.0,1,25.0,-14637,-18.8,0,0.0,0,0.0,-470,-34.1
"17109","1","926140","78","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,5,9,70409,0,0,739,"",5.27,2.36,1.57,2.79,1.60,0.00,0.00,0.71,"",0,0.0,3,60.0,1,25.0,0,0.0,7362,11.7,0,0.0,0,0.0,-69,-8.5
"17109","1","928","75","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,16,16,243897,0,0,1173,"",7.41,0.38,0.38,0.38,0.43,0.00,0.00,1.11,"",0,0.0,3,23.1,0,0.0,0,0.0,50092,25.8,0,0.0,0,0.0,179,18.0
"17109","1","928","75","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,16,15,221979,0,0,1090,"",7.56,0.38,0.38,0.36,0.32,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,-1,-6.2,10464,4.9,0,0.0,0,0.0,73,7.2
"17109","1","9281","76","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,16,16,243897,0,0,1173,"",7.41,0.38,0.38,0.38,0.43,0.00,0.00,1.11,"",0,0.0,3,23.1,0,0.0,0,0.0,50092,25.8,0,0.0,0,0.0,179,18.0
"17109","1","9281","76","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,16,15,221979,0,0,1090,"",7.56,0.38,0.38,0.36,0.32,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,-1,-6.2,10464,4.9,0,0.0,0,0.0,73,7.2
"17109","1","92811","77","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,16,16,243897,0,0,1173,"",8.76,0.41,0.41,0.41,0.46,0.00,0.00,1.13,"",0,0.0,3,23.1,0,0.0,0,0.0,50092,25.8,0,0.0,0,0.0,179,18.0
"17109","1","92811","77","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,16,15,221979,0,0,1090,"",8.92,0.41,0.41,0.38,0.34,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,-1,-6.2,10464,4.9,0,0.0,0,0.0,73,7.2
"17109","1","928110","78","0","2019","1","","McDonough County, Illinois","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,16,16,243897,0,0,1173,"",8.76,0.41,0.41,0.41,0.46,0.00,0.00,1.13,"",0,0.0,3,23.1,0,0.0,0,0.0,50092,25.8,0,0.0,0,0.0,179,18.0
"17109","1","928110","78","0","2019","2","","McDonough County, Illinois","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,16,15,221979,0,0,1090,"",8.92,0.41,0.41,0.38,0.34,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,-1,-6.2,10464,4.9,0,0.0,0,0.0,73,7.2
"17109","2","10","71","0","2019","1","N","McDonough County, Illinois","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","2","10","71","0","2019","2","N","McDonough County, Illinois","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","2","102","72","0","2019","1","N","McDonough County, Illinois","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","2","102","72","0","2019","2","N","McDonough County, Illinois","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","2","1025","73","0","2019","1","N","McDonough County, Illinois","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
