"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17111","0","10","70","0","2019","1","","McHenry County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7812,94622,94195,94750,1039452333,590281625,12572535,846,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,0.7,135,0.1,-417,-0.4,-1667,-1.7,-28108950,-2.6,-1466090,-0.2,-1974735,-13.6,-17,-2.0
"17111","0","10","70","0","2019","2","","McHenry County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",7878,96827,99075,99292,1108460703,259866285,5752925,867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",73,0.9,24,0.0,-413,-0.4,-1410,-1.4,5947298,0.5,1109792,0.4,-600293,-9.4,10,1.2
"17111","1","10","71","0","2019","1","","McHenry County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,483,470,469,6441800,0,0,1045,"",0.50,0.27,0.26,0.26,0.25,0.00,0.00,0.96,"",1,4.5,-3,-0.6,-4,-0.8,-5,-1.1,-49541,-0.8,0,0.0,0,0.0,0,0.0
"17111","1","10","71","0","2019","2","","McHenry County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,473,471,466,7256091,0,0,1188,"",0.50,0.26,0.25,0.25,0.23,0.00,0.00,0.92,"",1,4.5,-5,-1.0,-11,-2.3,-12,-2.5,-90617,-1.2,0,0.0,0,0.0,9,0.8
"17111","1","102","72","0","2019","1","","McHenry County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,483,470,469,6441800,0,0,1045,"",0.50,0.27,0.27,0.26,0.26,0.00,0.00,0.96,"",1,4.5,-3,-0.6,-4,-0.8,-5,-1.1,-49541,-0.8,0,0.0,0,0.0,0,0.0
"17111","1","102","72","0","2019","2","","McHenry County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,473,471,466,7256091,0,0,1188,"",0.50,0.26,0.26,0.25,0.24,0.00,0.00,0.92,"",1,4.5,-5,-1.0,-11,-2.3,-12,-2.5,-90617,-1.2,0,0.0,0,0.0,9,0.8
"17111","1","1021","73","0","2019","1","","McHenry County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,450,438,437,5884374,0,0,1025,"",0.69,1.03,1.01,1.00,1.29,0.00,0.00,1.27,"",0,0.0,-2,-0.4,-2,-0.5,-3,-0.7,25668,0.4,0,0.0,0,0.0,10,1.0
"17111","1","1021","73","0","2019","2","","McHenry County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,435,437,433,6715248,0,0,1187,"",0.69,0.98,0.97,0.96,1.16,0.00,0.00,1.19,"",0,0.0,-8,-1.8,-9,-2.0,-10,-2.3,-93850,-1.4,0,0.0,0,0.0,7,0.6
"17111","1","1028","73","0","2019","1","","McHenry County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,33,32,32,557426,0,0,1326,"",0.38,0.03,0.03,0.03,0.04,0.00,0.00,1.08,"",1,16.7,-1,-2.9,-2,-5.9,-2,-5.9,-75209,-11.9,0,0.0,0,0.0,-105,-7.3
"17111","1","1028","73","0","2019","2","","McHenry County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,38,34,33,540843,0,0,1189,"",0.38,0.04,0.03,0.03,0.03,0.00,0.00,0.83,"",1,16.7,3,8.6,-2,-5.6,-2,-5.7,3233,0.6,0,0.0,0,0.0,19,1.6
