"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17113","0","10","70","0","2019","1","","McLean County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3351,80792,81256,81135,1167783016,536479284,8609017,1108,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-22,-0.7,-852,-1.0,-1373,-1.7,-1756,-2.1,-23075754,-1.9,-9513824,-1.7,-1360159,-13.6,-4,-0.4
"17113","0","10","70","0","2019","2","","McLean County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3362,83691,82297,82329,1022039736,165175691,3372812,950,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-0.5,-120,-0.1,-869,-1.0,-378,-0.5,-62818502,-5.8,-69118,0.0,-496277,-12.8,-53,-5.3
"17113","1","10","71","0","2019","1","","McLean County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,445,487,476,5619325,0,0,921,"",1.62,0.29,0.31,0.31,0.19,0.00,0.00,0.64,"",1,3.2,-73,-14.1,-47,-8.8,-44,-8.5,-414259,-6.9,0,0.0,0,0.0,35,4.0
"17113","1","10","71","0","2019","2","","McLean County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,460,410,431,5760062,0,0,1022,"",1.53,0.29,0.26,0.28,0.20,0.00,0.00,0.72,"",-1,-3.2,31,7.2,20,5.1,46,11.9,-178793,-3.0,0,0.0,0,0.0,-116,-10.2
"17113","1","102","72","0","2019","1","","McLean County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,445,487,476,5619325,0,0,921,"",1.62,0.29,0.32,0.31,0.20,0.00,0.00,0.64,"",1,3.2,-73,-14.1,-47,-8.8,-44,-8.5,-414259,-6.9,0,0.0,0,0.0,35,4.0
"17113","1","102","72","0","2019","2","","McLean County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,460,410,431,5760062,0,0,1022,"",1.53,0.30,0.27,0.28,0.20,0.00,0.00,0.72,"",-1,-3.2,31,7.2,20,5.1,46,11.9,-178793,-3.0,0,0.0,0,0.0,-116,-10.2
"17113","1","1021","73","0","2019","1","","McLean County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,251,251,245,3444409,0,0,1064,"",2.31,0.67,0.67,0.66,0.67,0.00,0.00,1.01,"",0,0.0,-13,-4.9,-16,-6.0,-24,-8.9,-16194,-0.5,0,0.0,0,0.0,66,6.6
"17113","1","1021","73","0","2019","2","","McLean County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,256,261,256,3884683,0,0,1160,"",2.12,0.67,0.70,0.69,0.73,0.00,0.00,1.07,"",-2,-8.7,-12,-4.5,0,0.0,-3,-1.2,-193042,-4.7,0,0.0,0,0.0,-34,-2.8
"17113","1","1028","73","0","2019","1","","McLean County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,194,236,231,2174916,0,0,759,"",1.13,0.23,0.28,0.28,0.12,0.00,0.00,0.47,"",1,12.5,-60,-23.6,-31,-11.6,-20,-8.0,-398065,-15.5,0,0.0,0,0.0,-10,-1.3
"17113","1","1028","73","0","2019","2","","McLean County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,204,149,175,1875379,0,0,820,"",1.14,0.24,0.18,0.21,0.11,0.00,0.00,0.52,"",1,12.5,43,26.7,20,15.5,49,38.9,14249,0.8,0,0.0,0,0.0,-212,-20.5
"17113","1","48-49","74","0","2019","1","","McLean County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,251,251,245,3444409,0,0,1064,"",2.38,0.73,0.73,0.72,0.72,0.00,0.00,0.99,"",0,0.0,-13,-4.9,-16,-6.0,-24,-8.9,-16194,-0.5,0,0.0,0,0.0,66,6.6
"17113","1","48-49","74","0","2019","2","","McLean County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,256,261,256,3884683,0,0,1160,"",2.18,0.73,0.76,0.75,0.78,0.00,0.00,1.05,"",-2,-8.7,-12,-4.5,0,0.0,-3,-1.2,-193042,-4.7,0,0.0,0,0.0,-34,-2.8
"17113","1","491","75","0","2019","1","","McLean County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,251,251,245,3444409,0,0,1064,"",2.39,0.75,0.75,0.73,0.75,0.00,0.00,1.02,"",0,0.0,-13,-4.9,-16,-6.0,-24,-8.9,-16194,-0.5,0,0.0,0,0.0,66,6.6
"17113","1","491","75","0","2019","2","","McLean County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,256,261,256,3884683,0,0,1160,"",2.20,0.75,0.78,0.76,0.81,0.00,0.00,1.07,"",-2,-8.7,-12,-4.5,0,0.0,-3,-1.2,-193042,-4.7,0,0.0,0,0.0,-34,-2.8
"17113","1","4911","76","0","2019","1","","McLean County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,251,251,245,3444409,0,0,1064,"",2.39,0.75,0.75,0.73,0.75,0.00,0.00,1.02,"",0,0.0,-13,-4.9,-16,-6.0,-24,-8.9,-16194,-0.5,0,0.0,0,0.0,66,6.6
"17113","1","4911","76","0","2019","2","","McLean County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,256,261,256,3884683,0,0,1160,"",2.20,0.75,0.78,0.76,0.81,0.00,0.00,1.07,"",-2,-8.7,-12,-4.5,0,0.0,-3,-1.2,-193042,-4.7,0,0.0,0,0.0,-34,-2.8
"17113","1","49111","77","0","2019","1","","McLean County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",23,251,251,245,3444409,0,0,1064,"",2.39,0.75,0.75,0.73,0.75,0.00,0.00,1.02,"",0,0.0,-13,-4.9,-16,-6.0,-24,-8.9,-16194,-0.5,0,0.0,0,0.0,66,6.6
"17113","1","49111","77","0","2019","2","","McLean County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",21,256,261,256,3884683,0,0,1160,"",2.20,0.75,0.78,0.76,0.81,0.00,0.00,1.07,"",-2,-8.7,-12,-4.5,0,0.0,-3,-1.2,-193042,-4.7,0,0.0,0,0.0,-34,-2.8
