"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17125","0","10","70","0","2019","1","","Mason County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",311,2951,2954,2977,26818600,13695594,276197,697,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.6,23,0.8,7,0.2,-23,-0.8,1948081,7.8,580619,4.4,-11836,-4.1,50,7.7
"17125","0","10","70","0","2019","2","","Mason County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",311,3010,3080,3030,27480564,6243770,114757,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.0,-2,-0.1,7,0.2,-29,-0.9,963453,3.6,-281454,-4.3,-22915,-16.6,26,3.9
"17125","1","10","71","0","2019","1","","Mason County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,56,55,59,652914,0,0,886,"",7.64,0.99,0.97,1.04,0.99,0.00,0.00,0.99,"",1,7.7,-1,-1.8,-2,-3.5,5,9.3,40061,6.5,0,0.0,0,0.0,44,5.2
"17125","1","10","71","0","2019","2","","Mason County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,56,56,58,722112,0,0,980,"",7.16,0.98,0.96,1.01,0.93,0.00,0.00,0.95,"",0,0.0,6,12.0,3,5.7,-1,-1.7,36982,5.4,0,0.0,0,0.0,4,0.4
"17125","1","102","72","0","2019","1","","Mason County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,56,55,59,652914,0,0,886,"",7.66,1.01,0.99,1.06,1.00,0.00,0.00,0.98,"",1,7.7,-1,-1.8,-2,-3.5,5,9.3,40061,6.5,0,0.0,0,0.0,44,5.2
"17125","1","102","72","0","2019","2","","Mason County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,56,56,58,722112,0,0,980,"",7.18,1.00,0.98,1.03,0.95,0.00,0.00,0.95,"",0,0.0,6,12.0,3,5.7,-1,-1.7,36982,5.4,0,0.0,0,0.0,4,0.4
"17125","1","1021","73","0","2019","1","","Mason County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,43,42,44,450508,0,0,806,"",9.75,3.15,3.08,3.21,3.81,0.00,0.00,1.21,"",0,0.0,-2,-4.4,0,0.0,3,7.3,32258,7.7,0,0.0,0,0.0,52,6.9
"17125","1","1021","73","0","2019","2","","Mason County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,42,43,41,517107,0,0,947,"",8.74,3.06,3.07,2.99,3.61,0.00,0.00,1.19,"",-1,-11.1,3,7.7,2,4.9,-2,-4.7,16671,3.3,0,0.0,0,0.0,8,0.9
"17125","1","1028","73","0","2019","1","","Mason County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,13,15,202406,0,0,1139,"",6.77,0.43,0.42,0.49,0.50,0.00,0.00,1.13,"",1,25.0,1,8.3,-2,-13.3,2,15.4,7803,4.0,0,0.0,0,0.0,16,1.4
"17125","1","1028","73","0","2019","2","","Mason County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,14,13,17,205005,0,0,1075,"",6.83,0.45,0.41,0.55,0.44,0.00,0.00,0.94,"",1,25.0,3,27.3,1,8.3,1,6.2,20311,11.0,0,0.0,0,0.0,-18,-1.6
