"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17141","0","10","70","0","2019","1","","Ogle County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1025,14983,14964,15137,194191294,105349274,2060445,994,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.2,-287,-1.9,-407,-2.6,-428,-2.7,9798958,5.3,787553,0.8,-240323,-10.4,73,7.9
"17141","0","10","70","0","2019","2","","Ogle County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1030,15568,15617,15865,173946923,38414210,861385,853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,-218,-1.4,-331,-2.1,-322,-2.0,2238116,1.3,-1834486,-4.6,-130729,-13.2,26,3.1
"17141","1","10","71","0","2019","1","","Ogle County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,108,122,118,1421457,0,0,943,"",3.48,0.38,0.43,0.41,0.30,0.00,0.00,0.74,"",1,5.0,-5,-4.4,10,8.9,5,4.4,-8032,-0.6,0,0.0,0,0.0,-33,-3.4
"17141","1","10","71","0","2019","2","","Ogle County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,117,114,114,1567989,0,0,1049,"",3.49,0.40,0.39,0.38,0.32,0.00,0.00,0.82,"",1,5.0,2,1.7,4,3.6,6,5.6,88047,5.9,0,0.0,0,0.0,23,2.2
"17141","1","102","72","0","2019","1","","Ogle County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,108,122,118,1421457,0,0,943,"",3.49,0.38,0.43,0.42,0.30,0.00,0.00,0.74,"",1,5.0,-5,-4.4,10,8.9,5,4.4,-8032,-0.6,0,0.0,0,0.0,-33,-3.4
"17141","1","102","72","0","2019","2","","Ogle County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,117,114,114,1567989,0,0,1049,"",3.50,0.40,0.39,0.39,0.33,0.00,0.00,0.83,"",1,5.0,2,1.7,4,3.6,6,5.6,88047,5.9,0,0.0,0,0.0,23,2.2
"17141","1","1021","73","0","2019","1","","Ogle County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,87,96,93,1048018,0,0,876,"",5.26,1.26,1.39,1.33,1.23,0.00,0.00,0.92,"",0,0.0,-6,-6.5,7,7.9,4,4.5,22793,2.2,0,0.0,0,0.0,3,0.3
"17141","1","1021","73","0","2019","2","","Ogle County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,93,93,90,1205792,0,0,1008,"",5.28,1.31,1.31,1.25,1.33,0.00,0.00,1.03,"",0,0.0,1,1.1,4,4.5,1,1.1,53502,4.6,0,0.0,0,0.0,23,2.3
"17141","1","1028","73","0","2019","1","","Ogle County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,21,26,25,373439,0,0,1197,"",2.05,0.14,0.17,0.16,0.13,0.00,0.00,0.83,"",1,25.0,1,5.0,3,13.0,1,4.2,-30825,-7.6,0,0.0,0,0.0,-195,-14.0
"17141","1","1028","73","0","2019","2","","Ogle County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,24,21,24,362197,0,0,1211,"",2.06,0.15,0.13,0.15,0.12,0.00,0.00,0.86,"",1,25.0,1,4.3,0,0.0,5,26.3,34545,10.5,0,0.0,0,0.0,11,0.9
"17141","1","48-49","74","0","2019","1","","Ogle County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,87,96,93,1048018,0,0,876,"",5.41,1.37,1.52,1.45,1.31,0.00,0.00,0.91,"",0,0.0,-6,-6.5,7,7.9,4,4.5,22793,2.2,0,0.0,0,0.0,3,0.3
"17141","1","48-49","74","0","2019","2","","Ogle County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,93,93,90,1205792,0,0,1008,"",5.43,1.43,1.43,1.36,1.43,0.00,0.00,1.01,"",0,0.0,1,1.1,4,4.5,1,1.1,53502,4.6,0,0.0,0,0.0,23,2.3
"17141","1","491","75","0","2019","1","","Ogle County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,87,96,93,1048018,0,0,876,"",5.44,1.40,1.55,1.49,1.38,0.00,0.00,0.93,"",0,0.0,-6,-6.5,7,7.9,4,4.5,22793,2.2,0,0.0,0,0.0,3,0.3
"17141","1","491","75","0","2019","2","","Ogle County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,93,93,90,1205792,0,0,1008,"",5.46,1.46,1.46,1.39,1.48,0.00,0.00,1.03,"",0,0.0,1,1.1,4,4.5,1,1.1,53502,4.6,0,0.0,0,0.0,23,2.3
"17141","1","4911","76","0","2019","1","","Ogle County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,87,96,93,1048018,0,0,876,"",5.44,1.40,1.55,1.49,1.38,0.00,0.00,0.93,"",0,0.0,-6,-6.5,7,7.9,4,4.5,22793,2.2,0,0.0,0,0.0,3,0.3
