"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17143","0","10","70","0","2019","1","","Peoria County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4161,103088,103319,103711,1948097616,629036409,16849124,1450,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-0.6,1112,1.1,1085,1.1,-66,-0.1,22315072,1.2,8819611,1.4,-3256137,-16.2,7,0.5
"17143","0","10","70","0","2019","2","","Peoria County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4177,104219,105002,105391,1440862574,196164839,4665793,1057,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-0.4,-2045,-1.9,-1723,-1.6,-1921,-1.8,-20782646,-1.4,-6121284,-3.0,-944815,-16.8,4,0.4
"17143","1","10","71","0","2019","1","","Peoria County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1490,1503,1512,26401436,0,0,1352,"",1.88,0.75,0.76,0.76,0.55,0.00,0.00,0.72,"",0,0.0,-82,-5.2,-52,-3.3,-17,-1.1,-1539733,-5.5,0,0.0,0,0.0,-33,-2.4
"17143","1","10","71","0","2019","2","","Peoria County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",46,1489,1485,1499,27853380,0,0,1437,"",1.89,0.75,0.75,0.75,0.68,0.00,0.00,0.91,"",1,2.2,-60,-3.9,-33,-2.2,-31,-2.0,-113716,-0.4,0,0.0,0,0.0,33,2.4
"17143","1","102","72","0","2019","1","","Peoria County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1490,1503,1512,26401436,0,0,1352,"",1.88,0.77,0.77,0.78,0.56,0.00,0.00,0.72,"",0,0.0,-82,-5.2,-52,-3.3,-17,-1.1,-1539733,-5.5,0,0.0,0,0.0,-33,-2.4
"17143","1","102","72","0","2019","2","","Peoria County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",46,1489,1485,1499,27853380,0,0,1437,"",1.89,0.77,0.76,0.76,0.70,0.00,0.00,0.91,"",1,2.2,-60,-3.9,-33,-2.2,-31,-2.0,-113716,-0.4,0,0.0,0,0.0,33,2.4
"17143","1","1021","73","0","2019","1","","Peoria County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,486,497,496,7065502,0,0,1102,"",1.62,1.02,1.04,1.04,0.82,0.00,0.00,0.80,"",0,0.0,-31,-6.0,-8,-1.6,-4,-0.8,13384,0.2,0,0.0,0,0.0,33,3.1
"17143","1","1021","73","0","2019","2","","Peoria County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,495,489,487,7830152,0,0,1228,"",1.63,1.04,1.02,1.02,1.04,0.00,0.00,1.01,"",0,0.0,-14,-2.8,-2,-0.4,-2,-0.4,-193746,-2.4,0,0.0,0,0.0,-16,-1.3
"17143","1","1023","73","0","2019","1","","Peoria County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,30935,0,0,2380,"",3.09,0.12,0.12,0.12,0.11,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,0,0.0,-1145,-3.6,0,0.0,0,0.0,-88,-3.6
"17143","1","1023","73","0","2019","2","","Peoria County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,33017,0,0,2540,"",3.13,0.12,0.12,0.12,0.14,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,0,0.0,647,2.0,0,0.0,0,0.0,50,2.0
"17143","1","1024","73","0","2019","1","","Peoria County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,56,57,59,1370127,0,0,1838,"",1.67,1.19,1.21,1.25,1.05,0.00,0.00,0.86,"",0,0.0,-1,-1.8,-1,-1.7,3,5.4,246236,21.9,0,0.0,0,0.0,321,21.2
"17143","1","1024","73","0","2019","2","","Peoria County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,58,58,60,1239989,0,0,1626,"",1.68,1.24,1.22,1.25,1.22,0.00,0.00,0.98,"",0,0.0,2,3.6,4,7.4,4,7.1,171064,16.0,0,0.0,0,0.0,140,9.4
"17143","1","1025","73","0","2019","1","","Peoria County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,142,141,140,2791304,0,0,1523,"",1.79,0.48,0.47,0.47,0.39,0.00,0.00,0.83,"",0,0.0,0,0.0,0,0.0,-1,-0.7,56342,2.1,0,0.0,0,0.0,34,2.3
"17143","1","1025","73","0","2019","2","","Peoria County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,141,141,139,3163132,0,0,1734,"",1.80,0.47,0.47,0.47,0.50,0.00,0.00,1.06,"",0,0.0,-2,-1.4,-2,-1.4,-6,-4.1,61273,2.0,0,0.0,0,0.0,73,4.4
"17143","1","1028","73","0","2019","1","","Peoria County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,805,807,816,15143568,0,0,1439,"",2.33,0.75,0.75,0.76,0.52,0.00,0.00,0.68,"",0,0.0,-50,-5.8,-43,-5.1,-15,-1.8,-1854550,-10.9,0,0.0,0,0.0,-108,-7.0
"17143","1","1028","73","0","2019","2","","Peoria County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,794,796,812,15587090,0,0,1498,"",2.34,0.74,0.74,0.75,0.64,0.00,0.00,0.86,"",1,4.5,-46,-5.5,-33,-4.0,-27,-3.2,-152954,-1.0,0,0.0,0,0.0,50,3.5
"17143","1","48-49","74","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,486,497,496,7065502,0,0,1102,"",1.66,1.11,1.14,1.13,0.88,0.00,0.00,0.78,"",0,0.0,-31,-6.0,-8,-1.6,-4,-0.8,13384,0.2,0,0.0,0,0.0,33,3.1
"17143","1","48-49","74","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,495,489,487,7830152,0,0,1228,"",1.67,1.13,1.12,1.11,1.12,0.00,0.00,1.00,"",0,0.0,-14,-2.8,-2,-0.4,-2,-0.4,-193746,-2.4,0,0.0,0,0.0,-16,-1.3
"17143","1","491","75","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,486,497,496,7065502,0,0,1102,"",1.68,1.14,1.16,1.16,0.93,0.00,0.00,0.80,"",0,0.0,-31,-6.0,-8,-1.6,-4,-0.8,13384,0.2,0,0.0,0,0.0,33,3.1
"17143","1","491","75","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,495,489,487,7830152,0,0,1228,"",1.68,1.16,1.14,1.14,1.16,0.00,0.00,1.01,"",0,0.0,-14,-2.8,-2,-0.4,-2,-0.4,-193746,-2.4,0,0.0,0,0.0,-16,-1.3
"17143","1","4911","76","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,486,497,496,7065502,0,0,1102,"",1.68,1.14,1.16,1.16,0.93,0.00,0.00,0.80,"",0,0.0,-31,-6.0,-8,-1.6,-4,-0.8,13384,0.2,0,0.0,0,0.0,33,3.1
"17143","1","4911","76","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,495,489,487,7830152,0,0,1228,"",1.68,1.16,1.14,1.14,1.16,0.00,0.00,1.01,"",0,0.0,-14,-2.8,-2,-0.4,-2,-0.4,-193746,-2.4,0,0.0,0,0.0,-16,-1.3
"17143","1","49111","77","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,486,497,496,7065502,0,0,1102,"",1.68,1.14,1.16,1.16,0.93,0.00,0.00,0.80,"",0,0.0,-31,-6.0,-8,-1.6,-4,-0.8,13384,0.2,0,0.0,0,0.0,33,3.1
"17143","1","49111","77","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,495,489,487,7830152,0,0,1228,"",1.68,1.16,1.14,1.14,1.16,0.00,0.00,1.01,"",0,0.0,-14,-2.8,-2,-0.4,-2,-0.4,-193746,-2.4,0,0.0,0,0.0,-16,-1.3
"17143","1","491110","78","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,486,497,496,7065502,0,0,1102,"",1.68,1.14,1.16,1.16,0.93,0.00,0.00,0.80,"",0,0.0,-31,-6.0,-8,-1.6,-4,-0.8,13384,0.2,0,0.0,0,0.0,33,3.1
"17143","1","491110","78","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,495,489,487,7830152,0,0,1228,"",1.68,1.16,1.14,1.14,1.16,0.00,0.00,1.01,"",0,0.0,-14,-2.8,-2,-0.4,-2,-0.4,-193746,-2.4,0,0.0,0,0.0,-16,-1.3
"17143","1","52","74","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,30935,0,0,2380,"",3.10,0.12,0.12,0.12,0.11,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,0,0.0,-1145,-3.6,0,0.0,0,0.0,-88,-3.6
"17143","1","52","74","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,33017,0,0,2540,"",3.15,0.12,0.12,0.12,0.14,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,647,2.0,0,0.0,0,0.0,50,2.0
"17143","1","522","75","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,30935,0,0,2380,"",3.76,0.25,0.25,0.25,0.29,0.00,0.00,1.14,"",0,0.0,0,0.0,0,0.0,0,0.0,-1145,-3.6,0,0.0,0,0.0,-88,-3.6
"17143","1","522","75","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,33017,0,0,2540,"",3.82,0.25,0.25,0.25,0.38,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,647,2.0,0,0.0,0,0.0,50,2.0
"17143","1","5222","76","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,30935,0,0,2380,"",3.77,0.25,0.25,0.25,0.29,0.00,0.00,1.14,"",0,0.0,0,0.0,0,0.0,0,0.0,-1145,-3.6,0,0.0,0,0.0,-88,-3.6
"17143","1","5222","76","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,33017,0,0,2540,"",3.83,0.25,0.25,0.25,0.38,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,647,2.0,0,0.0,0,0.0,50,2.0
"17143","1","52229","77","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,30935,0,0,2380,"",3.77,0.25,0.25,0.25,0.29,0.00,0.00,1.14,"",0,0.0,0,0.0,0,0.0,0,0.0,-1145,-3.6,0,0.0,0,0.0,-88,-3.6
"17143","1","52229","77","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,33017,0,0,2540,"",3.83,0.25,0.25,0.25,0.38,0.00,0.00,1.51,"",0,0.0,0,0.0,0,0.0,0,0.0,647,2.0,0,0.0,0,0.0,50,2.0
"17143","1","522298","78","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,30935,0,0,2380,"",8.05,0.66,0.65,0.65,0.58,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,0,0.0,-1145,-3.6,0,0.0,0,0.0,-88,-3.6
"17143","1","522298","78","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,33017,0,0,2540,"",8.24,0.65,0.64,0.64,0.76,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,647,2.0,0,0.0,0,0.0,50,2.0
"17143","1","54","74","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,56,57,59,1370127,0,0,1838,"",1.87,1.22,1.25,1.29,1.07,0.00,0.00,0.85,"",0,0.0,-1,-1.8,-1,-1.7,3,5.4,246236,21.9,0,0.0,0,0.0,321,21.2
"17143","1","54","74","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,58,58,60,1239989,0,0,1626,"",1.88,1.28,1.26,1.29,1.23,0.00,0.00,0.97,"",0,0.0,2,3.6,4,7.4,4,7.1,171064,16.0,0,0.0,0,0.0,140,9.4
"17143","1","541","75","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,56,57,59,1370127,0,0,1838,"",1.87,1.22,1.25,1.29,1.07,0.00,0.00,0.85,"",0,0.0,-1,-1.8,-1,-1.7,3,5.4,246236,21.9,0,0.0,0,0.0,321,21.2
"17143","1","541","75","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,58,58,60,1239989,0,0,1626,"",1.88,1.28,1.26,1.29,1.23,0.00,0.00,0.97,"",0,0.0,2,3.6,4,7.4,4,7.1,171064,16.0,0,0.0,0,0.0,140,9.4
"17143","1","5413","76","0","2019","1","","Peoria County, Illinois","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,56,57,59,1370127,0,0,1838,"",3.07,1.58,1.61,1.66,1.40,0.00,0.00,0.87,"",0,0.0,-1,-1.8,-1,-1.7,3,5.4,246236,21.9,0,0.0,0,0.0,321,21.2
"17143","1","5413","76","0","2019","2","","Peoria County, Illinois","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,58,58,60,1239989,0,0,1626,"",3.07,1.65,1.62,1.65,1.63,0.00,0.00,0.99,"",0,0.0,2,3.6,4,7.4,4,7.1,171064,16.0,0,0.0,0,0.0,140,9.4
