"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17161","0","10","70","0","2019","1","","Rock Island County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2916,72878,72612,73592,1013928525,474883754,10392376,1068,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-0.9,53,0.1,-407,-0.6,-161,-0.2,-12314712,-1.2,5339105,1.1,-996710,-8.8,-10,-0.9
"17161","0","10","70","0","2019","2","","Rock Island County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2930,73756,74330,74457,975508096,151215649,3189021,1012,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.3,-381,-0.5,-395,-0.5,-789,-1.0,38291398,4.1,-4024677,-2.6,-688590,-17.8,47,4.9
"17161","1","10","71","0","2019","1","","Rock Island County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,4876,4894,4897,103446181,0,0,1628,"",3.32,3.49,3.52,3.49,4.13,0.00,0.00,1.18,"",1,1.8,-70,-1.4,-32,-0.6,11,0.2,13188761,14.6,0,0.0,0,0.0,217,15.4
"17161","1","10","71","0","2019","2","","Rock Island County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,4854,4890,4897,93456691,0,0,1473,"",3.22,3.47,3.47,3.47,3.39,0.00,0.00,0.98,"",-2,-3.5,-26,-0.5,36,0.7,11,0.2,2854297,3.2,0,0.0,0,0.0,43,3.0
"17161","1","101","72","0","2019","1","","Rock Island County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,2061,2059,2062,47805498,0,0,1785,"",54.84,78.67,78.81,77.73,104.05,0.00,0.00,1.33,"",0,0.0,-116,-5.3,-106,-4.9,-68,-3.2,6972207,17.1,0,0.0,0,0.0,329,22.6
"17161","1","101","72","0","2019","2","","Rock Island County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,2037,2034,2043,41008830,0,0,1548,"",55.10,77.14,75.72,75.21,75.82,0.00,0.00,1.00,"",0,0.0,-85,-4.0,-68,-3.2,-44,-2.1,126683,0.3,0,0.0,0,0.0,53,3.5
"17161","1","1013","73","0","2019","1","","Rock Island County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,2061,2059,2062,47805498,0,0,1785,"",148.19,83.18,83.49,82.37,109.06,0.00,0.00,1.31,"",0,0.0,-116,-5.3,-106,-4.9,-68,-3.2,6972207,17.1,0,0.0,0,0.0,329,22.6
"17161","1","1013","73","0","2019","2","","Rock Island County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,2037,2034,2043,41008830,0,0,1548,"",148.89,82.17,81.68,82.00,79.58,0.00,0.00,0.97,"",0,0.0,-85,-4.0,-68,-3.2,-44,-2.1,126683,0.3,0,0.0,0,0.0,53,3.5
"17161","1","102","72","0","2019","1","","Rock Island County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,2815,2835,2835,55640683,0,0,1513,"",3.21,2.06,2.08,2.06,2.27,0.00,0.00,1.10,"",1,1.9,46,1.7,74,2.7,79,2.9,6216554,12.6,0,0.0,0,0.0,137,10.0
"17161","1","102","72","0","2019","2","","Rock Island County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",53,2817,2856,2854,52447861,0,0,1419,"",3.11,2.05,2.07,2.06,1.94,0.00,0.00,0.94,"",-2,-3.6,59,2.1,104,3.8,55,2.0,2727614,5.5,0,0.0,0,0.0,38,2.8
