"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17183","0","10","70","0","2019","1","","Vermilion County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1366,26043,26049,26265,282678624,157665377,3603173,833,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.4,-266,-1.0,-265,-1.0,-501,-1.9,2773182,1.0,952296,0.6,-381539,-9.6,19,2.3
"17183","0","10","70","0","2019","2","","Vermilion County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1368,26548,26468,26576,289347929,61601033,1371530,839,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-194,-0.7,-375,-1.4,-106,-0.4,10877077,3.9,-1362230,-2.2,-170800,-11.1,38,4.7
"17183","1","10","71","0","2019","1","","Vermilion County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,1425,1417,1424,22849186,0,0,1236,"",3.23,2.86,2.84,2.84,3.28,0.00,0.00,1.15,"",-1,-3.7,9,0.6,-16,-1.1,7,0.5,748298,3.4,0,0.0,0,0.0,40,3.3
"17183","1","10","71","0","2019","2","","Vermilion County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,1430,1426,1416,25795353,0,0,1393,"",3.51,2.84,2.84,2.81,3.15,0.00,0.00,1.11,"",1,3.7,7,0.5,14,1.0,-4,-0.3,694567,2.8,0,0.0,0,0.0,32,2.4
"17183","1","102","72","0","2019","1","","Vermilion County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,1425,1417,1424,22849186,0,0,1236,"",3.24,2.91,2.89,2.90,3.34,0.00,0.00,1.15,"",-1,-3.7,9,0.6,-16,-1.1,7,0.5,748298,3.4,0,0.0,0,0.0,40,3.3
"17183","1","102","72","0","2019","2","","Vermilion County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,1430,1426,1416,25795353,0,0,1393,"",3.52,2.89,2.90,2.86,3.21,0.00,0.00,1.11,"",1,3.7,7,0.5,14,1.0,-4,-0.3,694567,2.8,0,0.0,0,0.0,32,2.4
"17183","1","1021","73","0","2019","1","","Vermilion County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,137,140,138,1757394,0,0,977,"",4.93,1.14,1.16,1.14,1.41,0.00,0.00,1.23,"",-1,-4.8,-5,-3.5,-6,-4.1,-4,-2.8,50976,3.0,0,0.0,0,0.0,61,6.7
"17183","1","1021","73","0","2019","2","","Vermilion County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,136,136,139,1979588,0,0,1112,"",5.22,1.12,1.13,1.15,1.31,0.00,0.00,1.16,"",0,0.0,-9,-6.2,-5,-3.5,-1,-0.7,-53505,-2.6,0,0.0,0,0.0,11,1.0
"17183","1","1025","73","0","2019","1","","Vermilion County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1265,1254,1263,20766227,0,0,1267,"",5.46,16.87,16.73,16.74,20.16,0.00,0.00,1.20,"",0,0.0,18,1.4,-3,-0.2,15,1.2,786697,3.9,0,0.0,0,0.0,38,3.1
"17183","1","1025","73","0","2019","2","","Vermilion County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1267,1265,1252,23473975,0,0,1432,"",5.51,16.73,16.88,16.69,18.50,0.00,0.00,1.10,"",0,0.0,16,1.3,18,1.4,-4,-0.3,757524,3.3,0,0.0,0,0.0,36,2.6
"17183","1","1027","73","0","2019","1","","Vermilion County, Illinois","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,10730,0,0,825,"",45.05,1.22,1.22,1.21,1.43,0.00,0.00,1.18,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-11192,-51.1,0,0.0,0,0.0,-18,-2.1
"17183","1","1027","73","0","2019","2","","Vermilion County, Illinois","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,13337,0,0,1026,"",47.13,1.20,1.20,1.21,1.44,0.00,0.00,1.20,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-12628,-48.6,0,0.0,0,0.0,27,2.7
