"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17187","0","10","70","0","2019","1","","Warren County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",379,6403,6436,6470,60964747,42559836,730701,729,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,23,0.4,-9,-0.1,-42,-0.6,-170395,-0.3,206095,0.5,-421673,-36.6,-1,-0.1
"17187","0","10","70","0","2019","2","","Warren County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",379,6461,6524,6445,57441840,13697826,264315,682,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.6,-80,-1.2,-75,-1.1,-233,-3.5,1035182,1.8,-569918,-4.0,-26780,-9.2,25,3.8
"17187","1","10","71","0","2019","1","","Warren County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,68,66,67,886604,0,0,1018,"",5.82,0.55,0.54,0.54,0.59,0.00,0.00,1.08,"",1,8.3,1,1.5,0,0.0,-23,-25.6,-20108,-2.2,0,0.0,0,0.0,80,8.5
"17187","1","10","71","0","2019","2","","Warren County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,69,64,63,900776,0,0,1061,"",5.88,0.56,0.52,0.52,0.55,0.00,0.00,1.04,"",1,8.3,5,7.8,-1,-1.5,0,0.0,81920,10.0,0,0.0,0,0.0,77,7.8
"17187","1","102","72","0","2019","1","","Warren County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,68,66,67,886604,0,0,1018,"",5.84,0.57,0.55,0.55,0.60,0.00,0.00,1.08,"",1,8.3,1,1.5,0,0.0,-23,-25.6,-20108,-2.2,0,0.0,0,0.0,80,8.5
"17187","1","102","72","0","2019","2","","Warren County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,69,64,63,900776,0,0,1061,"",5.89,0.57,0.53,0.53,0.57,0.00,0.00,1.04,"",1,8.3,5,7.8,-1,-1.5,0,0.0,81920,10.0,0,0.0,0,0.0,77,7.8
"17187","1","1021","73","0","2019","1","","Warren County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,39,38,39,413101,0,0,822,"",7.11,1.32,1.28,1.31,1.54,0.00,0.00,1.18,"",0,0.0,-1,-2.5,-2,-5.0,-26,-40.0,-15184,-3.5,0,0.0,0,0.0,140,20.5
"17187","1","1021","73","0","2019","2","","Warren County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,39,38,39,469117,0,0,933,"",7.17,1.32,1.28,1.34,1.57,0.00,0.00,1.19,"",0,0.0,1,2.6,-1,-2.6,4,11.4,55388,13.4,0,0.0,0,0.0,81,9.5
"17187","1","1028","73","0","2019","1","","Warren County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,29,28,28,473503,0,0,1286,"",5.55,0.44,0.42,0.42,0.52,0.00,0.00,1.22,"",1,25.0,2,7.4,2,7.7,3,12.0,-4924,-1.0,0,0.0,0,0.0,-129,-9.1
"17187","1","1028","73","0","2019","2","","Warren County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,30,26,24,431659,0,0,1245,"",5.61,0.45,0.39,0.36,0.44,0.00,0.00,1.11,"",1,25.0,4,15.4,0,0.0,-4,-14.3,26532,6.5,0,0.0,0,0.0,76,6.5
