"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17189","0","10","70","0","2019","1","","Washington County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",403,6856,6798,6865,83546513,56041920,962001,940,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.8,421,6.5,319,4.9,206,3.1,5341288,6.8,3060632,5.8,-150925,-13.6,18,2.0
"17189","0","10","70","0","2019","2","","Washington County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",407,6931,6926,7006,81154523,16586233,290221,898,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,127,1.9,6,0.1,-14,-0.2,1766859,2.2,-440751,-2.6,-74698,-20.5,15,1.7
"17189","1","10","71","0","2019","1","","Washington County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,44,50,44,504489,0,0,844,"",5.90,0.34,0.38,0.34,0.24,0.00,0.00,0.70,"",1,7.7,2,4.8,4,8.7,-4,-8.3,-19397,-3.7,0,0.0,0,0.0,-45,-5.1
"17189","1","10","71","0","2019","2","","Washington County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,46,39,40,545782,0,0,1008,"",5.89,0.35,0.30,0.30,0.24,0.00,0.00,0.75,"",1,7.7,-1,-2.1,-8,-17.0,-5,-11.1,-25483,-4.5,0,0.0,0,0.0,60,6.3
"17189","1","102","72","0","2019","1","","Washington County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,44,50,44,504489,0,0,844,"",5.91,0.34,0.39,0.34,0.25,0.00,0.00,0.70,"",1,7.7,2,4.8,4,8.7,-4,-8.3,-19397,-3.7,0,0.0,0,0.0,-45,-5.1
"17189","1","102","72","0","2019","2","","Washington County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,46,39,40,545782,0,0,1008,"",5.91,0.36,0.30,0.31,0.24,0.00,0.00,0.75,"",1,7.7,-1,-2.1,-8,-17.0,-5,-11.1,-25483,-4.5,0,0.0,0,0.0,60,6.3
"17189","1","1021","73","0","2019","1","","Washington County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,33,35,33,345511,0,0,789,"",8.36,1.04,1.12,1.04,0.94,0.00,0.00,0.88,"",0,0.0,4,13.8,2,6.1,-2,-5.7,9368,2.8,0,0.0,0,0.0,-11,-1.4
"17189","1","1021","73","0","2019","2","","Washington County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,33,31,31,398162,0,0,967,"",8.35,1.04,0.98,0.98,0.94,0.00,0.00,0.94,"",0,0.0,-1,-2.9,-5,-13.9,-3,-8.8,-10960,-2.7,0,0.0,0,0.0,59,6.5
"17189","1","1028","73","0","2019","1","","Washington County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,15,11,158978,0,0,992,"",4.18,0.15,0.21,0.16,0.13,0.00,0.00,0.73,"",1,33.3,-2,-15.4,2,15.4,-2,-15.4,-28765,-15.3,0,0.0,0,0.0,-119,-10.7
"17189","1","1028","73","0","2019","2","","Washington County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,13,8,9,147620,0,0,1136,"",4.18,0.18,0.11,0.12,0.11,0.00,0.00,0.77,"",1,33.3,0,0.0,-3,-27.3,-2,-18.2,-14523,-9.0,0,0.0,0,0.0,67,6.3
