"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17197","0","10","70","0","2019","1","","Will County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14893,240339,239082,240965,2946905770,1566771940,36390523,944,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",282,1.9,253,0.1,-786,-0.3,-586,-0.2,98521265,3.5,23846311,1.5,-4007559,-9.9,33,3.6
"17197","0","10","70","0","2019","2","","Will County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",15079,244850,249524,251505,2974840089,659347731,15841182,920,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",350,2.4,1469,0.6,1733,0.7,2050,0.8,91032861,3.2,11691669,1.8,-1327743,-7.7,21,2.3
"17197","1","10","71","0","2019","1","","Will County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,1035,1029,1016,14935367,0,0,1119,"",0.39,0.22,0.22,0.22,0.21,0.00,0.00,0.92,"",1,3.0,14,1.4,20,2.0,-2,-0.2,-132327,-0.9,0,0.0,0,0.0,-22,-1.9
"17197","1","10","71","0","2019","2","","Will County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,1038,1040,1054,17006271,0,0,1253,"",0.40,0.22,0.22,0.22,0.20,0.00,0.00,0.91,"",2,6.1,19,1.9,20,2.0,2,0.2,157093,0.9,0,0.0,0,0.0,-5,-0.4
"17197","1","102","72","0","2019","1","","Will County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,1035,1029,1016,14935367,0,0,1119,"",0.39,0.23,0.23,0.23,0.21,0.00,0.00,0.92,"",1,3.0,14,1.4,20,2.0,-2,-0.2,-132327,-0.9,0,0.0,0,0.0,-22,-1.9
"17197","1","102","72","0","2019","2","","Will County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,1038,1040,1054,17006271,0,0,1253,"",0.40,0.23,0.22,0.23,0.21,0.00,0.00,0.91,"",2,6.1,19,1.9,20,2.0,2,0.2,157093,0.9,0,0.0,0,0.0,-5,-0.4
"17197","1","1021","73","0","2019","1","","Will County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,756,743,722,9841984,0,0,1023,"",0.38,0.68,0.67,0.65,0.76,0.00,0.00,1.14,"",0,0.0,13,1.7,16,2.2,2,0.3,-106734,-1.1,0,0.0,0,0.0,-25,-2.4
"17197","1","1021","73","0","2019","2","","Will County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,739,740,739,11245733,0,0,1170,"",0.38,0.66,0.65,0.65,0.73,0.00,0.00,1.11,"",0,0.0,16,2.2,18,2.5,4,0.5,-71493,-0.6,0,0.0,0,0.0,-28,-2.3
"17197","1","1024","73","0","2019","1","","Will County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,70,68,66,1116212,0,0,1263,"",0.93,0.64,0.63,0.60,0.57,0.00,0.00,0.91,"",0,0.0,-1,-1.4,-2,-2.9,-3,-4.3,101163,10.0,0,0.0,0,0.0,148,13.3
"17197","1","1024","73","0","2019","2","","Will County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,66,65,62,982054,0,0,1174,"",0.93,0.60,0.58,0.54,0.47,0.00,0.00,0.82,"",0,0.0,-2,-2.9,-2,-3.0,-7,-10.1,-17568,-1.8,0,0.0,0,0.0,43,3.8
"17197","1","1025","73","0","2019","1","","Will County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,68,68,68,1282336,0,0,1451,"",1.00,0.10,0.10,0.10,0.12,0.00,0.00,1.21,"",1,100.0,8,13.3,8,13.3,5,7.9,210268,19.6,0,0.0,0,0.0,99,7.3
"17197","1","1025","73","0","2019","2","","Will County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,68,65,66,1541083,0,0,1787,"",1.00,0.10,0.09,0.09,0.12,0.00,0.00,1.26,"",1,100.0,6,9.7,3,4.8,3,4.8,227321,17.3,0,0.0,0,0.0,166,10.2
"17197","1","1027","73","0","2019","1","","Will County, Illinois","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,23,23,299042,0,0,1000,"",4.13,3.03,3.05,3.04,3.82,0.00,0.00,1.26,"",0,0.0,-6,-20.7,-6,-20.7,-6,-20.7,-71381,-19.3,0,0.0,0,0.0,17,1.7
"17197","1","1027","73","0","2019","2","","Will County, Illinois","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,24,363175,0,0,1232,"",4.28,2.87,2.81,3.08,3.82,0.00,0.00,1.31,"",0,0.0,-7,-24.1,-5,-18.5,-3,-11.1,-66704,-15.5,0,0.0,0,0.0,37,3.1
"17197","1","1028","73","0","2019","1","","Will County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,118,127,137,2395793,0,0,1447,"",0.34,0.05,0.05,0.06,0.05,0.00,0.00,1.06,"",0,0.0,0,0.0,4,3.3,0,0.0,-265643,-10.0,0,0.0,0,0.0,-178,-11.0
"17197","1","1028","73","0","2019","2","","Will County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,143,148,163,2874226,0,0,1461,"",0.37,0.06,0.06,0.06,0.06,0.00,0.00,0.97,"",1,8.3,6,4.4,6,4.2,5,3.2,85537,3.1,0,0.0,0,0.0,-12,-0.8
